"type","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"pass_comp","A. Rodgers","QB","GB","SEA","2021-11-14T21:25:00Z","24.5","over","-121","-0.30818808850678736","undefined","undefined","under","-109","0.2391726489971292","undefined","undefined"
"pass_att","A. Rodgers","QB","GB","SEA","2021-11-14T21:25:00Z","36.5","over","-114","-0.30606355208933167","undefined","undefined","under","-117","0.23417557663156674","undefined","undefined"
"rush_yd","M. Ryan","QB","ATL","DAL","2021-11-14T18:00:00Z","3.5","over","100","0.219453131672952","undefined","undefined","under","-130","-0.2846644118910763","undefined","undefined"
"rush_yd","M. White","QB","NYJ","BUF","2021-11-14T18:00:00Z","3.5","over","-114","0.21489914770682184","undefined","undefined","under","-118","-0.2888953246750029","undefined","undefined"
"recv_rec","T. Smith","WR","NO","TEN","2021-11-14T18:00:00Z","2.5","over","-156","-0.25513477230468756","undefined","undefined","under","119","0.18913197127853876","undefined","undefined"
"rush_yd","M. Stafford","QB","LA","SF","2021-11-16T01:15:00Z","2.5","over","-119","0.17840841904816107","undefined","undefined","under","-111","-0.24788235253771024","undefined","undefined"
"pass_int","T. Lawrence","QB","JAX","IND","2021-11-14T18:00:00Z","0.5","over","-224","-0.23672716049382697","undefined","undefined","under","170","0.1749925925925927","undefined","undefined"
"pass_td","T. Brady","QB","TB","WAS","2021-11-14T18:00:00Z","2.5","over","133","0.16961545064377692","undefined","undefined","under","-172","-0.23115294117647056","undefined","undefined"
"pass_yd","A. Rodgers","QB","GB","SEA","2021-11-14T21:25:00Z","266.5","over","-115","-0.24201547153046532","undefined","undefined","under","-117","0.16806167960322593","undefined","undefined"
"recv_yd","A. Peterson","RB","TEN","NO","2021-11-14T18:00:00Z","4.5","over","-117","0.16309536481318376","undefined","undefined","under","-111","-0.22832739110214023","undefined","undefined"
"recv_rec","D. Cook","RB","MIN","LAC","2021-11-14T21:05:00Z","2.5","over","-166","-0.22462061789473686","undefined","undefined","under","128","0.16195738754385963","undefined","undefined"
"recv_rec","M. Ingram II","RB","NO","TEN","2021-11-14T18:00:00Z","3.5","over","-152","-0.22717460317460314","undefined","undefined","under","116","0.1610370370370371","undefined","undefined"
"rush_yd","J. Garoppolo","QB","SF","LA","2021-11-16T01:15:00Z","3.5","over","-121","0.16089510858954958","undefined","undefined","under","-110","-0.23221699763866427","undefined","undefined"
"recv_rec","J. Agnew","WR","JAX","IND","2021-11-14T18:00:00Z","3.5","over","-158","-0.22318062015503864","undefined","undefined","under","122","0.1603396396396396","undefined","undefined"
"recv_rec","A. Lazard","WR","GB","SEA","2021-11-14T21:25:00Z","2.5","over","-164","-0.2292860887121212","undefined","undefined","under","123","0.15965707363228698","undefined","undefined"
"rush_yd","T. Brady","QB","TB","WAS","2021-11-14T18:00:00Z","0.5","over","-116","0.15809290054913727","undefined","undefined","under","-112","-0.22339370990965712","undefined","undefined"
"recv_rec","J. Jones","WR","TEN","NO","2021-11-14T18:00:00Z","3.5","over","-167","-0.217330711610487","undefined","undefined","under","128","0.15325964912280704","undefined","undefined"
"pass_td","T. Siemian","QB","NO","TEN","2021-11-14T18:00:00Z","0.5","over","-258","-0.21069832402234634","undefined","undefined","under","196","0.15219594594594593","undefined","undefined"
"pass_comp","T. Siemian","QB","NO","TEN","2021-11-14T18:00:00Z","17.5","over","-122","-0.21955921047297294","undefined","undefined","under","-108","0.150765097610577","undefined","undefined"
"recv_rec","C. Kupp","WR","LA","SF","2021-11-16T01:15:00Z","7.5","over","-137","0.1504831223628692","undefined","undefined","under","104","-0.2187450980392156","undefined","undefined"
"recv_rec","K. Osborn","WR","MIN","LAC","2021-11-14T21:05:00Z","2.5","over","-153","-0.21084117343873537","undefined","undefined","under","119","0.14947678940639259","undefined","undefined"
"recv_rec","K. Raymond","WR","DET","PIT","2021-11-14T18:00:00Z","2.5","over","-155","-0.21094117388235295","undefined","undefined","under","120","0.14855226972727276","undefined","undefined"
"rush_att","M. Carter","RB","NYJ","BUF","2021-11-14T18:00:00Z","10.5","over","100","0.14440273910050005","undefined","undefined","under","-133","-0.2152044145954206","undefined","undefined"
"recv_rec","M. Callaway","WR","NO","TEN","2021-11-14T18:00:00Z","2.5","over","-169","-0.20496179654275098","undefined","undefined","under","130","0.14194488378260867","undefined","undefined"
"recv_rec","J. Cook","TE","LAC","MIN","2021-11-14T21:05:00Z","2.5","over","-168","-0.20036305548507466","undefined","undefined","under","131","0.14059653190476185","undefined","undefined"
"rush_yd","T. Hill","WR","KC","LV","2021-11-15T01:20:00Z","0.5","over","-120","0.14051954835588298","undefined","undefined","under","-110","-0.20976443191487454","undefined","undefined"
"pass_int","M. Ryan","QB","ATL","DAL","2021-11-14T18:00:00Z","0.5","over","-164","-0.19577424242424246","undefined","undefined","under","128","0.13595964912280706","undefined","undefined"
"recv_rec","G. Everett","TE","SEA","GB","2021-11-14T21:25:00Z","2.5","over","-125","-0.20296536764444445","undefined","undefined","under","-106","0.13283247661747566","undefined","undefined"
"pass_td","P. Mahomes","QB","KC","LV","2021-11-15T01:20:00Z","2.5","over","166","0.1318977443609023","undefined","undefined","under","-220","-0.19533125000000007","undefined","undefined"
"rush_yd","J. Goff","QB","DET","PIT","2021-11-14T18:00:00Z","4.5","over","-107","0.1289948272403233","undefined","undefined","under","-122","-0.19543925184805455","undefined","undefined"
"recv_rec","L. Fournette","RB","TB","WAS","2021-11-14T18:00:00Z","3.5","over","-140","-0.19523333333333326","undefined","undefined","under","107","0.12880821256038655","undefined","undefined"
"recv_rec","J. Taylor","RB","IND","JAX","2021-11-14T18:00:00Z","2.5","over","-141","-0.19416030535269707","undefined","undefined","under","108","0.12832852687500002","undefined","undefined"
"pass_int","T. Heinicke","QB","WAS","TB","2021-11-14T18:00:00Z","0.5","over","-207","-0.19016710097719874","undefined","undefined","under","158","0.12830310077519386","undefined","undefined"
"recv_rec","C. Patterson","RB","ATL","DAL","2021-11-14T18:00:00Z","4.5","over","-131","-0.19425627705627702","undefined","undefined","under","100","0.12714999999999999","undefined","undefined"
"recv_rec","Z. Pascal","WR","IND","JAX","2021-11-14T18:00:00Z","3.5","over","-117","-0.19406267281105988","undefined","undefined","under","-112","0.1266037735849056","undefined","undefined"
"recv_rec","C. Sutton","WR","DEN","PHI","2021-11-14T21:25:00Z","3.5","over","-150","-0.1894400000000001","undefined","undefined","under","115","0.12433023255813952","undefined","undefined"
"recv_rec","D. Adams","WR","GB","SEA","2021-11-14T21:25:00Z","7.5","over","-122","0.12405045045045049","undefined","undefined","under","-107","-0.19050821256038641","undefined","undefined"
"recv_rec","N. Agholor","WR","NE","CLV","2021-11-14T18:00:00Z","2.5","over","-127","-0.19072573867841408","undefined","undefined","under","-103","0.12385828551921174","undefined","undefined"
"recv_rec","T. Hill","WR","KC","LV","2021-11-15T01:20:00Z","6.5","over","-110","0.12223809523809526","undefined","undefined","under","-120","-0.1915090909090909","undefined","undefined"
"recv_rec","M. Pittman Jr.","WR","IND","JAX","2021-11-14T18:00:00Z","4.5","over","-162","-0.18825877862595403","undefined","undefined","under","123","0.12151434977578474","undefined","undefined"
"recv_rec","T. Hockenson","TE","DET","PIT","2021-11-14T18:00:00Z","4.5","over","-163","-0.17910988593155897","undefined","undefined","under","128","0.12074736842105266","undefined","undefined"
"recv_rec","D. Harris","WR","NO","TEN","2021-11-14T18:00:00Z","3.5","over","-117","-0.18972442396313366","undefined","undefined","under","-113","0.12003051643192475","undefined","undefined"
"pass_td","J. Herbert","QB","LAC","MIN","2021-11-14T21:05:00Z","2.5","over","164","0.11921212121212121","undefined","undefined","under","-215","-0.18053968253968256","undefined","undefined"
