"","player","id","pos"
"863","Mi.Carter","00-0036924","WR"
"864","C.McCaffrey","00-0033280","WR"
"865","T.Marshall","00-0036955","WR"
"866","C.Davis","00-0033871","WR"
"867","T.Johnson","00-0035537","WR"
"868","Dj.Moore","00-0034827","WR"
"869","D.Arnold","00-0034011","WR"
"870","E.Moore","00-0036980","WR"
"871","I.Thomas","00-0034365","WR"
"872","J.Smith","00-0035510","WR"
"873","T.Kroft","00-0032214","WR"
"874","R.Anderson","00-0032688","WR"
"875","B.Berrios","00-0034419","WR"
"876","C.Hubbard","00-0036555","WR"
"877","D.Mims","00-0036255","WR"
"878","C.Ridley","00-0034837","WR"
"879","C.Patterson","00-0030578","WR"
"880","K.Pitts","00-0036970","WR"
"881","H.Hurst","00-0034830","WR"
"882","R.Gage","00-0034411","WR"
"883","M.Davis","00-0032063","WR"
"884","Q.Watkins","00-0036271","WR"
"885","D.Smith","00-0036912","WR"
"886","K.Smith","00-0030968","WR"
"887","D.Goedert","00-0034351","WR"
"888","Z.Ertz","00-0030061","WR"
"889","M.Sanders","00-0035243","WR"
"890","J.Reagor","00-0036387","WR"
"891","K.Gainwell","00-0036919","WR"
"892","C.Beasley","00-0029000","WR"
"893","S.Diggs","00-0031588","WR"
"894","D.Johnson","00-0035216","WR"
"895","D.Knox","00-0035689","WR"
"896","E.Sanders","00-0027685","WR"
"897","C.Claypool","00-0036326","WR"
"898","J.Smith-Schuster","00-0033857","WR"
"899","J.Washington","00-0034676","WR"
"900","N.Harris","00-0036893","WR"
"901","D.Singletary","00-0035250","WR"
"902","G.Davis","00-0036196","WR"
"903","E.Ebron","00-0031387","WR"
"904","P.Freiermuth","00-0036894","WR"
"905","Z.Gentry","00-0035222","WR"
"906","J.Doyle","00-0030181","WR"
"907","M.Strachan","00-0036482","WR"
"908","Z.Pascal","00-0033251","WR"
"909","N.Hines","00-0034367","WR"
"910","J.Taylor","00-0036223","WR"
"911","T.Lockett","00-0032211","WR"
"912","G.Everett","00-0033895","WR"
"913","W.Dissly","00-0034159","WR"
"914","P.Campbell","00-0035639","WR"
"915","M.Pittman","00-0036252","WR"
"916","C.Carson","00-0033594","WR"
"917","F.Swain","00-0036247","WR"
"918","M.Alie-Cox","00-0033217","WR"
"919","D.Eskridge","00-0036620","WR"
"920","D.Metcalf","00-0035640","WR"
"921","D.Dallas","00-0036425","WR"
"922","T.Hockenson","00-0035229","WR"
"923","T.Williams","00-0032160","WR"
"924","J.Williams","00-0033948","WR"
"925","A.St. Brown","00-0036963","WR"
"926","D.Swift","00-0036275","WR"
"927","G.Kittle","00-0033288","WR"
"928","M.Sanu","00-0029632","WR"
"929","T.Sherfield","00-0034487","WR"
"930","J.Cabinda","00-0034171","WR"
"931","D.Samuel","00-0035719","WR"
"932","D.Fells","00-0029738","WR"
"933","K.Juszczyk","00-0029892","WR"
"934","K.Raymond","00-0032464","WR"
"935","Q.Cephus","00-0036277","WR"
"936","J.Hasty","00-0035806","WR"
"937","T.Benson","00-0034930","WR"
"938","O.Zaccheaus","00-0035208","WR"
"939","L.Smith","00-0028097","WR"
"940","R.Jones","00-0034816","WR"
"941","T.Sharpe","00-0032778","WR"
"942","O.Howard","00-0033879","WR"
"943","C.Blake","00-0034132","WR"
"944","C.Brate","00-0031273","WR"
"945","P.Hesse","00-0035572","WR"
"946","I.McKenzie","00-0033466","WR"
"947","Z.Moss","00-0036251","WR"
"948","A.Shaheen","00-0033896","WR"
"949","J.Grant","00-0032791","WR"
"950","P.Williams","00-0035350","WR"
"951","C.Carter","00-0033338","WR"
"952","J.Kumerow","00-0031787","WR"
"953","C.Evans","00-0036857","WR"
"954","A.Ekeler","00-0033699","WR"
"955","L.Rountree","00-0036650","WR"
"956","L.Treadwell","00-0032951","WR"
"957","K.Hinton","00-0035864","WR"
"958","L.Farrell","00-0036887","WR"
"959","E.St","00-0034279","WR"
"960","R.Higgins","00-0032977","WR"
"961","D.Felton","00-0036654","WR"
"962","A.Roberts","00-0027691","WR"
"963","M.Burton","00-0031595","WR"
"964","J.Fortson","00-0035547","WR"
"965","J.McKinnon","00-0031376","WR"
"966","A.Dulin","00-0035021","WR"
"967","M.Mack","00-0033951","WR"
"968","F.Moreau","00-0034981","WR"
"969","D.Carrier","00-0029119","WR"
"970","B.Zylstra","00-0034052","WR"
"971","L.Humphrey","00-0035406","WR"
"972","K.Smith","00-0034988","WR"
"973","R.Seals-Jones","00-0033611","WR"
"974","B.Aiyuk","00-0036261","WR"
"975","E.Mitchell","00-0036567","WR"
"976","J.Hurts","00-0036389","WR"
"977","J.Jennings","00-0036259","WR"
"978","T.Hudson","00-0036173","WR"
"979","T.Homer","00-0035594","WR"
"980","M.Pruitt","00-0031585","WR"
"981","J.Hollister","00-0033387","WR"
"982","J.Conner","00-0033553","WR"
"983","P.Dorsett","00-0032208","WR"
"984","E.Engram","00-0033881","WR"
"985","C.Johnson","00-0036254","WR"
"986","J.Proche","00-0036133","WR"
"987","K.Hodge","00-0034854","WR"
"988","A.Miller","00-0034353","WR"
"989","R.Freeman","00-0034838","WR"
"990","A.Erickson","00-0032543","WR"
"991","T.Tremble","00-0037005","WR"
"992","O.Beckham","00-0031235","WR"
"993","D.Watt","00-0032897","WR"
"994","A.Tate","00-0034686","WR"
"995","R.McCloud","00-0034407","WR"
"996","C.White","00-0035891","WR"
"997","Aa.Rodgers","00-0023459","WR"
"998","T.Sermon","00-0036984","WR"
"999","J.Deguara","00-0036332","WR"
"1000","C.Batson","00-0034652","WR"
"1001","R.McMath","00-0036652","WR"
"1002","M.Kemp","00-0033481","WR"
"1003","G.Nabers","00-0035908","WR"
"1004","Da.Williams","00-0034301","WR"
"1005","N.Gray","00-0036637","WR"
"1006","M.Brown","00-0031806","WR"
"1007","P.Barber","00-0032741","WR"
"1008","W.Fuller","00-0033127","WR"
"1009","K.Stills","00-0030085","WR"
"1010","J.Taylor","00-0036096","WR"
"1011","B.Bolden","00-0029239","WR"
"1012","D.Spencer","00-0031319","WR"
"1013","K.Cole","00-0033681","WR"
"1014","N.Brown","00-0033591","WR"
"1015","G.Ward","00-0033733","WR"
"1016","B.Scott","00-0034414","WR"
"1017","P.Hart","00-0035022","WR"
"1018","S.Michel","00-0034845","WR"
"1019","S.Miller","00-0035298","WR"
"1020","J.Darden","00-0036877","WR"
"1021","T.Sweeney","00-0035308","WR"
"1022","R.Gilliam","00-0036187","WR"
"1023","T.Heinicke","00-0031800","WR"
"1024","J.Mundt","00-0033246","WR"
"1025","L.Bell","00-0030496","WR"
"1026","R.Smith","00-0035957","WR"
"1027","K.Granson","00-0036876","WR"
"1028","T.Austin","00-0030525","WR"
"1029","T.Irwin","00-0035341","WR"
"1030","J.Agnew","00-0033572","WR"
"1031","T.Campbell","00-0034903","WR"
"1032","T.Hill","00-0033357","WR"
"1033","J.Ross","00-0033460","WR"
"1034","D.Washington","00-0032450","WR"
"1035","B.Snell","00-0035217","WR"
"1036","R.Dwelley","00-0034073","WR"
"1037","A.Collins","00-0032426","WR"
"1038","C.McElroy","00-0034735","WR"
"1039","N.Harry","00-0035624","WR"
"1040","J.Reynolds","00-0033943","WR"
"1041","T.Coleman","00-0032058","WR"
"1042","J.Crowder","00-0031941","WR"
"1043","T.Wesco","00-0035259","WR"
"1044","C.Samuel","00-0033282","WR"
"1045","W.Gallman","00-0033950","WR"
"1046","J.Patterson","00-0036755","WR"
"1047","D.Carter","00-0031763","WR"
"1048","J.Gordon","00-0029664","WR"
"1049","J.Horsted","00-0035562","WR"
"1050","J.Richard","00-0033025","WR"
"1051","K.Ballage","00-0034799","WR"
"1052","D.Moore","00-0033589","WR"
"1053","B.Ellefson","00-0035823","WR"
"1054","K.Hill","00-0036669","WR"
"1055","D.Sample","00-0035631","WR"
"1056","L.Murray","00-0030513","WR"
"1057","D.Freeman","00-0031285","WR"
"1058","C.Parkinson","00-0036244","WR"
"1059","M.Hollins","00-0033555","WR"
"1060","I.Ford","00-0033471","WR"
"1061","C.Moore","00-0032398","WR"
"1062","A.Auclair","00-0033421","WR"
"1063","D.Milne","00-0036671","WR"
"1064","T.Benjamin","00-0029269","WR"
"1065","C.Woerner","00-0036429","WR"
"1066","M.Johnson","00-0032980","WR"
"1067","D.Ogunbowale","00-0033854","WR"
"1068","D.Daniels","00-0033258","WR"
"1069","D.Johnson","00-0035628","WR"
"1070","J.Stanton","00-0034311","WR"
"1071","J.Allen","00-0034857","WR"
"1072","T.Kennedy","00-0035544","WR"
"1073","M.Turner","00-0034867","WR"
"1074","K.Herbert","00-0036906","WR"
"1075","T.Hilton","00-0029608","WR"
"1076","J.Bates","00-0036628","WR"
"1077","D.Pettis","00-0034860","WR"
"1078","B.Skowronek","00-0036862","WR"
"1079","R.Bateman","00-0036550","WR"
"1080","M.Boykin","00-0035703","WR"
"1081","M.Boone","00-0034208","WR"
"1082","H.Long","00-0037004","WR"
"1083","S.Smith","00-0036572","WR"
"1084","D.Sills","00-0035359","WR"
"1085","K.Kirkwood","00-0034317","WR"
"1086","C.Thompson","00-0033720","WR"
"1087","D.Jones","00-0035710","WR"
"1088","J.James","00-0032135","WR"
"1089","D.Yelder","00-0034319","WR"
"1090","R.Nall","00-0034597","WR"
"1091","J.Brown","00-0031051","WR"
"1092","T.Cleveland","00-0036439","WR"
"1093","B.Price","00-0036011","WR"
"1094","G.Allison","00-0032626","WR"
"1095","K.Coutee","00-0034366","WR"
"1096","D.Evans","00-0036297","WR"
"1097","D.Gore","00-0035715","WR"
"1098","T.Smith","00-0034765","WR"
"1099","D.Ozigbo","00-0035184","WR"
"1100","K.White","00-0031545","WR"
"1101","J.Johnson","00-0035726","WR"
"1102","G.Olszewski","00-0035645","WR"
"1103","M.White","00-0034401","WR"
"1104","L.Stocker","00-0028042","WR"
"1105","I.Smith-Marsette","00-0036635","WR"
"1106","J.Winfree","00-0035593","WR"
"1107","A.Wesley","00-0035126","WR"
"1108","B.Jordan","00-0036556","WR"
"1109","S.Phillips","00-0036069","WR"
"1110","P.Laird","00-0035342","WR"
"1111","J.Jefferson","00-0036670","WR"
"1112","G.Igwebuike","00-0034614","WR"
"1113","J.Stoll","00-0036741","WR"
"1114","G.Griffin","00-0033095","WR"
"1115","A.Armah","00-0033296","WR"
"1116","C.Grayson","00-0033215","WR"
"1117","K.Rader","00-0034193","WR"
"1118","S.McKeon","00-0036032","WR"
"1119","D.Dafney","00-0036456","WR"
"1120","K.Merritt","00-0035844","WR"
"1121","J.Kelley","00-0036370","WR"
"1122","E.Tomlinson","00-0031690","WR"
"1123","D.Pinter","00-0036215","WR"
"1124","D.Patmon","00-0036228","WR"
"1125","A.Peterson","00-0025394","WR"
"1126","C.Clement","00-0033725","WR"
"1127","F.Darby","00-0036951","WR"
"1128","M.Breida","00-0033308","WR"
"1129","E.Benjamin","00-0036383","WR"
"1130","B.Wright","00-0036754","WR"
"1131","K.Blanton","00-0035603","WR"
"1132","J.Wilson","00-0034115","WR"
"1133","D.Foreman","00-0033925","WR"
"1134","D.Fitzpatrick","00-0036627","WR"
"1135","T.Davis","00-0036250","WR"
"1136","N.Boyle","00-0031598","WR"
"1137","S.Morgan","00-0035399","WR"
"1138","J.Bradley","00-0036110","WR"
"1139","P.Taylor","00-0035973","WR"
"1140","D.Hilliard","00-0034253","WR"
"1141","N.Bawden","00-0034433","WR"
"1142","Q.Ollison","00-0035273","WR"
"1143","T.Jackson","00-0035356","WR"
"1144","J.Arcega-Whiteside","00-0035246","WR"
"1145","N.Vannett","00-0032394","WR"
"1146","A.Thomas","00-0036386","WR"
"1147","B.Perriman","00-0032054","WR"
"1148","C.Myarick","00-0035345","WR"
"1149","T.McKitty","00-0037011","WR"
"1150","T.Williams","00-0027857","WR"
"1151","A.Prentice","00-0036727","WR"
"1152","I.Coulter","00-0036308","WR"
"1153","T.Wallace","00-0036630","WR"
"1154","D.Bradwell","00-0035898","WR"
"1155","D.Helm","00-0035428","WR"
"1156","A.Walter","00-0035187","WR"
"1157","P.Cooper","00-0033111","WR"
"1158","A.McFarland","00-0036336","WR"
"1159","C.Hollister","00-0033386","WR"
"1160","R.Adams","00-0033957","WR"
"1161","D.Davis","00-0035101","WR"
"1162","J.Samuels","00-0034331","WR"
"1163","J.Mickens","00-0033006","WR"
"1164","J.Herbert","00-0036355","WR"
"1165","K.Nwangwu","00-0036842","WR"
"1166","K.Yeboah","00-0036510","WR"
"1167","R.Penny","00-0034750","WR"
"1168","W.Smallwood","00-0032782","WR"
"1169","J.Williams","00-0032975","WR"
"1170","S.Zylstra","00-0036534","WR"
"1171","T.Decker","00-0032381","WR"
"1172","C.Reynolds","00-0035567","WR"
"1173","T.Ragas","00-0036523","WR"
"1174","D.Montgomery","00-0035045","WR"
"1175","V.Smith","00-0034631","WR"
"1176","E.Winston","00-0036080","WR"
"1177","K.Crossen","00-0034435","WR"
"1178","N.Bellore","00-0028292","WR"
"1179","J.Ward","00-0035924","WR"
"1180","A.Isabella","00-0035527","WR"
"1181","G.Ricci","00-0035956","WR"
"1182","J.Sprinkle","00-0033528","WR"
"1183","D.Newsome","00-0036907","WR"
"1184","K.Vaughn","00-0036450","WR"
"1185","Z.Wilson","00-0037013","WR"
"1186","D.Johnson","00-0032257","WR"
"1187","C.Wilkins","00-0035231","WR"
"1188","B.Hopkins","00-0036424","WR"
"1189","M.Hall","00-0033094","WR"
"1190","C.McDermott","00-0033300","WR"
"1191","J.Moore","00-0035432","WR"
"1192","E.Wolf","00-0034672","WR"
"1193","T.Lewis","00-0032881","WR"
"1194","J.Howard","00-0032780","WR"
"1195","L.Johnson","00-0030561","WR"
"1196","K.Blasingame","00-0035099","WR"
"1197","R.Bonnafon","00-0034578","WR"
"1198","S.Sullivan","00-0036438","WR"
"1199","T.Steele","00-0036036","WR"
"1200","G.Dortch","00-0035500","WR"
"1201","D.Dawkins","00-0033904","WR"
"1202","D.Lock","00-0035704","WR"
"1203","S.Williams","00-0036657","WR"
"1204","M.Nelson","00-0035328","WR"
"1205","K.Wilkerson","00-0036183","WR"
"1206","R.Armstead","00-0035268","WR"
"1207","G.Bradbury","00-0035588","WR"
"1208","D.Brown","00-0032098","WR"
"1209","C.Saunders","00-0036910","WR"
"1210","M.Wilcox","00-0035771","WR"
"1211","T.Williams","00-0035291","WR"
"1212","T.Taylor","00-0033292","WR"
"1213","R.Rodgers","00-0031384","WR"
"1214","J.Huntley","00-0036278","WR"
"1215","M.Sargent","00-0036698","WR"
"1216","T.Black","00-0036491","WR"
"1217","C.Akers","00-0036414","WR"
"1218","T.Doyle","00-0036560","WR"
"1219","N.Allegretti","00-0035149","WR"
"1220","C.Goodwin","00-0031357","WR"
"1221","M.Gay","00-0035269","WR"
"1222","M.Stafford","00-0026498","WR"
"1223","Br.Hall","00-0038120","WR"
"1224","I.Likely","00-0037838","WR"
"1225","L.Cager","00-0036145","WR"
"1226","G.Wilson","00-0037740","WR"
"1227","J.Hill","00-0034975","WR"
"1228","T.Atwell","00-0036849","WR"
"1229","Al.Robinson","00-0031428","WR"
"1230","B.Powell","00-0034646","WR"
"1231","D.Moore","00-0034827","WR"
"1232","A.Beck","00-0034959","WR"
"1233","I.Smith","00-0034970","WR"
"1234","C.Watson","00-0038124","WR"
"1235","R.Doubs","00-0037816","WR"
"1236","A.Pierce","00-0037664","WR"
"1237","T.Hairston","00-0037456","WR"
"1238","D.Pierce","00-0037258","WR"
"1239","T.Etienne","00-0036973","WR"
"1240","J.Dotson","00-0037741","WR"
"1241","A.Rogers","00-0037168","WR"
"1242","S.Moore","00-0038090","WR"
"1243","Ju.Watson","00-0034386","WR"
"1244","Z.Horvath","00-0037331","WR"
"1245","R.Mostert","00-0031687","WR"
"1246","D.London","00-0037238","WR"
"1247","D.Harty","00-0035215","WR"
"1248","M.Thomas","00-0032765","WR"
"1249","A.Williams","00-0036950","WR"
"1250","C.Olave","00-0037239","WR"
"1251","T.Burks","00-0037742","WR"
"1252","W.Robinson","00-0038117","WR"
"1253","R.James","00-0034286","WR"
"1254","K.Philips","00-0037273","WR"
"1255","C.Okonkwo","00-0037809","WR"
"1256","N.Togiai","00-0036005","WR"
"1257","Ja.Williams","00-0033948","WR"
"1258","G.Pickens","00-0037247","WR"
"1259","J.Warren","00-0037228","WR"
"1260","Mi.Thomas","00-0033114","WR"
"1261","D.Houston","00-0037570","WR"
"1262","R.White","00-0037256","WR"
"1263","S.Fehoko","00-0036646","WR"
"1264","D.Williams","00-0034301","WR"
"1265","A.Baccellia","00-0035876","WR"
"1266","T.Hudson","00-0034613","WR"
"1267","D.Bellinger","00-0038115","WR"
"1268","M.Washington","00-0037272","WR"
"1269","R.Cracraft","00-0034054","WR"
"1270","Dav.Bell","00-0037257","WR"
"1271","J.Ruckert","00-0037805","WR"
"1272","K.Walker","00-0038134","WR"
"1273","D.Gray","00-0037828","WR"
"1274","C.Otton","00-0038129","WR"
"1275","K.Kieft","00-0037311","WR"
"1276","Q.Morris","00-0036590","WR"
"1277","H.Haskins","00-0037617","WR"
"1278","J.Cook","00-0037248","WR"
"1279","K.Shakir","00-0037261","WR"
"1280","T.Allgeier","00-0037263","WR"
"1281","J.Dobbins","00-0036158","WR"
"1282","J.Ferguson","00-0038041","WR"
"1283","P.Hendershot","00-0037569","WR"
"1284","J.Tolbert","00-0037666","WR"
"1285","T.Ebner","00-0037087","WR"
"1286","J.Tonges","00-0037112","WR"
"1287","J.Woods","00-0037755","WR"
"1288","G.Calcaterra","00-0037086","WR"
"1289","M.Forristall","00-0036692","WR"
"1290","T.McBride","00-0037744","WR"
"1291","R.Wilson","00-0029263","WR"
"1292","T.Jones","00-0036497","WR"
"1293","M.Schreck","00-0033798","WR"
"1294","M.Bandy","00-0036959","WR"
"1295","D.Asiasi","00-0036194","WR"
"1296","J.Nailor","00-0037291","WR"
"1297","F.Franks","00-0036825","WR"
"1298","V.Jones","00-0037745","WR"
"1299","J.Gervase","00-0035609","WR"
"1300","T.Thornton","00-0038104","WR"
"1301","D.Jackson","00-0036493","WR"
"1302","T.Conner","00-0037348","WR"
"1303","I.Hodgins","00-0036165","WR"
"1304","T.Gentry","00-0033633","WR"
"1305","Co.Heyward","00-0037304","WR"
"1306","C.Turner","00-0037078","WR"
"1307","I.Pacheco","00-0037197","WR"
"1308","R.Rivers","00-0037557","WR"
"1309","R.Shaheed","00-0037545","WR"
"1310","K.Turpin","00-0037801","WR"
"1311","G.Dulcich","00-0037252","WR"
"1312","B.Zappe","00-0038108","WR"
"1313","M.Woods","00-0037300","WR"
"1314","A.Rodgers","00-0036991","WR"
"1315","G.Edwards","00-0034184","WR"
"1316","B.Robinson","00-0037746","WR"
"1317","S.Toure","00-0037098","WR"
"1318","M.Kinsey","00-0036176","WR"
"1319","T.Davis-Price","00-0037827","WR"
"1320","K.Ingram","00-0037299","WR"
"1321","S.Brown","00-0036543","WR"
"1322","M.Davis","00-0037563","WR"
"1323","J.Mitchell","00-0037282","WR"
"1324","B.Sanders","00-0037355","WR"
"1325","M.Alexander","00-0037708","WR"
"1326","J.Goff","00-0033106","WR"
"1327","S.Sims","00-0034928","WR"
"1328","R.Blackshear","00-0037429","WR"
"1329","D.Bakhtiari","00-0030074","WR"
"1330","J.Wilkins","00-0034400","WR"
"1331","T.Quitoriano","00-0037277","WR"
"1332","J.Camp","00-0036858","WR"
"1333","K.Williams","00-0037840","WR"
"1334","J.Virgil","00-0037387","WR"
"1335","T.Brady","00-0019596","WR"
"1336","C.Huntley","00-0036829","WR"
"1337","I.Spiller","00-0038045","WR"
"1338","S.Smartt","00-0037475","WR"
"1339","B.Johnson","00-0037382","WR"
"1340","Z.Knight","00-0037157","WR"
"1341","L.Tunsil","00-0032380","WR"
"1342","L.McCutcheon","00-0037055","WR"
"1343","J.Harris","00-0036918","WR"
"1344","Ma.Jones","00-0037253","WR"
"1345","J.Williams","00-0037240","WR"
"1346","A.Trammell","00-0036841","WR"
"1347","J.Chestnut","00-0037594","WR"
"1348","D.Turner","00-0036527","WR"
"1349","P.Sewell","00-0036880","WR"
"1350","P.Strong","00-0038098","WR"
"1351","D.Baldwin","00-0038147","WR"
"1352","D.Thompkins","00-0037487","WR"
"1353","N.Webster","00-0035621","WR"
"1354","D.Young","00-0037093","WR"
"1355","J.Driskel","00-0032436","WR"
"1356","K.Grugier-Hill","00-0032437","WR"
"1357","J.Conklin","00-0033057","WR"
"1358","P.Mahomes","00-0033873","WR"
"1359","T.Mabry","00-0036059","WR"
"1360","C.Johnson","00-0036810","WR"
"1361","C.Kolar","00-0038046","WR"
"1362","T.Badie","00-0037085","WR"
"1363","E.Ezukanma","00-0038092","WR"
"1364","J.Flacco","00-0026158","WR"
"1365","J.Ali","00-0038149","WR"
"1366","K.Cousins","00-0029604","WR"
