team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
TB,30,8,367,9,47,367,90.7,62,6
DAL,9,8,325,11,50,325,89.4,65,4
PIT,25,8,319,16,34,319,88.7,61,11
ARZ,1,9,320,4,51,320,88.6,64,9
LA,26,9,345,12,44,345,88.4,68,12
LAC,27,8,345,15,50,345,88.3,73,8
KC,16,9,426,16,64,426,88.0,91,11
SF,28,8,289,14,41,289,87.7,63,8
CIN,7,9,321,16,44,321,86.9,72,12
HST,13,9,331,10,59,331,86.9,78,9
NE,19,9,332,21,43,332,86.7,76,12
WAS,32,8,322,12,55,322,86.5,77,10
JAX,15,8,324,15,60,324,86.3,82,7
CLV,8,9,304,9,57,304,86.2,75,9
PHI,24,9,330,10,74,330,85.5,90,6
MIN,18,8,321,21,60,321,85.5,87,6
BLT,3,9,386,16,72,386,85.2,101,13
GB,12,9,328,16,54,328,85.1,84,14
ATL,2,8,325,26,53,325,84.8,89,10
NO,20,8,272,13,52,272,84.7,74,9
NYG,21,9,363,18,68,363,84.3,100,14
BUF,4,8,360,19,78,360,84.3,105,8
CHI,6,9,306,8,57,306,84.2,81,16
LV,23,8,337,21,70,337,84.1,99,8
NYJ,22,8,346,14,82,346,83.5,105,9
DEN,10,9,345,21,57,345,82.9,98,20
SEA,29,8,260,12,49,260,82.9,75,14
IND,14,9,338,31,68,338,81.8,111,12
DET,11,8,340,21,81,340,81.8,113,11
CAR,5,9,362,20,88,362,81.2,122,14
TEN,31,9,328,23,66,328,80.0,110,21
MIA,17,10,444,25,129,444,78.6,172,18
