,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Syracuse,2022-02-28 19:00:00,280,56.00,8.0,18.18,155.5,17.39,25.1,73.8,81.8
North Carolina,2022-02-28 19:00:00,-365,5.48,-8.0,18.18,155.5,19.05,74.9,81.8,73.8
College of Charleston,2022-02-28 19:00:00,190,38.00,5.5,18.18,161.0,20.00,33.0,77.8,83.3
Hofstra,2022-02-28 19:00:00,-235,8.51,-5.5,18.18,161.0,16.67,67.0,83.3,77.8
Massachusetts,2022-02-28 19:00:00,110,22.00,1.5,19.05,138.0,18.18,45.7,68.3,69.8
Fordham,2022-02-28 19:00:00,-130,15.38,-1.5,17.39,138.0,18.18,54.3,69.8,68.3
Central Connecticut,2022-02-28 19:00:00,160,32.00,4.0,18.18,137.0,18.18,37.0,66.5,70.5
Fairleigh-Dickinson,2022-02-28 19:00:00,-190,10.53,-4.0,18.18,137.0,18.18,63.0,70.5,66.5
Delaware State,2022-02-28 19:30:00,460,92.00,10.5,20.00,141.0,19.05,17.1,65.3,75.8
Coppin State,2022-02-28 19:30:00,-650,3.08,-10.5,16.67,141.0,17.39,82.9,75.8,65.3
South Carolina State,2022-02-28 19:30:00,385,77.00,10.0,18.18,148.5,19.05,19.7,69.3,79.3
Howard,2022-02-28 19:30:00,-525,3.81,-10.0,18.18,148.5,17.39,80.3,79.3,69.3
North Carolina Central,2022-02-28 19:30:00,290,58.00,8.5,18.18,139.0,18.18,24.5,65.3,73.8
Norfolk State,2022-02-28 19:30:00,-380,5.26,-8.5,18.18,139.0,18.18,75.5,73.8,65.3
Northwestern,2022-02-28 20:00:00,,,,,,,,,
Iowa,2022-02-28 20:00:00,,,,,,,,,
Maryland-Eastern Shore,2022-02-28 20:00:00,150,30.00,4.0,18.18,140.5,18.18,38.8,68.3,72.3
Morgan State,2022-02-28 20:00:00,-170,11.76,-4.0,18.18,140.5,18.18,61.2,72.3,68.3
Bethune-Cookman,2022-02-28 20:30:00,220,44.00,6.5,17.39,133.5,17.39,29.9,63.5,70.0
Grambling,2022-02-28 20:30:00,-275,7.27,-6.5,19.05,133.5,19.05,70.1,70.0,63.5
Alcorn State,2022-02-28 20:30:00,215,43.00,6.5,17.39,134.0,18.18,30.4,63.8,70.3
Texas Southern,2022-02-28 20:30:00,-265,7.55,-6.5,19.05,134.0,18.18,69.6,70.3,63.8
Baylor,2022-02-28 21:00:00,-125,16.00,-1.5,18.18,135.0,18.18,53.2,68.3,66.8
Texas,2022-02-28 21:00:00,105,21.00,1.5,18.18,135.0,18.18,46.8,66.8,68.3
Kansas State,2022-02-28 21:00:00,600,120.00,13.0,16.67,134.5,20.00,13.7,60.8,73.8
Texas Tech,2022-02-28 21:00:00,-900,2.22,-13.0,20.00,134.5,16.67,86.3,73.8,60.8
Jackson State,2022-02-28 21:00:00,155,31.00,4.0,18.18,133.0,18.18,37.9,64.5,68.5
Prairie View,2022-02-28 21:00:00,-180,11.11,-4.0,18.18,133.0,18.18,62.1,68.5,64.5
Florida A&M,2022-02-28 21:00:00,280,56.00,8.0,18.18,137.5,18.18,25.1,64.8,72.8
Southern,2022-02-28 21:00:00,-365,5.48,-8.0,18.18,137.5,18.18,74.9,72.8,64.8
San Diego State,2022-02-28 21:00:00,-125,16.00,-1.5,18.18,129.0,17.39,53.2,65.3,63.8
Wyoming,2022-02-28 21:00:00,105,21.00,1.5,18.18,129.0,19.05,46.8,63.8,65.3
New Mexico,2022-02-28 22:00:00,410,82.00,10.5,16.67,134.5,18.18,18.7,62.0,72.5
Fresno State,2022-02-28 22:00:00,-575,3.48,-10.5,20.00,134.5,18.18,81.3,72.5,62.0
UCLA,2022-02-28 23:00:00,-425,4.71,-8.0,17.39,138.5,18.18,77.3,73.3,65.3
Washington,2022-02-28 23:00:00,320,64.00,8.0,19.05,138.5,18.18,22.7,65.3,73.3
Washington State,2022-02-28 23:00:00,-365,5.48,-8.0,17.39,138.0,19.05,74.9,73.0,65.0
Oregon State,2022-02-28 23:00:00,280,56.00,8.0,19.05,138.0,17.39,25.1,65.0,73.0
