Rory McIlroy,870,960
Matthew Fitzpatrick,1771,1839
Corey Conners,1925,1888
Tony Finau,2294,2464
Russell Henley,2475,2665
Keegan Bradley,2270,3025
Abraham Ancer,3115,2941
Tyrrell Hatton,3286,3591
Marc Leishman,3315,3550
Seamus Power,3343,3655
Paul Casey,3448,3769
Sergio Garcia,3912,4265
Max Homa,4463,4231
Keith Mitchell,4761,4940
Kevin Streelman,5301,5790
Si Woo Kim,5486,4535
Webb Simpson,5522,5242
Jhonattan Vegas,5679,5913
Gary Woodland,4271,3806
Joel Dahmen,6021,5863
Sepp Straka,6021,5469
Brian Harman,6068,6624
Doug Ghim,6162,6051
Troy Merritt,6400,6824
Adam Long,6453,6331
Cameron Young,4653,4392
Matt Kuchar,6895,6955
C.T. Pan,6955,7385
Patrick Reed,6875,6771
Aaron Rai,8260,7651
Denny McCarthy,8642,9303
Mark Hubbard,8732,9395
Jason Day,8403,7045
Matthew NeSmith,8922,8044
Martin Laird,9547,10256
Russell Knox,9547,8096
Ryan Armour,10259,11047
Matt Jones,10523,11336
Luke List,10941,11621
Lanto Griffin,11395,12272
Alex Smalley,11883,9945
Brendan Steele,11883,10904
Lucas Glover,11883,10947
David Lipsky,12243,9628
Anirban Lahiri,11477,10670
Rickie Fowler,13222,14240
Greyson Sigg,13655,13346
Matthias Schwab,13655,14703
Nate Lashley,14122,15210
Cameron Davis,12609,13315
Dylan Frittelli,15441,16626
Tyler Duncan,15734,13697
Mackenzie Hughes,16037,17273
Nick Taylor,16037,17273
Kyoung-Hoon Lee,16353,16353
Brian Stuard,16681,15583
Chase Seiffert,16681,17962
Taylor Moore,16681,16213
J.T. Poston,17384,14683
Andrew Putnam,17758,17521
Francesco Molinari,16368,17426
Branden Grace,14560,12929
Adam Svensson,19866,21408
Kramer Hickok,19866,17307
Michael Thompson,21971,17682
Sam Ryder,21971,23673
Zach Johnson,22568,23844
Doc Redman,23201,19271
John Huh,24566,21133
Beau Hossler,21438,19707
Brice Garnett,26112,25037
Harry Higgs,26112,25038
Andrew Novak,26954,29043
Chad Ramey,26954,19810
Peter Malnati,26954,29043
Rory Sabbatini,26954,29043
Brandon Wu,11648,9244
Chez Reavie,28818,23391
Dylan Wu,28818,31047
Hank Lebioda,28818,31047
James Hahn,29856,28513
Joseph Bramlett,29856,28513
Scott Piercy,29856,32175
Lee Hodges,30964,29577
Stewart Cink,32158,34649
Danny Lee,33449,36038
Hayden Buckley,34844,26098
Roger Sloan,34844,37544
Vaughn Taylor,34844,33110
Kurt Kitayama,35396,26287
Austin Smotherman,38020,34165
Stephan Jaeger,14840,15990
Trey Mullinax,38020,31861
Adam Schenk,39839,42919
Ben Martin,39839,42919
Cameron Percy,39839,40549
Satoshi Kodaira,39839,35140
Bill Haas,41837,45078
Peter Uihlein,41837,45078
Charl Schwartzel,44043,36290
Henrik Norlander,44043,41585
Wesley Bryan,43614,46992
Callum Tarren,46492,50089
Jim Herman,46492,43830
Kiradech Aphibarnrat,46492,43166
Vincent Whaley,46492,38461
Ben Kohles,49233,40573
Charley Hoffman,49233,46349
Ryan Blaum,49233,53040
Scott Gutschewski,49233,53040
Sung Kang,16382,14739
Bo Hoag,51382,55348
Kevin Chappell,51382,47382
