"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own"
"38","Rickie Fowler",22420107,7400,52.42,0.0075,0.007,50,-5e-04,-0.0667,46.51,1.3,71.5,23,0.95,1,-0.43,8.72,10
"39","Brendan Steele",22420108,7300,54.04,0.0083,0.0091,40,8e-04,0.0964,50.04,5.5,74,23.5,1.25,1,0.01,11.7,15
"40","Dylan Frittelli",22420109,7300,53.71,0.0064,0.006,59,-4e-04,-0.0625,44.23,2.7,70,22.5,0.82,1,-0.42,8.92,10
"41","Alex Smalley",22420110,7300,59.28,0.0083,0.01,37,0.0017,0.2048,51.96,4.8,75.5,24,1.37,1,0.13,13.92,20
"42","Russell Knox",22420111,7300,59.53,0.0104,0.0122,32,0.0018,0.1731,51.96,4.5,75.5,23.93,1.67,1,0.43,14.22,20
"43","Denny McCarthy",22420112,7300,66.47,0.0114,0.0106,34,-8e-04,-0.0702,47.63,5.1,72.5,23,1.45,1,0.21,8.61,15
"44","Matthias Schwab",22420113,7200,59.64,0.0073,0.0068,52,-5e-04,-0.0685,54.48,1.1,77.5,24.5,0.94,1,-0.17,8.92,10
"45","Cameron Davis",22420114,7200,58.18,0.0079,0.0075,47,-0.000400000000000001,-0.0506,52.06,5.5,76.5,24,1.04,1,-0.07,9.17,15
"46","Lucas Glover",22420115,7200,65.5,0.0083,0.0091,40,8e-04,0.0964,51.74,3.2,75,24,1.26,1,0.15,11.81,15
"47","Kurt Kitayama",22420116,7200,53,0.0028,0.0038,78,0.001,0.3571,48.25,3.6,73,23,0.53,1,-0.58,12.84,15
"48","Stewart Cink",22420117,7200,52.88,0.0031,0.0029,90,-2e-04,-0.0645,43.19,2.1,69,22,0.4,1,-0.71,9.11,10
"49","Luke List",22420118,7100,58.47,0.0091,0.0085,44,-6e-04,-0.0659,56.01,3.4,79.5,25,1.2,1,0.21,9,10
"50","Beau Hossler",22420119,7100,53.79,0.0046,0.005,68,4e-04,0.087,42.49,2.2,68.5,21.5,0.7,1,-0.29,10.66,15
"51","Mark Hubbard",22420120,7100,72.57,0.0113,0.0105,35,-0.000799999999999999,-0.0708,48.44,7.2,73,23,1.48,1,0.49,8.82,15
"52","Taylor Moore",22420121,7100,50.5,0.006,0.0061,58,1e-04,0.0167,46.18,0.82,70.5,23,0.86,1,-0.13,10.11,10
"53","Martin Laird",22420122,7100,57.27,0.0104,0.0097,38,-0.000699999999999999,-0.0673,49.26,6.5,73.5,23,1.37,1,0.38,8.93,15
"54","J.T. Poston",22420123,7100,45.56,0.0057,0.0068,52,0.0011,0.193,44.5,3.2,70,22,0.96,1,-0.03,12.55,15
