,outrights_dk,odds_dk
1,Rory McIlroy,750
2,Corey Conners,1600
3,Russell Henley,2000
4,Matthew Fitzpatrick,2000
5,Marc Leishman,2000
6,Tyrrell Hatton,2000
7,Tony Finau,2500
8,Seamus Power,2500
9,Keegan Bradley,2800
10,Cameron Young,2800
11,Max Homa,2800
12,Troy Merritt,3500
13,Gary Woodland,3500
14,Abraham Ancer,3500
15,Paul Casey,3500
16,Sergio Garcia,3500
17,Patrick Reed,4000
18,Si Woo Kim,4000
19,Keith Mitchell,4000
20,Sepp Straka,4000
21,Matt Kuchar,5000
22,Jason Day,5000
23,Webb Simpson,6000
24,Joel Dahmen,6000
25,Brian Harman,6500
26,Jhonattan Vegas,6500
27,Lucas Glover,8000
28,Cheng-Tsung Pan,8000
29,Matthias Schwab,8000
30,Adam Long,8000
31,Dylan Frittelli,8000
32,Denny McCarthy,8000
33,Kevin Streelman,8000
34,Doug Ghim,8000
35,Aaron Rai,8000
36,David Lipsky,10000
37,Cameron Davis,10000
38,Anirban Lahiri,10000
39,Beau Hossler,10000
40,Brandon Wu,10000
41,Francesco Molinari,10000
42,Mackenzie Hughes,10000
43,Matthew NeSmith,10000
44,Brendan Steele,10000
45,Alex Smalley,13000
46,Nick Taylor,13000
47,Greyson Sigg,13000
48,Matthew Wolff,13000
49,Russell Knox,13000
50,Kyoung-Hoon Lee,13000
51,Rickie Fowler,13000
52,Mark Hubbard,13000
53,Martin Laird,13000
54,Luke List,13000
55,Pat Perez,15000
56,Matt Jones,15000
57,John Huh,15000
58,Andrew Putnam,15000
59,Doc Redman,15000
60,Kurt Kitayama,15000
61,Peter Malnati,15000
62,Nate Lashley,15000
63,Taylor Moore,15000
64,Stewart Cink,15000
65,Chad Ramey,15000
66,Lanto Griffin,15000
67,Brian Stuard,15000
68,Andrew Novak,18000
69,Sam Ryder,18000
70,Tyler Duncan,18000
71,Stephan Jaeger,18000
72,Cameron Percy,18000
73,Austin Smotherman,18000
74,Chez Reavie,20000
75,Ryan Armour,20000
76,Rory Sabbatini,20000
77,Scott Piercy,20000
78,Vincent Whaley,20000
79,Branden Grace,20000
80,Jonathan Byrd,20000
81,Zach Johnson,20000
82,Sung Kang,20000
83,Hank Lebioda,20000
84,Harry Higgs,25000
85,Brandon Matthews,25000
86,Adam Svensson,25000
87,J.T. Poston,25000
88,Ben Kohles,25000
89,Trey Mullinax,25000
90,Bryson Nimmer,25000
91,Dylan Wu,25000
92,Charley Hoffman,25000
93,Peter Uihlein,25000
94,Lee Hodges,25000
95,Charl Schwartzel,25000
96,Kevin Chappell,25000
97,Chase Seiffert,25000
98,Satoshi Kodaira,25000
99,Danny Lee,25000
100,Adam Schenk,25000
101,Hayden Buckley,30000
102,Kiradech Aphibarnrat,30000
103,Michael Thompson,30000
104,Ryan Blaum,30000
105,Kramer Hickok,30000
106,Vaughn Taylor,30000
107,Roger Sloan,30000
108,Callum Tarren,30000
109,Kelly Kraft,30000
110,Bo Hoag,30000
111,Jim Herman,30000
112,Brice Garnett,30000
113,Joseph Bramlett,30000
114,Luke Donald,40000
115,Wesley Bryan,40000
116,Scott Gutschewski,40000
117,Bill Haas,40000
118,Justin Lower,40000
119,Matt Wallace,40000
120,James Hahn,40000
121,Paul Barjon,40000
122,Nick Watney,40000
123,Kevin Tway,40000
124,William McGirt,40000
125,Jared Wolfe,40000
126,Curtis Thompson,40000
127,Henrik Norlander,40000
128,Turk Pettit,40000
129,Martin Trainer,40000
130,Johnson Wagner,40000
131,Chesson Hadley,40000
132,Brandon Hagy,50000
133,Camilo Villegas,50000
134,Austin Cook,50000
135,Jonas Blixt,50000
136,Bo Van Pelt,50000
137,Max McGreevy,50000
138,Brett Drewitt,50000
139,Michael Gligic,50000
140,Dawie Van Der Walt,50000
141,Joshua Creel,50000
142,Ben Martin,50000
143,Seth Reeves,50000
144,Larkin Gross,50000
145,Jim Knous,50000
146,Morgan Hoffmann,50000
147,David Skinns,50000
148,Richy Werenski,50000
149,Seung-Yul Noh,50000
