,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Golden Knights,2021-12-17 19:00:00,-135,14.81,-1.5,35.00,6.0,20.00,54.7,3.8,2.3
Rangers,2021-12-17 19:00:00,110,22.00,1.5,9.52,6.0,16.67,45.3,2.3,3.8
Sabres,2021-12-17 19:00:00,250,50.00,1.5,22.00,5.5,16.67,27.3,2.0,3.5
Penguins,2021-12-17 19:00:00,-320,6.25,-1.5,15.38,5.5,20.00,72.7,3.5,2.0
Stars,2021-12-17 20:00:00,-110,18.18,1.5,7.84,5.5,17.39,50.0,2.0,3.5
Blues,2021-12-17 20:00:00,-110,18.18,-1.5,41.00,5.5,19.05,50.0,3.5,2.0
Capitals,2021-12-17 20:00:00,-105,19.05,-1.5,45.00,6.0,20.00,48.9,3.8,2.3
Jets,2021-12-17 20:00:00,-115,17.39,1.5,7.14,6.0,16.67,51.1,2.3,3.8
Predators,2021-12-17 20:30:00,120,24.00,1.5,9.52,5.5,18.18,43.8,2.0,3.5
Blackhawks,2021-12-17 20:30:00,-140,14.29,-1.5,35.00,5.5,18.18,56.2,3.5,2.0
Coyotes,2021-12-17 22:00:00,250,50.00,1.5,20.00,5.5,22.00,27.3,2.0,3.5
Ducks,2021-12-17 22:00:00,-320,6.25,-1.5,16.67,5.5,15.38,72.7,3.5,2.0
