"Squad.x","DateTime.x","Win.x","Cover.x","Total.Points.x","Implied.x","Implied.Score.x","Opp.Score.x","DateTimeScorePoints","AdjEM.x","RankAdjEM.x","AdjTempo.x","RankAdjTempo.x","AdjOE.x","RankAdjOE.x","AdjDE.x","RankAdjDE.x","Squad.y","DateTime.y","Win.y","Cover.y","Total.Points.y","Implied.y","Implied.Score.y","Opp.Score.y","AdjEM.y","RankAdjEM.y","AdjTempo.y","RankAdjTempo.y","AdjOE.y","RankAdjOE.y","AdjDE.y","RankAdjDE.y","AdjEM.diff","Cover.plus.AdjEM","AdjTempo.diff","AdjTempo.sum","Adjtempo_minus_Points","Home.Squad.Cover","Away_Home","rank_sum","rank_Total.Points.y","rank_AdjTempo.sum","Cover.y_rank","thrill_score"
"11","Loyola Chicago","3/6/2022 14:00","",-4.5,132.5,NA,NA,NA,NA,17.555,24,65,319,111.844,35,94.29,26,"Drake","3/6/2022 14:00","",4.5,132.5,NA,NA,NA,9.707,84,66.5,247,109.211,74,99.503,103,-7.848,-3.348,1.5,131.5,-1,"Drake 4.5","Loyola Chicago Drake",108,20,23,16,63
"12","Lehigh","3/6/2022 14:00","650",13,146.5,12.8,66.8,79.8,NA,-11.854,300,68.6,112,98.871,262,110.726,307,"Colgate","3/6/2022 14:00","-1000",-13,146.5,87.2,79.8,66.8,3.41,126,67.8,170,108.462,85,105.052,210,15.264,2.264,-0.799999999999997,136.4,-10.1,"Colgate -13","Lehigh Colgate",426,8,7,26,212
"13","NJIT","3/6/2022 14:00","",23.5,131,NA,53.8,77.3,NA,-17.993,342,66.5,250,89.748,354,107.742,261,"Vermont","3/6/2022 14:00","",-23.5,131,NA,77.3,53.8,11.252,72,65.8,274,110.261,62,99.009,88,29.245,5.745,-0.700000000000003,132.3,1.30000000000001,"Vermont -23.5","NJIT Vermont",414,22,20,28,242
"14","Albany","3/6/2022 14:00","170",4.5,132.5,35.7,64,68.5,NA,-10.166,283,65.6,285,93.553,335,103.719,179,"Hartford","3/6/2022 14:00","-200",-4.5,132.5,64.3,68.5,64,-9.773,280,67.8,173,102.768,190,112.54,335,0.393000000000001,-4.107,2.2,133.4,0.899999999999977,"Hartford -4.5","Albany Hartford",563,20,16,16,244
"15","Delaware","3/6/2022 14:30","100",1.5,142,47.8,70.3,71.8,NA,0.597,165,67.3,199,107.973,91,107.376,255,"Drexel","3/6/2022 14:30","-120",-1.5,142,52.2,71.8,70.3,1.482,148,66.8,223,105.676,130,104.194,192,0.885,-0.615,-0.5,134.1,-7.90000000000001,"Drexel -1.5","Delaware Drexel",313,12,14,4,134
"16","Tulane","3/6/2022 15:00","400",9.5,147,19.1,68.8,78.3,NA,7.645,98,68.3,130,109.289,73,101.644,138,"SMU","3/6/2022 15:00","-550",-9.5,147,80.9,78.3,68.8,12.848,58,68.6,111,110.646,53,97.798,70,5.203,-4.297,0.299999999999997,136.9,-10.1,"SMU -9.5","Tulane SMU",156,6,6,24,93
"17","Boston University","3/6/2022 16:00","130",2.5,127,42,62.3,64.8,NA,-3.302,216,65.8,276,105.414,137,108.716,278,"Navy","3/6/2022 16:00","-150",-2.5,127,58,64.8,62.3,-0.83,179,65.2,307,95.216,322,96.046,47,2.472,-0.028,-0.599999999999994,131,4,"Navy -2.5","Boston University Navy",395,26,24,9,173
"18","Wofford","3/6/2022 16:00","",2,134,NA,66,68,NA,6.187,107,64.8,322,107.2,104,101.013,128,"Chattanooga","3/6/2022 16:00","",-2,134,NA,68,66,10.26,81,65.5,291,110.145,63,99.885,110,4.073,2.073,0.700000000000003,130.3,-3.69999999999999,"Chattanooga -2","Wofford Chattanooga",188,19,25,7,88
"19","Maryland","3/6/2022 16:30","195",6,142.5,32.4,68.3,74.3,NA,10.228,82,67,214,109.964,66,99.736,107,"Michigan St.","3/6/2022 16:30","-240",-6,142.5,67.6,74.3,68.3,14.405,43,68.2,139,111.296,44,96.891,56,4.177,-1.823,1.2,135.2,-7.30000000000001,"Michigan St. -6","Maryland Michigan St.",125,10,11,18,71
"20","Lafayette","3/6/2022 18:00","100",1.5,139,47.8,68.8,70.3,NA,-14.514,324,65.2,305,97.678,282,112.192,330,"Troy","3/6/2022 18:00","-120",-1.5,139,52.2,70.3,68.8,-0.249,173,67.5,188,100.135,241,100.384,117,14.265,12.765,2.3,132.7,-6.30000000000001,"Troy -1.5","Lafayette Troy",497,14,19,4,209
"21","Elon","3/6/2022 18:00","155",4,134.5,37.9,65.3,69.3,NA,-6.391,244,66.5,244,100.038,244,106.429,243,"UNC Wilmington","3/6/2022 18:00","-180",-4,134.5,62.1,69.3,65.3,-1.465,188,66.5,242,103.589,177,105.054,211,4.926,0.926,0,133,-1.5,"UNC Wilmington -4","Elon UNC Wilmington",432,18,17,14,190
"22","Samford","3/6/2022 18:30","",8,152,NA,72,80,NA,-1.223,184,69.7,70,105.613,132,106.835,248,"Furman","3/6/2022 18:30","",-8,152,NA,80,72,11.268,70,65.7,283,115.067,16,103.799,182,12.491,4.491,-4,135.4,-16.6,"Furman -8","Samford Furman",254,4,10,22,128
"23","South Dakota","3/6/2022 19:00","100",1,136,47.8,67.5,68.5,NA,-2.548,205,66.5,248,105.25,141,107.798,264,"UMKC","3/6/2022 19:00","-120",-1,136,52.2,68.5,67.5,-2.253,198,67.9,161,101.265,220,103.518,174,0.295,-0.705,1.40000000000001,134.4,-1.59999999999999,"UMKC -1","South Dakota UMKC",403,17,13,1,168
"24","Iowa","3/6/2022 19:30","",3.5,154,NA,NA,NA,NA,22.165,14,70.2,56,120.454,4,98.289,77,"Illinois","3/6/2022 19:30","",-3.5,154,NA,NA,NA,19.916,18,67.8,171,114.807,19,94.891,32,-2.249,-5.749,-2.40000000000001,138,-16,"Illinois -3.5","Iowa Illinois",32,3,4,12,24
"25","Minnesota","3/6/2022 19:30","",7.5,137,NA,NA,NA,NA,6.166,108,65.5,292,108.641,83,102.475,154,"Northwestern","3/6/2022 19:30","",-7.5,137,NA,NA,NA,10.46,78,67.9,159,107.335,100,96.875,55,4.294,-3.206,2.40000000000001,133.4,-3.59999999999999,"Northwestern -7.5","Minnesota Northwestern",186,16,15,20,102
"26","Georgia St.","3/6/2022 20:30","100",1.5,129,47.8,63.8,65.3,NA,0.984,157,68.1,145,100.119,242,99.134,94,"Appalachian St.","3/6/2022 20:30","-120",-1.5,129,52.2,65.3,63.8,1.451,150,64.7,326,101.792,207,100.341,115,0.467,-1.033,-3.39999999999999,132.8,3.80000000000001,"Appalachian St. -1.5","Georgia St. Appalachian St.",307,25,18,4,133
"27","Charleston","3/6/2022 20:30","140",3.5,158.5,40.4,77.5,81,NA,0.935,159,74.4,1,104.718,147,103.784,181,"Hofstra","3/6/2022 20:30","-160",-3.5,158.5,59.6,81,77.5,4.289,119,69.6,74,109.043,77,104.755,202,3.354,-0.146,-4.80000000000001,144,-14.5,"Hofstra -3.5","Charleston Hofstra",278,2,1,12,122
"28","Western Illinois","3/6/2022 21:30","",6,163,NA,NA,NA,NA,-5.181,233,71.3,28,102.062,202,107.243,253,"Oral Roberts","3/6/2022 21:30","",-6,163,NA,NA,NA,1.485,147,71,32,110.294,61,108.809,279,6.666,0.666,-0.299999999999997,142.3,-20.7,"Oral Roberts -6","Western Illinois Oral Roberts",380,1,2,18,170
