,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Manhattan,2022-01-14 19:00:00,950,190.00,14.5,17.39,146.5,18.18,9.1,66.0,80.5
Iona,2022-01-14 19:00:00,-1750,1.14,-14.5,19.05,146.5,18.18,90.9,80.5,66.0
Siena,2022-01-14 19:00:00,165,33.00,4.0,18.18,130.0,19.05,36.3,63.0,67.0
Marist,2022-01-14 19:00:00,-195,10.26,-4.0,18.18,130.0,17.39,63.7,67.0,63.0
Quinnipiac,2022-01-14 19:00:00,-110,18.18,1.5,16.00,147.5,17.39,50.0,73.0,74.5
Rider,2022-01-14 19:00:00,-110,18.18,-1.5,21.00,147.5,19.05,50.0,74.5,73.0
Monmouth,2022-01-14 19:00:00,-160,12.50,-4.0,19.05,137.0,20.00,59.6,70.5,66.5
St. Peter's,2022-01-14 19:00:00,140,28.00,4.0,17.39,137.0,16.67,40.4,66.5,70.5
VCU,2022-01-14 19:30:00,125,25.00,3.0,17.39,130.5,17.39,42.9,63.8,66.8
St. Bonaventure,2022-01-14 19:30:00,-145,13.79,-3.0,19.05,130.5,19.05,57.1,66.8,63.8
Akron,2022-01-14 20:00:00,100,20.00,1.5,18.18,133.5,20.00,47.8,66.0,67.5
Kent State,2022-01-14 20:00:00,-120,16.67,-1.5,18.18,133.5,16.67,52.2,67.5,66.0
Michigan,2022-01-14 21:00:00,,,,,,,,,
Illinois,2022-01-14 21:00:00,,,,,,,,,
Davidson,2022-01-14 21:00:00,105,21.00,1.5,18.18,145.0,16.67,46.8,71.8,73.3
Richmond,2022-01-14 21:00:00,-125,16.00,-1.5,18.18,145.0,20.00,53.2,73.3,71.8
Fresno State,2022-01-14 23:00:00,-120,16.67,-1.0,16.67,129.5,17.39,52.2,65.3,64.3
UNLV,2022-01-14 23:00:00,100,20.00,1.0,20.00,129.5,19.05,47.8,64.3,65.3
