"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_pass","dropbacks_game","sum_sd","opp","def_pass_epa_rank","def_rank","cov_rank","ttt_run_p2s","grades_run","def_rush_epa_rank","def_pass_epa_sd","pbe_rank","prsh_rank","prsh","pressure_grades_pass","avg_time_to_throw","pressure_vs_prsh","blitz_dropbacks_percent","blitz_grades_pass","bltz_rank","blitz_grades_pass_sq_blitz_rate","total_rec_salary","name_salary_own"
"1","Jalen Hurts","PHI",8200,14.88,24.21,83.7,35.2,1.263,"CHI",32,32,20,11,84.6,23,2.33,3,32,56.8,53.2,2.88,0.9,0.348,72.9,25,900,7118,"Jalen Hurts 8200 14.88"
"2","Patrick Mahomes","KC",8100,15.69,25.74,86.4,43.8,0.952,"HOU",22,31,32,23.6,89.6,29,0.55,13,16,65.2,63.5,2.82,1,0.234,72,29,820,6950,"Patrick Mahomes 8100 15.69"
"3","Andy Dalton","NO",5200,5.29,16.49,85.9,32.7,0.785,"ATL",31,26,28,9.2,61.4,31,1.48,8,31,58.7,65.6,2.6,1.1,0.263,82,31,1040,6190,"Andy Dalton 5200 5.29"
"4","Taysom Hill","NO",4800,0.01,7.89,80.5,1.8,0.613,"ATL",31,26,28,13.2,87.6,31,1.48,8,31,58.7,75.8,2.51,1.3,0.5,65.1,31,660,6190,"Taysom Hill 4800 0.01"
"5","Dak Prescott","DAL",6200,8.83,19.16,66.8,33.4,0.336,"JAX",23,22,30,20,82.1,21,0.57,11,12,66.2,56,2.61,0.8,0.262,72.8,20,1150,6350,"Dak Prescott 6200 8.83"
"6","Justin Herbert","LAC",7200,11.46,21.94,74.2,47.4,0.241,"TEN",18,8,18,14.2,66.7,1,0.29,20,7,68.1,59.1,2.75,0.9,0.26,60.4,30,570,6850,"Justin Herbert 7200 11.46"
"7","Joe Burrow","CIN",7000,7.82,21.29,85.9,41.1,0.18,"TB",4,21,8,7.6,73.9,18,-1.19,15,30,60.8,56.9,2.52,0.9,0.195,78.5,9,1760,7100,"Joe Burrow 7000 7.82"
"8","Mac Jones","NE",5000,5,17.17,64,34.8,0.154,"LV",30,18,22,6.3,58.3,3,1.17,21,8,67.4,25.9,2.72,0.4,0.216,61.2,12,1040,6039,"Mac Jones 5000 5"
"9","Sam Darnold","CAR",5100,0.57,13.57,71.4,24.5,0.153,"PIT",19,17,21,12.8,45,22,0.39,1,20,64.3,59,3.36,0.9,0.327,78.6,5,2020,5916,"Sam Darnold 5100 0.57"
"10","Ryan Tannehill","TEN",5300,3.1,15.61,73.3,31.5,-0.078,"LAC",15,28,14,9.1,77.4,24,-0.13,31,29,61.1,53.3,2.67,0.9,0.256,78.1,10,1740,6093,"Ryan Tannehill 5300 3.1"
"11","Derek Carr","LV",5600,2.92,17.35,68.3,36,-0.205,"NE",7,13,13,14.2,64.2,12,-1.09,24,11,66.4,59.2,2.8,0.9,0.246,69.1,14,1210,6953,"Derek Carr 5600 2.92"
"12","Zach Wilson","NYJ",5100,2.25,15.11,44.2,31.1,-0.263,"DET",26,25,28,10.8,69.3,25,0.72,12,26,63.1,22,3.09,0.3,0.372,38.4,7,460,6161,"Zach Wilson 5100 2.25"
"13","Brett Rypien","DEN",5000,1,13.56,45,28,-0.322,"ARI",21,27,19,26.7,51,26,0.42,18,22,64,33.6,2.77,0.5,0.161,54,4,990,6301,"Brett Rypien 5000 1"
"14","Tom Brady","TB",5500,4.61,17.78,78,46.3,-0.424,"CIN",3,12,8,6.8,44.8,20,-1.27,2,15,65.4,55.1,2.32,0.8,0.196,64.5,22,840,6582,"Tom Brady 5500 4.61"
"15","Trevor Lawrence","JAX",6000,2.83,17.61,72.1,38.5,-0.43,"DAL",10,9,6,10.7,73.5,4,-0.72,4,3,70.8,32.8,2.48,0.5,0.271,69,13,1290,6315,"Trevor Lawrence 6000 2.83"
"16","Colt McCoy","ARI",5000,0.9,13.72,74.2,43.3,-0.551,"DEN",2,6,2,2.8,31.8,16,-1.32,23,21,64.1,57.4,2.46,0.9,0.192,69.5,3,1660,6470,"Colt McCoy 5000 0.9"
"17","Davis Mills","HOU",5000,0.19,11.87,66,35.2,-0.568,"KC",14,10,7,8.3,61,19,-0.28,26,13,66.1,50.5,2.52,0.8,0.3,63.6,12,1120,6030,"Davis Mills 5000 0.19"
"18","Jared Goff","DET",5700,2.19,15.9,66.4,36.6,-0.803,"NYJ",11,1,1,12.3,58.8,15,-0.66,15,2,71.4,44.8,2.69,0.6,0.347,64,32,620,6295,"Jared Goff 5700 2.19"
"19","Justin Fields","CHI",7400,7.19,18.61,56.4,29.3,-1.455,"PHI",1,4,4,12.8,92,14,-2.07,27,1,72.1,34.3,3.43,0.5,0.301,47.1,18,490,5981,"Justin Fields 7400 7.19"
"20","Desmond Ridder","ATL",5200,3.26,15.35,NA,NA,NA,"NO",20,19,16,NA,NA,13,0.41,10,26,63.1,NA,NA,NA,NA,NA,26,NA,5721,"Desmond Ridder 5200 3.26"
