"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_offense","advantage","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"1","Justin Jefferson","MIN",9100,0,23.28,90.5,56.1,10.4,2.85,1.072,"IND",13,12,0.53,3.45,2.92,24,9,191,0.242,27,284,0.758,2,0.024,6,5.1,"Justin Jefferson 9100 0"
"2","Tyreek Hill","MIA",9000,0,20.27,92.4,95.3,10.5,3.54,1.468,"BUF",17,6,-0.81,3.25,4.06,16,17,67,0.279,17,278,0.721,4,0.081,6,4.7,"Tyreek Hill 9000 0"
"3","Stefon Diggs","BUF",8100,0,19.12,90.3,72.9,9.9,2.61,1.39,"MIA",25,24,0.43,2.86,2.43,6,28,146,0.409,23,274,0.591,18,0.119,10,4.3,"Stefon Diggs 8100 0"
"4","Amari Cooper","CLE",6100,0,15.32,77.7,36.9,8.2,1.96,0.743,"BAL",8,15,1.33,2.9,1.57,10,23,164,0.311,16,258,0.689,14,-0.042,7,3,"Amari Cooper 6100 0"
"5","Michael Pittman Jr.","IND",5800,0,14.35,71.5,40.6,8.7,1.53,0.318,"MIN",27,27,0.16,1.63,1.47,31,2,163,0.186,3,301,0.814,17,0.145,2,3.8,"Michael Pittman Jr. 5800 0"
"6","Jaylen Waddle","MIA",7000,0,13.94,81.5,49,7.1,2.46,0.388,"BUF",17,6,-0.55,2.05,2.6,16,17,69,0.279,17,279,0.721,4,0.081,6,5.9,"Jaylen Waddle 7000 0"
"7","Gabe Davis","BUF",5000,0,12.42,NA,NA,NA,NA,NA,"MIA",25,24,NA,NA,NA,6,28,NA,0.409,23,NA,0.591,18,0.119,NA,NA,"Gabe Davis 5000 0"
"8","Donovan Peoples-Jones","CLE",5100,0,12.3,68.4,28.3,6,1.67,0.291,"BAL",8,15,0.2,1.97,1.77,10,23,162,0.311,16,262,0.689,14,-0.042,1,2.8,"Donovan Peoples-Jones 5100 0"
"9","Adam Thielen","MIN",5200,0,12.04,69.2,30.5,6.8,1.25,-0.02,"IND",13,12,-0.47,0.89,1.36,24,9,188,0.242,27,277,0.758,2,0.024,4,2.4,"Adam Thielen 5200 0"
"10","Parris Campbell","IND",4400,0,10.51,62.6,27.9,4.8,1.05,-0.15,"MIN",27,27,0.3,1.33,1.03,31,2,156,0.186,3,275,0.814,17,0.145,3,5.3,"Parris Campbell 4400 0"
"11","Isaiah McKenzie","BUF",4100,0,9.89,66.5,25.3,4.4,1.19,-0.11,"MIA",25,24,-0.36,0.98,1.34,6,28,100,0.409,23,184,0.591,18,0.119,4,3.3,"Isaiah McKenzie 4100 0"
"12","Demarcus Robinson","BAL",4000,0,9.3,69.2,19.4,4.2,1.43,-0.049,"CLE",6,26,-0.6,1.08,1.68,23,10,89,0.243,15,165,0.757,29,-0.046,1,3.6,"Demarcus Robinson 4000 0"
"13","Alec Pierce","IND",3900,0,8.93,63.1,12.6,5,1.42,-0.156,"MIN",27,27,0.65,2,1.35,31,2,120,0.186,3,211,0.814,17,0.145,2,2.8,"Alec Pierce 3900 0"
"14","Trent Sherfield","MIA",3400,0,6.12,66.1,27.8,3,1.16,-0.49,"BUF",17,6,-1.35,0.23,1.58,16,17,56,0.279,17,203,0.721,4,0.081,2,5,"Trent Sherfield 3400 0"
"15","K.J. Osborn","MIN",3700,0,6.06,58.2,18.3,4.1,0.69,-0.364,"IND",13,12,0.48,1.02,0.54,24,9,162,0.242,27,239,0.758,2,0.024,3,3.3,"K.J. Osborn 3700 0"
"16","Devin Duvernay","BAL",4300,0,5.7,67.2,23,3.4,1.15,-0.141,"CLE",6,26,-0.81,0.69,1.5,23,10,104,0.243,15,211,0.757,29,-0.046,3,3.9,"Devin Duvernay 4300 0"
"17","DeSean Jackson","BAL",3300,0,5.16,84.3,36.2,2.5,3.35,0.493,"CLE",6,26,-1.07,3,4.07,23,10,4,0.243,15,33,0.757,29,-0.046,0,2.6,"DeSean Jackson 3300 0"
"18","David Bell","CLE",3100,0,5.06,53.9,16.2,2.2,0.76,-0.415,"BAL",8,15,-0.26,0.7,0.96,10,23,99,0.311,16,146,0.689,14,-0.042,0,3,"David Bell 3100 0"
"19","Cedrick Wilson Jr.","MIA",3000,0,2.96,NA,NA,NA,NA,NA,"BUF",17,6,NA,NA,NA,16,17,NA,0.279,17,NA,0.721,4,0.081,NA,NA,"Cedrick Wilson Jr. 3000 0"
"20","Ashton Dulin","IND",3200,0,2.24,71.6,NA,2,1.82,NA,"MIN",27,27,1.07,2.05,0.98,31,2,24,0.186,3,65,0.814,17,0.145,1,2.4,"Ashton Dulin 3200 0"
"21","Khalil Shakir","BUF",3000,0,2.13,62.2,NA,1.3,1.14,NA,"MIA",25,24,0.38,1.29,0.91,6,28,36,0.409,23,71,0.591,18,0.119,1,7.4,"Khalil Shakir 3000 0"
"22","Jalen Reagor","MIN",3000,0,1.73,79,NA,0.8,2.81,NA,"IND",13,12,2.23,3.5,1.27,24,9,9,0.242,27,11,0.758,2,0.024,1,4.5,"Jalen Reagor 3000 0"
"23","James Proche II","BAL",3000,0,0.84,NA,NA,NA,NA,NA,"CLE",6,26,NA,NA,NA,23,10,NA,0.243,15,NA,0.757,29,-0.046,NA,NA,"James Proche II 3000 0"
"24","Michael Woods II","CLE",3000,0,0.6,54.7,NA,1,0.48,NA,"BAL",8,15,-1.31,0,1.31,10,23,24,0.311,16,16,0.689,14,-0.042,0,3.5,"Michael Woods II 3000 0"
"25","River Cracraft","MIA",3000,0,0.59,79.5,NA,1.4,1.35,NA,"BUF",17,6,-1.15,0.17,1.32,16,17,12,0.279,17,47,0.721,4,0.081,2,3.1,"River Cracraft 3000 0"
"26","John Brown","BUF",3000,0,0.17,57,NA,0.5,0,NA,"MIA",25,24,0,0,0,6,28,2,0.409,23,2,0.591,18,0.119,0,NA,"John Brown 3000 0"
"27","Mike Strachan","IND",3000,0,0.11,NA,NA,NA,NA,NA,"MIN",27,27,NA,NA,NA,31,2,NA,0.186,3,NA,0.814,17,0.145,NA,NA,"Mike Strachan 3000 0"
"28","Jalen Nailor","MIN",3000,0,0.1,76.3,NA,1,3.11,NA,"IND",13,12,NA,NA,1.88,24,9,0,0.242,27,8,0.758,2,0.024,0,3,"Jalen Nailor 3000 0"
"29","Freddie Swain","MIA",3000,0,NA,NA,NA,NA,NA,NA,"BUF",17,6,NA,NA,NA,16,17,NA,0.279,17,NA,0.721,4,0.081,NA,NA,"Freddie Swain 3000 0"
"30","Erik Ezukanma","MIA",3000,0,NA,NA,NA,NA,NA,NA,"BUF",17,6,NA,NA,NA,16,17,NA,0.279,17,NA,0.721,4,0.081,NA,NA,"Erik Ezukanma 3000 0"
"31","Braylon Sanders","MIA",3000,0,NA,51.1,NA,2,2.83,NA,"BUF",17,6,-4.25,0,4.25,16,17,1,0.279,17,4,0.721,4,0.081,0,2,"Braylon Sanders 3000 0"
"32","Jake Kumerow","BUF",3000,0,NA,62,NA,1.2,1.21,NA,"MIA",25,24,-0.5,0.94,1.44,6,28,16,0.409,23,35,0.591,18,0.119,0,4.8,"Jake Kumerow 3000 0"
"33","Jamison Crowder","BUF",3000,0,NA,53.2,NA,3,0.85,NA,"MIA",25,24,-1.17,0,1.17,6,28,28,0.409,23,37,0.591,18,0.119,0,5,"Jamison Crowder 3000 0"
"34","Tanner Gentry","BUF",3000,0,NA,46.9,NA,0.3,0,NA,"MIA",25,24,0,0,0,6,28,6,0.409,23,5,0.591,18,0.119,0,NA,"Tanner Gentry 3000 0"
"35","Marquez Stevenson","BUF",3000,0,NA,NA,NA,NA,NA,NA,"MIA",25,24,NA,NA,NA,6,28,NA,0.409,23,NA,0.591,18,0.119,NA,NA,"Marquez Stevenson 3000 0"
"36","KeeSean Johnson","BUF",3000,0,NA,NA,NA,NA,NA,NA,"MIA",25,24,NA,NA,NA,6,28,NA,0.409,23,NA,0.591,18,0.119,NA,NA,"KeeSean Johnson 3000 0"
