Player,Roster Position,%Drafted,FPTS
David Montgomery,RB,25.78%,21.1
Sony Michel,RB,23.62%,18.9
Antonio Brown,WR,22.96%,5.6
Ronald Jones II,RB,21.53%,3.7
Jonathan Taylor,RB,21.35%,21.4
Braxton Berrios,WR,20.59%,26.7
Cooper Kupp,WR,20.21%,21.5
Trey Lance,QB,18.01%,20.06
Jaylen Waddle,WR,17.64%,7.7
Devin Singletary,RB,15.76%,26
Darrel Williams,RB,14.43%,25.7
D'Andre Swift,RB,13.55%,5.9
Brandin Cooks,WR,12.77%,19.6
Patriots ,DST,12.66%,12
Rashaad Penny,RB,12.63%,35.5
Colts ,DST,11.55%,6
Tee Higgins,WR,10.88%,9.2
Odell Beckham Jr.,WR,10.55%,14.9
Bears ,DST,10.46%,21
Michael Gallup,WR,10.07%,12.6
Dolphins ,DST,9.69%,0
Dallas Goedert,TE,9.69%,13.1
Amon-Ra St. Brown,WR,9.37%,38.4
Zach Ertz,TE,9.07%,11.1
Jalen Hurts,QB,9.02%,12.96
Dak Prescott,QB,8.47%,24.04
Foster Moreau,TE,8.43%,1.9
Joe Burrow,QB,8.40%,37.84
C.J. Uzomah,TE,8.35%,7.2
Dalton Schultz,FLEX,8.32%,11.4
Christian Kirk,WR,8.31%,13.9
Matthew Stafford,QB,8.20%,20.26
Josh Allen,QB,8.18%,23.9
Joe Mixon,RB,8.07%,15.6
A.J. Brown,WR,8.06%,6.1
Byron Pringle,WR,7.79%,6.5
CeeDee Lamb,WR,7.77%,8.1
Travis Kelce,TE,7.70%,13.4
Tyler Boyd,WR,7.67%,13.6
Saints ,DST,7.65%,15
Gabriel Davis,WR,7.55%,7
Jaret Patterson,FLEX,7.47%,20.8
Rob Gronkowski,TE,7.34%,21.5
Stefon Diggs,WR,7.18%,10.2
Chase Edmonds,FLEX,7.17%,13.2
Tyreek Hill,WR,7.06%,10.2
Cole Beasley,WR,7.02%,6.2
DJ Moore,WR,6.88%,5.9
Tom Brady,QB,6.54%,30.4
Hunter Henry,FLEX,6.36%,6.7
Amari Cooper,WR,6.18%,10.8
Deebo Samuel,WR,6.16%,17.2
Bills ,DST,6.10%,11
Van Jefferson Jr.,WR,6.05%,10.3
Mark Andrews,TE,5.84%,14.9
Patrick Mahomes,QB,5.77%,20.86
Lions ,DST,5.76%,-3
Michael Pittman Jr.,WR,5.75%,10.7
Stephen Anderson,TE,5.70%,1.8
Cole Kmet,TE,5.52%,5.5
Gerald Everett,TE,5.25%,6.6
Eli Mitchell,RB,5.04%,24
Boston Scott,FLEX,4.96%,24.6
Michael Carter,RB,4.92%,7.3
Tyler Huntley,QB,4.81%,12.28
Tyler Lockett,WR,4.78%,12.1
Damien Harris,RB,4.71%,17.7
Cowboys ,DST,4.70%,1
Tyler Higbee,TE,4.68%,12.9
DeVonta Smith,WR,4.66%,8.4
Zay Jones,WR,4.63%,22.9
Hunter Renfrow,WR,4.56%,20.6
Deonte Harris,FLEX,4.38%,4.3
Ja'Marr Chase,WR,4.31%,58.6
Kendrick Bourne,WR,4.10%,14.3
Justin Herbert,QB,4.00%,17.68
George Kittle,TE,4.00%,4.5
Darnell Mooney,FLEX,3.97%,19.9
Noah Fant,TE,3.62%,21.2
Alvin Kamara,RB,3.61%,21
Rex Burkhead,RB,3.59%,13.9
Austin Ekeler,RB,3.47%,20.2
Isaiah McKenzie,WR,3.46%,1.9
Dawson Knox,TE,3.42%,0
Courtland Sutton,WR,3.36%,9
Brevin Jordan,FLEX,3.28%,1.9
DeVante Parker,WR,3.22%,8.6
Jakobi Meyers,WR,3.21%,21.3
Kyler Murray,QB,3.18%,22.92
Marquez Callaway,FLEX,2.91%,15.7
Chargers ,DST,2.88%,13
Rashod Bateman,WR,2.83%,12.8
Broncos ,DST,2.78%,-1
Josh Jacobs,RB,2.76%,18
Buccaneers ,DST,2.73%,3
Mac Jones,QB,2.63%,22.28
Russell Wilson,QB,2.58%,27.84
Dare Ogunbowale,RB,2.55%,14.8
Mecole Hardman,WR,2.51%,6.3
Breshad Perriman,WR,2.50%,6.1
Mike Williams,WR,2.48%,15.3
WAS Football Team ,DST,2.39%,2
DK Metcalf,WR,2.39%,30.9
Keenan Allen,WR,2.29%,14.4
Marvin Jones Jr.,FLEX,2.24%,6.6
A.J. Green,WR,2.23%,10.4
Brandon Aiyuk,WR,2.18%,13.4
Taysom Hill,QB,2.13%,17.38
Ezekiel Elliott,RB,2.10%,4
Jeff Wilson Jr.,RB,2.09%,0
Rhamondre Stevenson,RB,2.08%,25.7
T.Y. Hilton,WR,2.08%,11.5
Titans ,DST,1.99%,15
Texans ,DST,1.94%,3
Seahawks ,DST,1.91%,5
Allen Robinson II,FLEX,1.90%,7.5
Cameron Brate,TE,1.89%,8.5
Giants ,DST,1.86%,6
Tony Pollard,RB,1.80%,8.8
Mo Alie-Cox,TE,1.79%,5.8
Eagles ,DST,1.77%,6
Cordarrelle Patterson,RB,1.74%,7.2
Tua Tagovailoa,QB,1.73%,6.3
49ers ,DST,1.72%,9
Marquise Brown,WR,1.68%,4.8
Nick Westbrook-Ikhine,WR,1.63%,0
Saquon Barkley,RB,1.62%,13.2
Falcons ,DST,1.60%,8
Ke'Shawn Vaughn,RB,1.53%,6.5
Kyle Pitts,FLEX,1.50%,8.9
Rams ,DST,1.47%,13
Robby Anderson,WR,1.46%,3
Davis Mills,QB,1.41%,9.92
Joshua Palmer,WR,1.39%,4.6
Chiefs ,DST,1.38%,3
Javonte Williams,RB,1.35%,4.2
Russell Gage,FLEX,1.33%,8
Jalen Guyton,WR,1.31%,3.1
Evan Engram,TE,1.26%,2.2
Quez Watkins,WR,1.26%,3.5
Derrick Gore,RB,1.24%,5.5
D'Onta Foreman,FLEX,1.20%,22.2
Ricky Seals-Jones,TE,1.19%,1.8
Antoine Wesley,FLEX,1.19%,19
Nico Collins,WR,1.10%,5.5
