"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Cooper Kupp","LA","wr","11","@TB","23.4","0","0","0","0","0","0","0.3459","1.8036","0.0096","11.7064","8.8325","106.4615","0.6211","0.1192","0.0596","0.0318","13.3646","0.016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Josh Allen","BUF","qb","7","@KC","23.1","23.0937","36.296","265.3496","1.5687","1.0043","2.0339","8.267","44.1617","0.4922","0","0","0","0","0.6926","0.3463","0.0889","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Joe Burrow","CIN","qb","10","@TEN","21.9","24.8627","36.706","304.9344","2.082","0.891","2.9177","3.9068","12.0648","0.1859","0","0","0","0","0.5444","0.2722","0.0942","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Tom Brady","TB","qb","9","LA","21.5","25.4731","39.0053","312.4779","2.1626","0.6682","1.7831","2.0743","2.5707","0.1349","0","0","0","0","0.2868","0.1434","0.0696","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Patrick Mahomes","KC","qb","12","BUF","21.4","23.8402","36.8867","277.2849","1.8171","0.6718","1.6251","5.0954","22.9178","0.2534","0","0","0","0","0.5374","0.2687","0.0777","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Ja'Marr Chase","CIN","wr","10","@TEN","20.3","0","0","0","0","0","0","0.5644","3.4121","0.0147","8.9496","6.1227","98.8415","0.6411","0.0951","0.0475","0.0213","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Davante Adams","GB","wr","13","SF","20.1","0","0","0","0","0","0","0.0258","0.1182","0.0012","10.3259","7.2929","85.1275","0.7097","0.0659","0.0329","0.0025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Aaron Rodgers","GB","qb","13","SF","19.8","21.8239","33.4464","254.0177","1.9771","0.519","2.0218","3.1333","9.4109","0.2163","0","0","0","0","0.2769","0.1384","0.0701","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Ryan Tannehill","TEN","qb","13","CIN","19.7","21.3561","32.2728","248.2807","1.5601","0.7461","2.3853","3.8154","21.0531","0.3829","0","0","0","0","0.5989","0.2995","0.0652","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Matthew Stafford","LA","qb","11","@TB","18.6","24.9455","37.0573","287.7441","1.7487","0.9157","1.9214","2.1256","5.994","0.0663","0","0","0","0","0.385","0.1925","0.0802","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
