,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Notre Dame,2021-12-03 18:00:00,,,-4.0,18.18,134.5,20.00,,69.3,65.3
Boston College,2021-12-03 18:00:00,,,4.0,18.18,134.5,16.67,,65.3,69.3
Kansas,2021-12-03 19:00:00,,,-6.0,16.67,157.0,18.18,,81.5,75.5
St. John's,2021-12-03 19:00:00,,,6.0,20.00,157.0,18.18,,75.5,81.5
Texas Rio Grande Valley,2021-12-03 19:00:00,,,27.0,17.39,140.5,18.18,,56.8,83.8
Texas,2021-12-03 19:00:00,,,-27.0,19.05,140.5,18.18,,83.8,56.8
Colgate,2021-12-03 19:00:00,,,,,,,,,
Northeastern,2021-12-03 19:00:00,,,,,,,,,
Fairfield,2021-12-03 19:00:00,,,2.0,18.18,141.5,18.18,,69.8,71.8
Canisius,2021-12-03 19:00:00,,,-2.0,18.18,141.5,18.18,,71.8,69.8
Rider,2021-12-03 19:00:00,,,14.5,18.18,142.0,20.00,,63.8,78.3
Iona,2021-12-03 19:00:00,,,-14.5,18.18,142.0,16.67,,78.3,63.8
Monmouth,2021-12-03 19:00:00,,,-2.0,18.18,139.5,17.39,,70.8,68.8
Niagara,2021-12-03 19:00:00,,,2.0,18.18,139.5,19.05,,68.8,70.8
St. Peter's,2021-12-03 19:00:00,,,-2.5,17.39,136.5,20.00,,69.5,67.0
Quinnipiac,2021-12-03 19:00:00,,,2.5,19.05,136.5,16.67,,67.0,69.5
Manhattan,2021-12-03 19:00:00,,,3.0,16.67,132.0,20.00,,64.5,67.5
Siena,2021-12-03 19:00:00,,,-3.0,20.00,132.0,16.67,,67.5,64.5
College of Charleston,2021-12-03 19:00:00,,,6.5,20.00,159.0,16.67,,76.3,82.8
Furman,2021-12-03 19:00:00,,,-6.5,16.67,159.0,20.00,,82.8,76.3
South Carolina State,2021-12-03 19:00:00,,,,,,,,,
South Florida,2021-12-03 19:00:00,,,,,,,,,
Coppin State,2021-12-03 19:00:00,,,,,,,,,
Cornell,2021-12-03 19:00:00,,,,,,,,,
Bryant,2021-12-03 20:00:00,,,,,,,,,
Houston,2021-12-03 20:00:00,,,,,,,,,
Pittsburgh,2021-12-03 20:00:00,,,14.0,18.18,113.5,16.67,,49.8,63.8
Virginia,2021-12-03 20:00:00,,,-14.0,18.18,113.5,20.00,,63.8,49.8
New Orleans,2021-12-03 20:00:00,,,,,,,,,
Louisiana-Lafayette,2021-12-03 20:00:00,,,,,,,,,
New Mexico State,2021-12-03 20:00:00,,,-1.5,19.05,137.5,19.05,,69.5,68.0
UTEP,2021-12-03 20:00:00,,,1.5,17.39,137.5,17.39,,68.0,69.5
Iowa,2021-12-03 21:00:00,,,12.0,18.18,161.0,18.18,,74.5,86.5
Purdue,2021-12-03 21:00:00,,,-12.0,18.18,161.0,18.18,,86.5,74.5
Tulsa,2021-12-03 21:00:00,,,8.5,17.39,129.5,18.18,,60.5,69.0
Boise State,2021-12-03 21:00:00,,,-8.5,19.05,129.5,18.18,,69.0,60.5
North Dakota,2021-12-03 22:00:00,,,6.5,18.18,139.5,16.67,,66.5,73.0
San Jose State,2021-12-03 22:00:00,,,-6.5,18.18,139.5,20.00,,73.0,66.5
Pepperdine,2021-12-03 22:00:00,,,10.0,18.18,138.0,18.18,,64.0,74.0
Cal-Santa Barbara,2021-12-03 22:00:00,,,-10.0,18.18,138.0,18.18,,74.0,64.0
VMI,2021-12-03 22:00:00,,,3.0,19.05,144.0,18.18,,70.5,73.5
Portland,2021-12-03 22:00:00,,,-3.0,17.39,144.0,18.18,,73.5,70.5
