,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Golden Knights,2021-12-14 19:00:00,110,22.00,1.5,9.52,6.0,20.00,45.7,2.3,3.8
Bruins,2021-12-14 19:00:00,-130,15.38,-1.5,35.00,6.0,16.67,54.3,3.8,2.3
Kings,2021-12-14 19:00:00,165,33.00,1.5,12.50,5.5,20.00,36.1,2.0,3.5
Lightning,2021-12-14 19:00:00,-200,10.00,-1.5,28.00,5.5,16.67,63.9,3.5,2.0
Senators,2021-12-14 19:00:00,235,47.00,1.5,19.05,6.5,19.05,28.5,2.5,4.0
Panthers,2021-12-14 19:00:00,-300,6.67,-1.5,17.39,6.5,17.39,71.5,4.0,2.5
Devils,2021-12-14 19:00:00,105,21.00,1.5,8.89,6.0,19.05,46.8,2.3,3.8
Flyers,2021-12-14 19:00:00,-125,16.00,-1.5,37.00,6.0,17.39,53.2,3.8,2.3
Canadiens,2021-12-14 19:00:00,235,47.00,1.5,21.00,5.5,19.05,28.5,2.0,3.5
Penguins,2021-12-14 19:00:00,-300,6.67,-1.5,16.00,5.5,17.39,71.5,3.5,2.0
Islanders,2021-12-14 19:30:00,-115,17.39,-1.5,44.00,5.5,22.00,51.1,3.5,2.0
Red Wings,2021-12-14 19:30:00,-105,19.05,1.5,7.27,5.5,15.38,48.9,2.0,3.5
Flames,2021-12-14 20:00:00,,,,,,,,,
Predators,2021-12-14 20:00:00,,,,,,,,,
Hurricanes,2021-12-14 20:00:00,120,24.00,1.5,10.26,5.5,16.00,43.8,2.0,3.5
Wild,2021-12-14 20:00:00,-140,14.29,-1.5,33.00,5.5,21.00,56.2,3.5,2.0
Sabres,2021-12-14 20:00:00,210,42.00,1.5,19.05,5.5,16.67,30.8,2.0,3.5
Jets,2021-12-14 20:00:00,-265,7.55,-1.5,17.39,5.5,20.00,69.2,3.5,2.0
Blues,2021-12-14 20:30:00,140,28.00,1.5,11.76,5.5,18.18,40.4,2.0,3.5
Stars,2021-12-14 20:30:00,-160,12.50,-1.5,30.00,5.5,18.18,59.6,3.5,2.0
Rangers,2021-12-14 21:00:00,165,33.00,1.5,14.81,6.0,16.67,36.0,2.3,3.8
Avalanche,2021-12-14 21:00:00,-205,9.76,-1.5,23.00,6.0,20.00,64.0,3.8,2.3
Maple Leafs,2021-12-14 21:00:00,-120,16.67,-1.5,36.00,6.5,20.00,52.2,4.0,2.5
Oilers,2021-12-14 21:00:00,100,20.00,1.5,9.09,6.5,16.67,47.8,2.5,4.0
Blue Jackets,2021-12-14 22:00:00,135,27.00,1.5,10.26,5.5,17.39,41.2,2.0,3.5
Canucks,2021-12-14 22:00:00,-155,12.90,-1.5,33.00,5.5,19.05,58.8,3.5,2.0
Kraken,2021-12-14 22:30:00,125,25.00,1.5,10.00,5.5,20.00,42.9,2.0,3.5
Sharks,2021-12-14 22:30:00,-145,13.79,-1.5,34.00,5.5,16.67,57.1,3.5,2.0
