tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Martin, Ben",14007,6500,0.007,CUT,0,0,0,0,35.0,0,35.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Thompson, Michael",12946,7000,0.0549,CUT,0,0,0,0,34.5,0,34.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Hammer, Cole",19864,6100,0.0018,CUT,3,0,0,0,31.5,0,34.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"van der Walt, Dawie",9883,6000,0.0002,CUT,0,0,0,0,34.0,0,34.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Barnes, Ricky",6846,6000,0.0007,CUT,3,0,0,0,30.5,0,33.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Brehm, Ryan",10423,6300,0.0036,CUT,0,0,0,0,33.5,0,33.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Munoz, Sebastian",20770,7700,0.1173,CUT,0,0,0,0,33.0,0,33.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"McCarthy, Denny",19870,8900,0.145,CUT,3,0,0,0,30.0,0,33.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Duncan, Tyler",18187,7100,0.0362,CUT,0,0,0,0,32.5,0,32.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Kang, Sung",7881,6200,0.0029,CUT,0,0,0,0,32.0,0,32.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Gainey, Tommy",12169,6000,0.0003,CUT,0,0,0,0,32.0,0,32.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Schenk, Adam",19477,6700,0.0047,CUT,0,0,0,0,31.5,0,31.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Buckley, Hayden",25363,6900,0.0588,WD,0,3,0,0,28.5,0,31.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Smotherman, Austin",22985,7000,0.0179,CUT,0,3,0,0,28.0,0,31.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Wallace, Matt",20706,7000,0.03,CUT,0,0,0,0,30.5,0,30.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Creel, Joshua",17570,6100,0.0001,CUT,0,0,0,0,30.5,0,30.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Haas, Bill",7900,6400,0.003,CUT,0,0,0,0,30.5,0,30.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Landry, Andrew",14000,6100,0.001,CUT,0,0,0,0,30.0,0,30.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Reeves, Seth",19643,6200,0.0012,CUT,0,0,0,0,30.0,0,30.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Sloan, Roger",14050,6300,0.0184,CUT,0,0,0,0,30.0,0,30.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Lebioda, Hank",21943,6900,0.0043,CUT,0,0,0,0,30.0,0,30.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Cook, Austin",18579,6500,0.0026,CUT,0,0,0,0,29.5,0,29.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Fowler, Rickie",12965,7000,0.0222,CUT,0,0,0,0,29.0,0,29.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Thompson, Curtis",19395,6100,0.0002,CUT,0,0,0,0,29.0,0,29.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Streelman, Kevin",8480,7600,0.0805,CUT,0,0,0,0,28.5,0,28.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Lingmerth, David",14815,0,0.0,CUT,0,0,0,0,28.5,0,28.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Spaun, J.J.",17536,7300,0.0462,CUT,0,0,0,0,28.0,0,28.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Schwab, Matthias",15016,6900,0.012,CUT,0,0,0,0,28.0,0,28.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Garrigus, Robert",6789,0,0.0,CUT,3,0,0,0,25.0,0,28.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Herman, Jim",12846,6300,0.0037,CUT,0,0,0,0,27.5,0,27.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Whaley, Vince",25908,7000,0.0305,CUT,0,0,0,0,27.5,0,27.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"English, Harris",14577,7300,0.0569,CUT,0,0,0,0,27.5,0,27.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"McGirt, William",12477,6300,0.0012,CUT,0,0,0,0,27.5,0,27.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Sigg, Greyson",23482,7100,0.0185,CUT,0,0,0,0,27.0,0,27.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Chappell, Kevin",13305,6400,0.0017,CUT,0,0,0,0,27.0,0,27.0
