bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+9293,2022-08-04 00:01,21944,+12565,2022-08-01 18:21,T5,"Moore, Taylor",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+9777,2022-08-04 00:01,14577,+14473,2022-08-01 18:21,CUT,"English, Harris",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+9854,2022-08-04 00:01,20519,+10054,2022-08-01 18:21,T27,"Tarren, Callum",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+10057,2022-08-04 00:01,15475,+10054,2022-08-01 18:21,WD,"Pan, C.T.",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+10244,2022-08-04 00:01,16433,+12565,2022-08-01 18:21,T36,"NeSmith, Matthew",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+10333,2022-08-04 00:01,17536,+10043,2022-08-02 11:50,CUT,"Spaun, J.J.",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+10349,2022-08-04 00:01,19865,+10054,2022-08-01 18:21,CUT,"Hardy, Nick",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+10349,2022-08-04 00:01,22985,+10054,2022-08-01 18:21,CUT,"Smotherman, Austin",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+11369,2022-08-04 00:01,14704,+15079,2022-08-01 18:21,T27,"Putnam, Andrew",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+11700,2022-08-04 00:01,12946,+20107,2022-08-01 18:21,CUT,"Thompson, Michael",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+12120,2022-08-04 00:01,24550,+15079,2022-08-01 18:21,CUT,"Ghim, Doug",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+12515,2022-08-04 00:01,25363,+20107,2022-08-01 18:21,WD,"Buckley, Hayden",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+12805,2022-08-04 00:01,16394,+12565,2022-08-01 18:21,T13,"Jaeger, Stephan",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
