tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2022,2022,Wyndham Championship,13,"Kim, Joohyung",24766,1,1,Sedgefield Country Club,752,70,67,4.731,-2.292,0.058,-0.01,-2.244,2.487,286.6,0.786,0.833,0.5,60.234,22.931
pga,2022,2022,Wyndham Championship,13,"Kim, Joohyung",24766,1,2,Sedgefield Country Club,752,70,64,4.583,0.247,1.356,-0.32,1.284,5.867,285.4,0.714,0.722,0.75,44.257,31.235
pga,2022,2022,Wyndham Championship,13,"Kim, Joohyung",24766,1,3,Sedgefield Country Club,752,70,68,-1.272,0.926,0.426,0.896,2.249,0.977,281.0,0.929,0.722,0.667,35.72,30.022
pga,2022,2022,Wyndham Championship,13,"Kim, Joohyung",24766,1,4,Sedgefield Country Club,752,70,61,4.503,0.0,1.988,0.603,2.557,7.06,274.7,0.857,0.944,,27.552,23.62
pga,2022,2022,Wyndham Championship,13,"Huh, John",14606,T2,1,Sedgefield Country Club,752,70,61,3.163,1.152,3.493,0.679,5.324,8.487,285.8,0.786,0.944,1.0,40.634,21.523
pga,2022,2022,Wyndham Championship,13,"Huh, John",14606,T2,2,Sedgefield Country Club,752,70,71,0.38,-1.677,0.646,-0.483,-1.513,-1.133,288.4,0.571,0.722,0.333,43.78,19.335
pga,2022,2022,Wyndham Championship,13,"Huh, John",14606,T2,3,Sedgefield Country Club,752,70,66,1.516,0.622,0.959,-0.121,1.461,2.977,287.5,0.714,0.944,1.0,32.378,30.48
pga,2022,2022,Wyndham Championship,13,"Huh, John",14606,T2,4,Sedgefield Country Club,752,70,67,-0.189,0.164,-0.276,1.36,1.249,1.06,281.4,0.929,0.722,0.6,,28.148
pga,2022,2022,Wyndham Championship,13,"Im, Sungjae",17488,T2,1,Sedgefield Country Club,752,70,63,2.736,0.386,1.599,1.766,3.751,6.487,300.9,0.857,0.944,0.0,47.09,23.736
pga,2022,2022,Wyndham Championship,13,"Im, Sungjae",17488,T2,2,Sedgefield Country Club,752,70,69,1.326,0.791,-1.088,-0.163,-0.459,0.867,298.8,0.714,0.722,0.6,66.018,29.535
pga,2022,2022,Wyndham Championship,13,"Im, Sungjae",17488,T2,3,Sedgefield Country Club,752,70,65,2.228,0.706,0.27,0.772,1.749,3.977,289.0,0.714,0.778,0.833,55.115,23.476
pga,2022,2022,Wyndham Championship,13,"Im, Sungjae",17488,T2,4,Sedgefield Country Club,752,70,68,-2.191,-0.904,1.972,1.182,2.251,0.06,286.9,0.786,0.833,0.0,86.011,23.084
