player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
John Michael Schmitz Jr.,55238,C,NYG,3,0,21,39.0,1,4,124,100.0,100.0,97.2,0,6,1,134,134,24.7,1,3,58,100.0,100.0,96.6,4,0,66,66
Evan Neal,99063,T,NYG,3,1,21,36.9,3,9,122,100.0,100.0,94.3,2,13,1,132,132,29.5,2,6,56,100.0,100.0,92.9,8,0,64,64
Shaq Mason,9564,G,HST,2,0,13,49.6,0,8,106,100.0,100.0,95.3,0,9,1,116,116,33.0,0,7,50,100.0,100.0,93.0,7,0,54,54
Josh Jones,26634,T,HST,2,0,13,50.1,2,5,106,100.0,100.0,95.8,4,8,1,116,116,47.2,2,4,50,100.0,100.0,92.0,7,1,54,54
Jarrett Patterson,81775,C,HST,2,0,13,52.4,1,2,106,100.0,100.0,98.6,0,3,0,116,116,64.7,1,1,50,100.0,100.0,98.0,2,0,54,54
David Andrews,9948,C,NE,2,0,19,65.9,2,2,105,100.0,100.0,98.1,0,4,0,110,110,71.1,1,2,57,100.0,100.0,97.4,3,0,58,58
Calvin Anderson,46247,T,NE,2,0,19,38.4,2,6,105,100.0,100.0,95.2,1,9,1,110,110,29.4,2,6,57,100.0,100.0,91.2,9,1,58,58
Jake Brendel,11117,C,SF,3,0,28,33.3,1,6,101,100.0,100.0,96.5,0,7,0,107,107,50.7,0,2,39,100.0,100.0,97.4,2,0,44,44
Colton McKivitz,29314,T,SF,3,0,28,61.2,2,1,101,100.0,100.0,95.5,0,6,3,107,107,45.5,1,1,39,100.0,100.0,89.7,5,3,44,44
Aaron Banks,59983,G,SF,3,0,28,45.0,2,1,101,100.0,100.0,98.5,0,3,0,107,107,27.3,2,1,39,100.0,100.0,96.2,3,0,44,44
Spencer Burford,81920,G,SF,3,0,28,7.6,0,10,101,100.0,100.0,94.1,1,11,1,107,107,5.0,0,4,39,100.0,100.0,92.3,5,1,44,44
