player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Kenny Pickett,60515,QB,PIT,2,2.85,2.72,3.99,4.7,83,25,70.0,30,32,4.4,1.88,2,0,0.0,65.6,21,9,0.0,33,39.8,0,5,,77.9,39.1,76.5,40.6,,,0,1,33,11.1,77.3,3.0,1,0,0,0,1,1,3.0,178,5.6,68.3,41,43,9.1,3.49,0,0,0.0,58.1,25,29,10.7,50,60.2,3,10,,80.6,50.0,78.1,51.0,,58.3,1,2,52,20.7,65.6,12.0,6,1,0,1,1,3,5.8,276,6.4
Bryce Young,123943,QB,CAR,2,3.2,2.96,4.6,5.33,81,5,85.2,27,30,4.1,2.01,0,1,3.1,73.3,22,8,4.3,30,37.0,1,8,,77.7,69.3,76.4,68.4,,,0,0,32,0.0,105.6,0.0,0,0,0,3,2,1,3.1,145,4.8,60.6,33,41,9.9,3.9,0,0,0.0,48.8,20,30,0.0,51,63.0,0,11,,23.7,31.4,78.4,28.6,,81.3,2,2,56,20.0,38.1,11.8,6,4,0,6,0,4,7.1,154,3.8
Tua Tagovailoa,60326,QB,MIA,2,2.28,2.23,2.8,5.1,79,17,75.5,49,51,7.6,1.74,2,2,3.8,64.7,33,10,10.8,51,64.6,4,24,,80.6,88.0,78.1,85.6,,,0,0,52,0.0,104.4,0.0,0,0,0,0,2,0,0.0,432,8.5,69.6,23,24,18.0,3.4,0,6,24.0,66.7,16,10,0.0,27,34.2,0,15,,77.0,92.1,75.9,91.3,,61.8,0,2,28,10.0,99.8,3.7,1,2,0,1,2,2,7.1,283,11.8
Derek Carr,8671,QB,NO,2,2.61,2.52,3.04,5.6,78,20,81.1,37,38,5.6,1.84,1,2,5.1,78.9,30,8,0.0,40,51.3,0,13,,79.2,68.2,77.3,67.3,,,0,1,41,25.0,84.4,5.0,2,0,0,0,0,1,2.4,262,6.9,51.9,27,31,18.2,3.42,1,2,6.1,45.2,14,19,0.0,38,48.7,0,10,,79.0,61.0,77.2,61.4,,58.3,1,1,40,31.6,73.5,15.8,6,1,0,2,1,1,2.5,271,8.7
Russell Wilson,7077,QB,DEN,2,3.19,2.97,4.36,4.15,77,10,87.0,23,23,3.6,1.88,0,0,0.0,87.0,20,1,0.0,23,29.9,0,5,,76.6,60.2,75.6,60.0,,,0,1,26,0.0,70.3,0.0,0,0,0,0,0,0,0.0,120,5.2,76.5,34,41,11.0,3.75,1,3,6.7,61.0,25,29,3.8,54,70.1,1,17,,24.2,63.5,78.6,65.3,,52.6,1,0,59,31.0,129.6,16.7,9,4,0,5,5,3,5.1,365,8.9
Joe Burrow,28022,QB,CIN,2,2.31,2.21,3.17,6.4,76,7,71.4,49,53,6.6,1.83,1,2,3.6,58.5,31,8,11.4,53,69.7,4,13,,81.0,67.3,78.3,66.5,,,3,0,55,0.0,80.8,0.0,0,0,0,0,2,0,0.0,221,4.2,62.5,16,19,8.2,3.39,0,0,0.0,52.6,10,12,0.0,23,30.3,0,3,,76.3,40.4,75.5,42.2,,58.3,0,1,25,25.0,42.2,13.0,3,1,0,3,0,1,4.0,83,4.4
Baker Mayfield,46518,QB,TB,2,2.85,2.53,4.1,6.23,75,30,76.7,30,34,6.3,1.82,3,0,0.0,64.7,22,5,4.3,34,45.3,1,10,,78.1,68.4,76.6,67.5,,,0,0,34,0.0,79.3,0.0,0,0,0,1,0,1,2.9,190,5.6,80.6,31,34,9.1,3.69,0,3,8.6,73.5,25,22,0.0,41,54.7,0,10,,79.3,86.0,77.3,85.6,,63.1,0,0,42,4.5,130.9,2.4,1,6,0,3,3,0,0.0,311,9.1
Geno Smith,7820,QB,SEA,2,3.02,2.73,6.27,5.35,73,29,93.8,32,34,4.3,1.96,1,0,0.0,82.4,28,8,6.7,34,46.6,2,12,,78.7,66.3,77.0,65.6,,,0,0,38,0.0,99.9,0.0,0,0,0,1,1,1,2.6,191,5.6,80.0,25,32,10.6,3.93,0,1,2.9,62.5,20,20,0.0,39,53.4,0,14,,79.5,76.2,77.4,75.6,,61.9,1,0,43,15.0,107.4,7.7,3,4,0,6,2,1,2.3,249,7.8
Jared Goff,10635,QB,DET,2,2.53,2.49,3.5,,72,11,83.9,31,34,4.1,1.84,2,0,0.0,67.6,23,7,11.5,34,47.2,3,13,,78.3,59.6,76.7,59.4,,,0,1,35,0.0,67.6,0.0,0,0,0,1,0,1,2.9,175,5.1,84.4,32,35,11.0,3.14,1,4,10.8,77.1,27,16,0.0,38,52.8,0,15,,79.0,91.3,77.2,90.3,,,0,0,40,18.8,152.1,7.9,3,0,0,2,4,0,0.0,400,11.4
Jalen Hurts,40291,QB,PHI,2,3.25,2.76,4.57,6.32,69,24,92.0,25,25,4.5,1.94,0,0,0.0,88.0,22,4,4.3,26,37.7,1,6,,76.8,78.3,75.8,76.7,,,0,0,27,25.0,91.0,3.8,1,0,0,0,0,1,3.7,146,5.8,73.1,26,31,14.5,4.04,0,2,6.1,58.1,18,23,5.3,43,62.3,1,8,,80.0,67.3,77.7,69.5,,55.0,1,1,47,26.1,87.7,14.0,6,6,0,4,2,2,4.3,217,7.0
