Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,10,379,260,2801,15,8.1,1647,1251,62,15.50%,4,1.00%,26,6.90%,13,43,10.80%,35
Buffalo Bills,9,311,200,1892,9,7.1,1156,900,63,17.60%,19,5.30%,30,9.60%,27,76,21.20%,43
Carolina Panthers,10,342,228,2232,14,7.7,1344,1002,110,29.20%,34,9.00%,28,8.20%,19,81,21.50%,46
Chicago Bears,10,276,184,2034,11,7.1,1034,934,45,14.60%,34,11.00%,13,4.70%,15,62,20.10%,42
Cincinnati Bengals,9,292,170,1847,9,8.5,1096,842,70,22.10%,20,6.30%,37,12.70%,14,71,22.40%,42
Cleveland Browns,9,275,176,1962,13,7.8,1120,971,77,25.50%,28,9.30%,14,5.10%,20,62,20.50%,49
Indianapolis Colts,10,304,206,1963,12,6.8,909,1196,52,15.10%,29,8.40%,25,8.20%,25,79,23.00%,40
Arizona Cardinals,10,362,248,2471,17,6.3,1084,1535,149,37.50%,38,9.60%,40,11.00%,19,97,24.40%,51
Dallas Cowboys,9,281,184,1635,11,7.7,817,1043,101,30.20%,34,10.20%,30,10.70%,35,99,29.60%,42
Denver Broncos,9,320,197,1570,6,6.4,851,880,124,34.60%,30,8.40%,29,9.10%,25,84,23.50%,57
Detroit Lions,9,294,195,2298,15,9.4,1376,835,94,28.20%,27,8.10%,22,7.50%,15,64,19.20%,33
Green Bay Packers,10,281,181,1797,13,6.6,943,913,114,36.70%,26,8.40%,29,10.30%,19,74,23.80%,38
Houston Texans,9,265,167,1916,9,7.8,1076,963,56,18.40%,27,8.90%,18,6.80%,22,67,22.00%,57
Jacksonville Jaguars,10,354,226,2476,16,7.6,1289,1279,92,23.70%,34,8.80%,39,11.00%,16,89,22.90%,62
Kansas City Chiefs,9,347,232,2236,19,7,1242,1173,114,29.30%,37,9.50%,31,8.90%,27,95,24.40%,53
Miami Dolphins,10,349,237,2398,16,8,1299,1221,118,29.60%,29,7.30%,26,7.40%,20,75,18.80%,50
Minnesota Vikings,9,322,217,2366,12,8.6,1378,1109,62,16.60%,35,9.40%,22,6.80%,26,83,22.20%,42
New Orleans Saints,10,313,193,1959,11,8,1086,1052,60,16.90%,20,5.60%,16,5.10%,28,64,18.00%,54
New England Patriots,9,301,171,1839,12,9,1081,958,94,27.40%,51,14.90%,19,6.30%,32,102,29.70%,48
New York Giants,9,301,175,1953,10,8.7,1070,988,135,39.70%,26,7.60%,33,11.00%,20,79,23.20%,26
New York Jets,9,313,192,1810,9,9,1071,891,53,14.90%,22,6.20%,42,13.40%,26,90,25.30%,34
Tennessee Titans,9,365,236,2453,16,7.6,1488,1115,65,15.80%,34,8.30%,40,11.00%,29,103,25.00%,55
Philadelphia Eagles,9,320,187,1599,10,7.6,915,893,89,24.30%,30,8.20%,31,9.70%,29,90,24.60%,55
Pittsburgh Steelers,9,325,199,2375,18,9,1443,1039,101,28.10%,10,2.80%,22,6.80%,17,49,13.60%,37
Las Vegas Raiders,9,309,219,2250,17,6.5,1181,1157,96,29.10%,18,5.50%,26,8.40%,10,54,16.40%,44
Los Angeles Rams,9,300,203,1932,11,5.5,936,1084,87,26.40%,9,2.70%,17,5.70%,18,44,13.30%,37
Baltimore Ravens,9,340,225,2329,13,6.5,1319,1182,83,21.70%,23,6.00%,22,6.50%,27,72,18.80%,51
Los Angeles Chargers,9,286,187,1884,13,8.1,1136,886,86,27.30%,16,5.10%,22,7.70%,20,58,18.40%,33
Seattle Seahawks,10,335,221,2291,15,8.2,1155,1315,62,16.20%,24,6.30%,28,8.40%,27,79,20.70%,52
San Francisco 49ers,9,291,190,1781,9,6.2,960,955,78,23.40%,27,8.10%,28,9.60%,29,84,25.20%,37
Tampa Bay Buccaneers,10,329,209,1934,16,8.1,1146,999,111,29.40%,27,7.20%,30,9.10%,32,89,23.60%,35
Washington Commanders,10,315,190,2127,18,9.1,1426,832,88,24.50%,17,4.70%,52,16.50%,24,93,25.90%,33
