"","goal_scorers","odds","implied"
"1","Auston Matthews",190,0.345
"2","Leon Draisaitl",600,0.143
"3","Connor McDavid",650,0.133
"4","Alex Ovechkin",800,0.111
"5","Kirill Kaprizov",1400,0.067
"6","Kyle Connor",1400,0.067
"7","Chris Kreider",2000,0.048
"8","David Pastrnak",2000,0.048
"9","Mikko Rantanen",2200,0.043
"10","Alex Debrincat",2500,0.038
"11","Aleksander Barkov",2500,0.038
"12","Jason Robertson",3500,0.028
"13","Jake Guentzel",3500,0.028
"14","Sebastian Aho",4500,0.022
"15","Nathan Mackinnon",4500,0.022
"16","Mika Zibanejad",4500,0.022
"17","Jack Hughes",6000,0.016
"18","Filip Forsberg",6000,0.016
"19","Elias Lindholm",6000,0.016
"20","Brayden Point",6000,0.016
"21","Steven Stamkos",6000,0.016
"22","Nikita Kucherov",6000,0.016
"23","Patrik Laine",7000,0.014
"24","J.T. Miller",7500,0.013
"25","Nikolaj Ehlers",7500,0.013
"26","Matthew Tkachuk",7500,0.013
"27","Josh Norris",7500,0.013
"28","Gabriel Landeskog",8000,0.012
"29","Elias Pettersson",9000,0.011
"30","Johnny Gaudreau",9000,0.011
"31","Cole Caufield",9000,0.011
"32","Timo Meier",9000,0.011
"33","Tage Thompson",9000,0.011
"34","Sidney Crosby",9000,0.011
"35","Sam Reinhart",9000,0.011
"36","Tyler Bertuzzi",10000,0.01
"37","Joe Pavelski",11000,0.009
"38","Brock Nelson",11000,0.009
"39","Mitchell Marner",12000,0.008
"40","John Tavares",13000,0.008
"41","Bryan Rust",13000,0.008
"42","Brady Tkachuk",13000,0.008
"43","Kevin Fiala",13000,0.008
"44","Mark Scheifele",13000,0.008
"45","Anders Lee",14000,0.007
"46","Roope Hintz",14000,0.007
"47","Zach Hyman",15000,0.007
"48","Jonathan Huberdeau",15000,0.007
"49","Jonathan Marchessault",16000,0.006
"50","Drake Batherson",18000,0.006
"51","Bo Horvat",18000,0.006
"52","Adrian Kempe",18000,0.006
"53","William Nylander",18000,0.006
"54","Tomas Hertl",18000,0.006
"55","Pavel Buchnevich",19000,0.005
"56","Brad Marchand",20000,0.005
"57","Andrei Svechnikov",20000,0.005
"58","Andrew Mangiapane",20000,0.005
"59","Valeri Nichushkin",20000,0.005
"60","Patrice Bergeron",20000,0.005
"61","Matt Duchene",20000,0.005
"62","Troy Terry",25000,0.004
"63","Oliver Bjorkstrand",25000,0.004
"64","David Perron",30000,0.003
"65","Tyler Seguin",30000,0.003
"66","Joel Eriksson Ek",35000,0.003
"67","Anthony Duclair",35000,0.003
"68","Tyler Toffoli",35000,0.003
"69","Tanner Jeannot",35000,0.003
"70","Nazem Kadri",35000,0.003
"71","Michael Bunting",35000,0.003
"72","Clayton Keller",40000,0.002
"73","Brock Boeser",40000,0.002
"74","Jared McCann",40000,0.002
"75","Vladimir Tarasenko",40000,0.002
"76","Sam Bennett",40000,0.002
"77","Pierre-Luc Dubois",40000,0.002
"78","Adam Henrique",45000,0.002
"79","Carter Verhaeghe",45000,0.002
"80","Nino Niederreiter",45000,0.002
"81","Boone Jenner",50000,0.002
"82","Vincent Trocheck",50000,0.002
"83","Logan Couture",60000,0.002
"84","Jeff Skinner",80000,0.001
"85","Cam Atkinson",80000,0.001
"86","Dylan Larkin",1e+05,0.001
"87","Viktor Arvidsson",1e+05,0.001
