,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Liberty,12/17/2021 13:30,-165,12.12,-3.5,19.05,128,18.18,60.4,65.8,62.3
East Carolina,12/17/2021 13:30,145,29,3.5,17.39,128,18.18,39.6,62.3,65.8
St. Bonaventure,12/17/2021 16:00,120,24,2.5,19.05,127.5,18.18,43.8,62.5,65
Virginia Tech,12/17/2021 16:00,-140,14.29,-2.5,17.39,127.5,18.18,56.2,65,62.5
Richmond,12/17/2021 18:30,-130,15.38,-2,18.18,142.5,20,54.3,72.3,70.3
North Carolina State,12/17/2021 18:30,110,22,2,18.18,142.5,16.67,45.7,70.3,72.3
Furman,12/17/2021 19:00,250,50,7.5,18.18,137.5,19.05,27.3,65,72.5
Mississippi State,12/17/2021 19:00,-320,6.25,-7.5,18.18,137.5,17.39,72.7,72.5,65
Villanova,12/17/2021 20:00,-275,7.27,-6.5,18.18,134,18.18,70.1,70.3,63.8
Creighton,12/17/2021 20:00,220,44,6.5,18.18,134,18.18,29.9,63.8,70.3
Texas Rio Grande Valley,12/17/2021 20:00,150,30,3.5,18.18,149.5,18.18,38.8,73,76.5
Texas-San Antonio,12/17/2021 20:00,-170,11.76,-3.5,18.18,149.5,18.18,61.2,76.5,73
South Alabama,12/17/2021 20:00,-120,16.67,-1,18.18,125,18.18,52.2,63,62
Tarleton State,12/17/2021 20:00,100,20,1,18.18,125,18.18,47.8,62,63
UNC-Charlotte,12/17/2021 21:00,350,70,9,18.18,139.5,19.05,21.2,65.3,74.3
Wake Forest,12/17/2021 21:00,-475,4.21,-9,18.18,139.5,17.39,78.8,74.3,65.3
San Jose State,12/17/2021 21:00,110,22,1.5,18.18,143.5,18.18,45.7,70,73.5
Portland,12/17/2021 21:00,-130,15.38,-1.5,,143.5,18.18,54.3,73.5,70
Florida A&M,12/17/2021 21:00,950,190,18.5,18.18,141.5,18.18,9.1,61.5,80
Santa Clara,12/17/2021 21:00,-1750,1.14,-18.5,18.18,141.5,18.18,90.9,80,61.5
Cal-Poly San Luis Obispo,12/17/2021 22:00,800,160,14.5,20,119,17.39,10.6,52.3,66.8
Fresno State,12/17/2021 22:00,-1375,1.45,-14.5,16.67,119,19.05,89.4,66.8,52.3
North Dakota State,12/17/2021 22:00,105,21,2,16.67,126,18.18,46.8,62,64
Pacific,12/17/2021 22:00,-125,16,-2,20,126,18.18,53.2,64,62
St. Mary's (CAL),12/17/2021 22:00,-150,13.33,-2.5,18.18,118.5,18.18,58,60.5,58
San Diego State,12/17/2021 22:00,130,26,2.5,18.18,118.5,18.18,42,58,60.5
