player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Ndamukong Suh,5527,DI,PHI,1,0,1.0,0,0,24,,63.3,74.9,63.1,59.8,69.1,0.0,0,0,9,9,11.1,1,1
Tyson Alualu,5535,DI,PIT,1,1,,0,0,25,,66.0,72.6,67.2,60.1,67.3,0.0,0,0,3,4,0.0,0,0
Brandon Graham,5538,ED,PHI,1,0,3.0,0,0,24,60.0,63.1,77.7,63.4,57.6,71.9,0.0,0,0,10,10,10.0,1,1
Jason Pierre-Paul,5540,ED,BLT,1,1,4.0,0,0,3,48.4,43.8,78.8,54.8,51.6,24.5,33.3,1,0,19,20,0.0,0,1
Kareem Jackson,5545,S,DEN,1,0,1.0,0,0,10,57.8,56.7,79.1,,56.4,34.5,50.0,1,0,32,32,3.1,1,1
Devin McCourty,5552,S,NE,1,0,,0,0,19,61.8,61.6,79.2,,57.3,76.6,,0,0,23,26,0.0,0,0
Jerry Hughes,5556,ED,HST,1,0,,0,0,13,,65.3,79.3,74.2,51.7,24.0,100.0,1,0,15,15,0.0,0,0
Linval Joseph,5571,DI,PHI,1,1,2.0,0,0,24,,73.8,77.2,59.8,72.6,73.5,0.0,0,0,21,21,19.0,4,5
Carlos Dunlap,5579,ED,KC,1,0,2.0,0,0,16,60.0,65.0,80.7,67.7,54.8,70.2,0.0,0,0,18,18,5.6,1,2
Corey Peters,5607,DI,JAX,1,0,,0,0,15,,60.4,75.1,66.7,55.8,,,0,0,8,9,0.0,0,0
Patrick Peterson,6157,CB,MIN,1,0,,0,0,18,60.3,61.9,78.5,64.6,63.3,57.9,,0,1,17,17,0.0,0,0
J.J. Watt,6163,DI,ARZ,1,0,0.0,0,0,1,60.6,88.1,80.2,70.6,86.3,73.3,0.0,0,0,28,28,21.4,6,6
Cameron Jordan,6176,ED,NO,1,0,1.5,0,0,20,60.0,65.5,80.0,45.9,79.6,75.0,0.0,0,0,28,28,14.3,4,6
Cameron Heyward,6183,DI,PIT,1,1,-1.0,0,0,25,,90.3,76.5,80.3,82.2,73.0,0.0,0,0,15,15,13.3,2,3
Justin Houston,6222,ED,BLT,1,0,,0,0,3,60.5,52.4,77.5,57.8,49.2,21.5,100.0,1,0,11,11,0.0,0,0
Lawrence Guy,6385,DI,NE,1,2,,0,0,19,,46.1,77.3,59.9,41.4,69.5,0.0,0,0,18,21,0.0,0,0
Chris Harris Jr.,6457,CB,NO,1,0,,0,0,20,60.9,61.0,72.2,55.8,62.1,,,0,0,6,6,0.0,0,0
Stephon Gilmore,7016,CB,IND,1,1,2.0,0,0,14,67.5,67.2,77.4,,61.9,43.3,33.3,1,0,31,31,0.0,0,1
Fletcher Cox,7018,DI,PHI,1,0,2.5,0,0,24,,56.2,77.9,51.7,61.8,28.4,33.3,1,0,18,18,11.1,2,2
Bruce Irvin,7021,ED,SEA,1,0,,0,0,29,41.2,29.4,0.0,51.1,50.3,21.7,,0,1,6,6,0.0,0,0
Melvin Ingram III,7024,ED,MIA,1,0,,0,0,17,,63.5,73.3,62.8,60.0,,,0,0,2,2,0.0,0,0
Chandler Jones,7027,ED,LV,1,1,4.0,0,0,23,75.2,59.3,75.4,56.9,50.9,73.6,0.0,0,0,13,13,7.7,1,1
Bobby Wagner,7050,LB,LA,1,1,5.5,0,0,26,75.8,91.9,75.6,91.0,88.5,81.1,0.0,0,0,11,15,9.1,1,2
Lavonte David,7060,LB,TB,1,2,2.0,0,0,30,77.8,74.0,76.6,52.7,60.8,59.8,0.0,0,0,25,27,4.0,1,1
Vinny Curry,7061,ED,NYJ,1,0,,0,0,22,,71.8,75.8,65.7,63.6,,,0,0,5,5,0.0,0,0
Demario Davis,7079,LB,NO,1,3,0.0,0,0,20,63.5,70.6,75.2,55.0,72.4,54.1,0.0,0,0,34,34,2.9,1,1
Akiem Hicks,7090,DI,TB,1,0,2.0,0,0,30,59.5,68.5,77.8,56.2,73.2,70.7,0.0,0,0,20,21,10.0,2,2
Rodney McLeod,7271,S,IND,1,2,4.5,0,0,14,70.5,76.8,74.8,58.3,76.2,63.9,0.0,0,0,28,28,0.0,0,2
Tashaun Gipson Sr.,7288,S,SF,1,2,-2.0,0,0,28,48.6,55.7,77.5,55.8,75.3,83.7,0.0,0,0,33,34,3.0,1,1
Harrison Smith,7641,S,MIN,1,0,,0,0,18,68.3,70.3,78.0,,61.9,78.5,,0,0,13,13,0.0,0,0
Justin Bethel,7654,CB,MIA,1,0,,0,0,17,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Darius Slay,7817,CB,PHI,1,0,,0,0,24,56.2,58.0,78.8,,64.7,76.9,,0,1,27,27,0.0,0,0
Tyrann Mathieu,7850,S,NO,1,1,6.2,0,0,20,74.2,73.6,74.6,58.3,64.3,63.3,12.5,1,0,34,34,8.8,3,6
John Jenkins,7863,DI,MIA,1,0,,0,0,17,,40.4,0.0,67.6,43.2,22.7,100.0,1,1,9,9,0.0,0,0
Logan Ryan,7864,S,TB,1,1,6.3,0,0,30,72.0,72.6,77.3,58.5,59.2,43.4,16.7,1,0,21,23,9.5,2,4
Duron Harmon,7872,S,LV,1,1,0.5,0,0,23,58.7,65.5,75.9,59.1,76.6,57.7,0.0,0,0,26,27,7.7,2,2
Brandon Williams,7875,DI,KC,1,1,,0,0,16,,61.0,72.6,60.0,60.7,65.9,0.0,0,0,9,9,0.0,0,0
Akeem Spence,7882,DI,SF,1,2,3.0,0,0,28,,64.3,74.6,53.3,66.9,70.1,0.0,0,0,11,11,9.1,1,1
William Gholston,7908,DI,TB,1,1,2.5,0,0,30,,65.6,75.8,72.1,57.1,70.7,0.0,0,0,14,15,0.0,0,2
A.J. Klein,7930,LB,BUF,1,0,,0,0,4,48.7,55.7,68.7,,67.1,,,0,0,8,8,0.0,0,0
Jordan Poyer,8000,S,BUF,1,0,28.0,0,0,4,67.7,68.0,75.3,,58.6,76.4,0.0,0,0,26,27,0.0,0,1
Chris Banjo,8419,S,ARZ,1,0,4.0,0,0,1,62.1,65.4,69.9,,60.0,76.7,0.0,0,0,3,3,33.3,1,1
Mike Purcell,8530,DI,DEN,1,0,1.0,0,0,10,60.0,64.1,77.1,52.6,75.3,24.9,50.0,1,0,14,14,7.1,1,1
Khalil Mack,8640,ED,LAC,1,1,,0,0,27,61.5,62.0,78.1,66.1,50.2,72.0,0.0,0,0,12,13,0.0,0,0
Anthony Barr,8644,LB,DAL,1,3,1.7,0,0,9,49.3,64.5,77.5,54.2,80.6,79.5,0.0,0,0,23,23,13.0,3,3
C.J. Mosley,8652,LB,NYJ,1,2,4.2,0,0,22,75.1,85.1,76.9,60.0,81.4,83.9,0.0,0,0,35,35,8.6,3,5
Jimmie Ward,8665,S,SF,1,1,1.0,0,0,28,69.0,72.7,75.1,54.6,81.5,81.3,0.0,0,0,17,18,5.9,1,1
Bradley Roby,8666,CB,NO,1,0,,0,0,20,49.4,47.6,76.7,,45.0,27.5,100.0,1,0,22,22,0.0,0,0
Demarcus Lawrence,8669,ED,DAL,1,1,1.5,1,0,9,60.6,47.0,0.0,55.3,53.2,73.5,0.0,0,1,14,14,14.3,2,2
Kyle Van Noy,8675,ED,LAC,1,0,,0,0,27,78.1,87.3,77.9,75.9,67.1,72.4,,0,0,10,11,0.0,0,0
Christian Kirksey,8706,LB,HST,1,1,4.0,0,0,13,51.9,45.2,75.6,55.7,48.5,56.0,25.0,1,0,30,32,0.0,0,2
Justin Ellis,8742,DI,NYG,1,0,2.0,0,0,21,,56.5,74.6,57.3,57.9,65.9,0.0,0,0,4,4,25.0,1,1
DaQuan Jones,8747,DI,BUF,1,0,3.0,0,0,4,60.0,75.5,76.5,69.4,69.1,69.6,0.0,0,0,16,17,6.3,1,2
Brent Urban,8769,DI,BLT,1,1,5.0,0,0,3,57.1,44.3,76.3,52.1,60.4,69.1,33.3,1,0,15,16,0.0,0,1
Shelby Harris,8869,DI,SEA,1,3,0.0,0,0,29,60.0,62.1,76.0,47.2,70.9,41.4,0.0,0,0,14,14,7.1,1,1
Denico Autry,8982,ED,TEN,1,0,0.5,0,0,31,67.4,81.0,79.8,62.9,65.1,42.4,20.0,1,0,15,16,26.7,4,4
Adrian Phillips,9177,S,NE,1,0,3.5,0,0,19,70.1,73.4,76.6,58.3,64.7,76.7,0.0,0,0,6,6,0.0,0,2
