player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Ndamukong Suh,5527,DI,PHI,1,0,0,24,63.1,0,1,13,100.0,7.7,1,0,11.5,1,13,13,2,0,61.4,0,0,7,100.0,14.3,1,14.3,1,7,7,1
Tyson Alualu,5535,DI,PIT,1,0,0,25,67.2,0,1,5,100.0,20.0,1,0,10.0,0,5,5,1,0,69.4,0,1,3,100.0,33.3,1,16.7,0,3,3,1
Brandon Graham,5538,ED,PHI,1,0,0,24,63.4,0,2,18,94.7,16.7,3,0,11.1,1,19,18,3,0,61.4,0,1,12,92.3,16.7,2,12.5,1,13,12,2
Jason Pierre-Paul,5540,ED,BLT,1,0,0,3,54.8,0,1,16,85.0,0.0,0,0,3.1,0,20,17,1,0,61.4,0,1,5,100.0,0.0,0,10.0,0,6,6,1
Jerry Hughes,5556,ED,HST,1,0,0,13,74.2,0,3,18,100.0,11.1,2,0,8.3,0,19,19,3,0,50.4,0,1,10,100.0,0.0,0,5.0,0,10,10,1
Linval Joseph,5571,DI,PHI,1,0,0,24,59.8,0,1,15,100.0,6.7,1,0,3.3,0,15,15,1,0,65.8,0,1,6,100.0,16.7,1,8.3,0,6,6,1
Carlos Dunlap,5579,ED,KC,1,0,0,16,67.7,1,2,32,97.2,15.6,5,0,4.7,0,36,35,3,0,63.3,1,0,20,95.8,10.0,2,2.5,0,24,23,1
Corey Peters,5607,DI,JAX,1,0,0,15,66.7,0,0,8,100.0,12.5,1,0,0.0,0,8,8,0,0,,0,0,0,,,0,,0,0,0,0
Patrick Peterson,6157,CB,MIN,1,0,0,18,64.6,0,1,1,1.9,100.0,1,1,50.0,0,52,1,1,0,,0,0,0,0.0,,0,,0,21,0,0
J.J. Watt,6163,DI,ARZ,1,0,0,1,70.6,2,0,44,95.9,13.6,6,0,2.3,0,49,47,2,0,69.2,1,0,10,100.0,20.0,2,5.0,0,12,12,1
