player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Eric Rowe,9480,S,MIA,1,0,17,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,3.0,1,33,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Benjamin St-Juste,56061,CB,WAS,1,0,32,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,4.2,1,24,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Avonte Maddox,50543,CB,PHI,1,0,24,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,9.1,1,11,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Carlton Davis,49335,CB,TB,1,0,30,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,2.1,1,47,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Kyle Dugger,90621,S,NE,1,0,19,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,2.1,1,47,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Patrick Peterson,6157,CB,MIN,1,0,18,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,2.0,1,49,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
David Mayo,9602,LB,WAS,1,0,32,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,4.5,1,22,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Jaquan Brisker,101665,S,CHI,1,0,6,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,6.5,2,31,1,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Minkah Fitzpatrick,51206,S,PIT,1,0,25,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,2.9,1,35,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Cody Barton,50727,LB,SEA,1,0,29,0,1,0,0,0,0,,0,0,,0,0,0,0,4.0,1,25,1,50.0,0,0,0,0,,0,0,,0,0,0,0,0,0
