player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Brady Christensen,51985,G,CAR,1,0,5,69.6,100.0,21,50.0,21,60.5,0,100.0,42,42,51.6,100.0,19,45.2,19
Austin Corbett,46290,G,CAR,1,0,5,60.4,100.0,21,50.0,21,60.9,0,100.0,42,42,61.1,100.0,19,45.2,19
Bradley Bozeman,27934,C,CAR,1,0,5,62.1,100.0,21,50.0,21,62.0,0,100.0,42,42,61.1,100.0,19,45.2,19
Ikem Ekwonu,98286,T,CAR,1,0,5,50.7,100.0,21,50.0,21,55.9,0,100.0,42,42,62.7,100.0,19,45.2,19
Taylor Moton,11819,T,CAR,1,0,5,61.0,100.0,21,50.0,21,55.1,0,100.0,42,42,51.5,100.0,19,45.2,19
Ryan Ramczyk,11787,T,NO,1,0,20,62.0,100.0,21,53.8,21,65.2,0,100.0,39,39,67.5,100.0,16,41.0,16
Calvin Throckmorton,28238,G,NO,1,0,20,49.1,100.0,21,53.8,21,50.7,0,100.0,39,39,57.1,100.0,16,41.0,16
Erik McCoy,37347,C,NO,1,0,20,60.9,100.0,21,53.8,21,60.6,0,100.0,39,39,60.3,100.0,16,41.0,16
D.J. Moore,48267,WR,CAR,1,0,5,63.3,100.0,19,48.7,19,62.2,0,100.0,39,39,60.3,100.0,18,46.2,18
James Hurst,9001,T,NO,1,0,20,67.2,100.0,21,53.8,21,55.1,0,100.0,39,39,45.0,100.0,16,41.0,16
Terrace Marshall Jr.,84271,WR,CAR,1,0,5,76.2,100.0,18,47.4,18,66.2,0,100.0,38,38,63.2,100.0,19,50.0,19
Sam Darnold,29048,QB,CAR,1,0,5,60.0,100.0,21,58.3,21,60.0,0,85.7,36,42,60.0,78.9,15,41.7,19
Walker Little,52287,T,JAX,1,0,15,77.7,100.0,16,45.7,16,70.9,0,100.0,35,35,61.6,100.0,11,31.4,11
Luke Fortner,42028,C,JAX,1,0,15,46.8,100.0,16,45.7,16,36.7,0,100.0,35,35,51.6,100.0,11,31.4,11
Coleman Shelton,39316,C,LA,1,0,26,47.6,100.0,14,40.0,14,51.5,0,100.0,35,35,57.8,100.0,19,54.3,19
Adam Trautman,109795,TE,NO,1,0,20,49.0,100.0,19,54.3,19,51.1,0,100.0,35,35,58.6,100.0,14,40.0,14
Matt Skura,11102,G,LA,1,0,26,45.4,100.0,14,40.0,14,49.0,0,100.0,35,35,63.4,100.0,19,54.3,19
Andrew Norwell,9126,G,WAS,1,0,32,57.8,100.0,13,38.2,13,54.7,0,100.0,34,34,54.2,100.0,17,50.0,17
Jack Conklin,10642,T,CLV,1,0,8,47.0,100.0,20,58.8,20,50.1,0,100.0,34,34,51.0,100.0,13,38.2,13
Kevin Zeitler,7032,G,BLT,1,0,3,70.4,100.0,25,73.5,25,75.9,0,100.0,34,34,75.5,100.0,5,14.7,5
Ronnie Stanley,10640,T,BLT,1,0,3,53.8,100.0,25,73.5,25,52.9,0,100.0,34,34,55.2,100.0,5,14.7,5
Wes Schweitzer,10829,C,WAS,1,0,32,52.8,100.0,13,38.2,13,53.2,0,100.0,34,34,51.6,100.0,17,50.0,17
Wyatt Teller,46131,G,CLV,1,0,8,56.2,100.0,20,58.8,20,49.1,0,100.0,34,34,39.2,100.0,13,38.2,13
Charles Leno Jr.,8880,T,WAS,1,0,32,65.0,100.0,13,38.2,13,43.2,1,100.0,34,34,32.0,100.0,17,50.0,17
Rob Havenstein,9490,T,LA,1,0,26,68.0,100.0,14,41.2,14,78.0,0,100.0,34,34,78.0,100.0,19,55.9,19
Ben Powers,41482,G,BLT,1,0,3,55.9,100.0,25,73.5,25,62.9,0,100.0,34,34,74.9,100.0,5,14.7,5
Jedrick Wills Jr.,58467,T,CLV,1,0,8,49.9,100.0,20,58.8,20,39.3,0,100.0,34,34,29.2,100.0,13,38.2,13
Joel Bitonio,8670,G,CLV,1,0,8,48.6,100.0,20,58.8,20,59.7,0,100.0,34,34,67.0,100.0,13,38.2,13
Oday Aboushi,7923,G,LA,1,0,26,61.4,100.0,14,41.2,14,61.9,0,100.0,34,34,54.1,100.0,19,55.9,19
