player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Brandon Graham,5538,ED,PHI,1,0,,,5.3,,,0,0,0,,24,60.0,63.1,77.7,63.4,57.6,71.9,0,,,0,0,0,0.0,0,1,19,1,0,0,0,0,0,0.0,
Jason Pierre-Paul,5540,ED,BLT,1,0,1.0,100.0,15.0,3.0,3.0,0,0,0,0.0,3,48.4,43.8,78.8,54.8,51.6,24.5,0,9,100.0,1,0,0,104.2,1,3,20,0,0,1,0,9,8,3.0,9.0
Kareem Jackson,5545,S,DEN,1,0,14.0,100.0,100.0,28.0,28.0,0,0,0,0.0,10,57.8,56.7,79.1,,56.4,34.5,0,19,,0,0,0,118.8,1,29,29,0,0,1,0,19,5,0.7,19.0
Devin McCourty,5552,S,NE,1,0,6.0,0.0,100.0,,55.0,0,0,0,0.0,19,61.8,61.6,79.2,,57.3,76.6,1,,0.0,0,0,0,0.0,0,58,58,1,2,1,0,0,0,0.0,
Carlos Dunlap,5579,ED,KC,1,0,,,2.8,,,0,0,0,,16,60.0,65.0,80.7,67.7,54.8,70.2,0,,,0,0,0,0.0,0,1,36,0,0,0,0,0,0,0.0,
Patrick Peterson,6157,CB,MIN,1,0,9.7,66.7,98.1,8.0,5.3,0,0,1,11.1,18,60.3,61.9,78.5,64.6,63.3,57.9,1,29,20.0,1,0,1,86.1,6,51,52,1,4,9,1,67,19,1.4,11.2
J.J. Watt,6163,DI,ARZ,1,0,-1.0,100.0,4.1,2.0,2.0,0,0,0,0.0,1,60.6,88.1,80.2,70.6,86.3,73.3,0,5,,0,0,0,87.5,1,2,49,0,0,1,0,5,6,2.5,5.0
Cameron Jordan,6176,ED,NO,1,0,,,3.0,,,0,0,0,,20,60.0,65.5,80.0,45.9,79.6,75.0,0,,,0,0,0,0.0,0,1,33,0,0,0,0,0,0,0.0,
Justin Houston,6222,ED,BLT,1,0,,,12.0,,,0,0,0,,3,60.5,52.4,77.5,57.8,49.2,21.5,0,,,0,0,0,0.0,0,3,25,0,0,0,0,0,0,0.0,
Chris Harris Jr.,6457,CB,NO,1,0,,,50.0,,,0,0,0,,20,60.9,61.0,72.2,55.8,62.1,,0,,,0,0,0,0.0,0,2,4,0,0,0,0,0,0,0.0,
Stephon Gilmore,7016,CB,IND,1,0,3.8,100.0,100.0,9.0,9.0,0,0,0,0.0,14,67.5,67.2,77.4,,61.9,43.3,0,18,0.0,0,0,0,115.6,4,37,37,1,2,4,0,47,32,1.3,11.8
Bruce Irvin,7021,ED,SEA,1,0,-3.0,100.0,17.6,3.0,3.0,0,0,0,0.0,29,41.2,29.4,0.0,51.1,50.3,21.7,0,5,100.0,1,0,1,87.5,1,3,17,0,0,1,0,5,8,1.7,5.0
Chandler Jones,7027,ED,LV,1,0,,,12.5,,,0,0,0,,23,75.2,59.3,75.4,56.9,50.9,73.6,0,,0.0,0,0,0,0.0,0,2,16,1,1,0,0,0,0,0.0,
Bobby Wagner,7050,LB,LA,1,1,1.3,50.0,79.5,11.0,5.5,0,0,0,0.0,26,75.8,91.9,75.6,91.0,88.5,81.1,1,11,0.0,0,0,0,18.1,3,35,44,2,3,6,0,20,19,0.6,6.7
Lavonte David,7060,LB,TB,1,1,3.0,57.1,89.8,10.8,6.1,0,0,1,14.3,30,77.8,74.0,76.6,52.7,60.8,59.8,0,22,14.3,1,1,0,72.9,4,44,49,4,5,7,0,39,37,0.9,9.8
Demario Davis,7079,LB,NO,1,0,,,91.7,,,0,0,0,,20,63.5,70.6,75.2,55.0,72.4,54.1,0,,100.0,1,0,0,0.0,0,33,36,0,0,0,0,0,0,0.0,
Akiem Hicks,7090,DI,TB,1,0,,,4.5,,,0,0,0,,30,59.5,68.5,77.8,56.2,73.2,70.7,0,,,0,0,0,0.0,0,1,22,0,0,0,0,0,0,0.0,
Rodney McLeod,7271,S,IND,1,2,-3.0,100.0,97.3,35.0,35.0,0,0,0,0.0,14,70.5,76.8,74.8,58.3,76.2,63.9,0,4,20.0,1,0,0,83.3,1,36,37,0,2,1,0,4,7,0.1,4.0
Tashaun Gipson Sr.,7288,S,SF,1,0,15.7,66.7,93.8,14.0,9.3,0,1,1,33.3,28,48.6,55.7,77.5,55.8,75.3,83.7,0,25,0.0,0,1,0,109.7,2,30,32,0,1,3,0,39,5,1.4,19.5
Harrison Smith,7641,S,MIN,1,1,5.0,100.0,100.0,21.5,21.5,0,0,0,0.0,18,68.3,70.3,78.0,,61.9,78.5,0,12,0.0,0,0,0,102.1,2,46,46,2,2,2,0,17,7,0.4,8.5
Darius Slay,7817,CB,PHI,1,1,3.4,100.0,100.0,8.8,8.8,0,0,0,0.0,24,56.2,58.0,78.8,,64.7,76.9,0,13,0.0,0,0,1,102.5,5,45,45,1,2,5,0,43,26,1.0,8.6
Giovani Bernard,7818,HB,TB,1,0,,,100.0,,,0,0,0,,30,60.7,70.3,60.5,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Tyrann Mathieu,7850,S,NO,1,0,3.5,83.3,97.2,6.6,5.5,0,0,0,0.0,20,74.2,73.6,74.6,58.3,64.3,63.3,0,21,0.0,0,0,0,96.5,5,35,36,2,3,6,0,43,35,1.3,8.6
Logan Ryan,7864,S,TB,1,0,11.0,50.0,97.7,42.0,21.0,0,0,1,50.0,30,72.0,72.6,77.3,58.5,59.2,43.4,0,3,33.3,1,1,0,56.3,1,43,44,1,2,2,0,3,5,0.1,3.0
Duron Harmon,7872,S,LV,1,0,1.0,100.0,97.6,39.0,39.0,0,0,0,0.0,23,58.7,65.5,75.9,59.1,76.6,57.7,0,1,25.0,1,0,0,79.2,1,40,41,1,3,1,0,1,0,0.0,1.0
A.J. Klein,7930,LB,BUF,1,0,6.0,100.0,100.0,7.0,7.0,0,0,0,0.0,4,48.7,55.7,68.7,,67.1,,0,7,,0,0,0,95.8,1,7,7,0,0,1,0,7,1,1.0,7.0
Jordan Poyer,8000,S,BUF,1,0,9.0,0.0,100.0,,28.0,0,0,0,0.0,4,67.7,68.0,75.3,,58.6,76.4,0,,,0,0,0,39.6,0,30,30,0,0,1,0,0,0,0.0,
Tony Jefferson,8361,S,NYG,1,0,3.5,100.0,65.2,7.0,7.0,0,0,0,0.0,21,55.6,52.0,74.4,52.1,,26.2,0,7,50.0,1,0,0,93.8,2,15,23,0,1,2,0,13,6,0.9,6.5
Chris Banjo,8419,S,ARZ,1,0,,,100.0,,,0,0,0,,1,62.1,65.4,69.9,,60.0,76.7,0,,,0,0,0,0.0,0,4,4,0,0,0,0,0,0,0.0,
Khalil Mack,8640,ED,LAC,1,0,,,6.9,,,0,0,0,,27,61.5,62.0,78.1,66.1,50.2,72.0,0,,,0,0,0,0.0,0,2,29,1,0,0,0,0,0,0.0,
Anthony Barr,8644,LB,DAL,1,0,8.5,50.0,90.6,27.0,13.5,0,1,0,0.0,9,49.3,64.5,77.5,54.2,80.6,79.5,0,20,0.0,0,0,0,85.4,1,29,32,1,1,2,0,20,20,0.7,20.0
C.J. Mosley,8652,LB,NYJ,1,0,-1.0,66.7,97.3,8.8,5.8,0,0,0,0.0,22,75.1,85.1,76.9,60.0,81.4,83.9,0,9,0.0,0,0,0,70.1,4,36,37,2,4,6,0,16,23,0.5,4.0
