player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Ndamukong Suh,5527,DI,PHI,1,0,0,,0,0,24,,63.3,74.9,63.1,59.8,69.1,0,1,0,,0.0,0,0,0,0.0,0,1,0,0,0,22,22,0,9,0,13,0,0,13,9,0,1,1,0,2,0,0,0,
Tyson Alualu,5535,DI,PIT,1,1,0,,0,0,25,,66.0,72.6,67.2,60.1,67.3,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,9,9,4,5,0,0,0,0,5,4,0,0,0,0,1,0,0,0,
Brandon Graham,5538,ED,PHI,1,0,0,,0,0,24,60.0,63.1,77.7,63.4,57.6,71.9,0,2,0,,0.0,0,0,0,0.0,0,1,0,0,1,29,29,0,4,23,2,0,0,18,10,0,2,1,0,3,0,0,0,
Jason Pierre-Paul,5540,ED,BLT,1,1,0,100.0,0,0,3,48.4,43.8,78.8,54.8,51.6,24.5,0,1,0,9,50.0,2,0,0,104.2,1,0,3,0,3,40,37,0,0,34,3,0,3,17,20,0,0,1,1,1,0,9,8,9.0
Kareem Jackson,5545,S,DEN,1,0,0,100.0,0,0,10,57.8,56.7,79.1,,56.4,34.5,0,0,0,19,50.0,1,0,0,118.8,1,0,21,0,29,61,0,0,0,0,0,27,61,0,32,13,1,1,1,0,0,19,5,19.0
Devin McCourty,5552,S,NE,1,0,0,0.0,0,0,19,61.8,61.6,79.2,,57.3,76.6,0,0,1,,0.0,0,0,0,0.0,0,0,26,0,58,84,1,0,0,1,0,43,83,0,26,14,1,2,1,0,0,0,0,
Jerry Hughes,5556,ED,HST,1,0,0,,0,1,13,,65.3,79.3,74.2,51.7,24.0,0,3,0,,100.0,1,0,0,0.0,0,0,0,0,0,34,34,0,0,33,1,0,0,19,15,0,0,0,0,3,0,0,0,
Linval Joseph,5571,DI,PHI,1,1,0,,0,0,24,,73.8,77.2,59.8,72.6,73.5,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,36,36,35,1,0,0,0,0,15,21,0,4,5,0,1,0,0,0,
Carlos Dunlap,5579,ED,KC,1,0,0,,0,0,16,60.0,65.0,80.7,67.7,54.8,70.2,1,2,0,,0.0,0,0,0,0.0,0,0,0,0,1,54,54,0,2,44,8,0,0,35,18,0,1,2,0,3,0,0,0,
Corey Peters,5607,DI,JAX,1,0,0,,0,0,15,,60.4,75.1,66.7,55.8,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,17,17,17,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,
Patrick Peterson,6157,CB,MIN,1,0,0,66.7,0,0,18,60.3,61.9,78.5,64.6,63.3,57.9,0,1,1,29,20.0,1,0,1,86.1,6,0,2,66,51,69,0,0,0,0,0,0,69,1,17,1,1,4,9,1,1,67,19,11.2
J.J. Watt,6163,DI,ARZ,1,0,0,100.0,0,0,1,60.6,88.1,80.2,70.6,86.3,73.3,2,0,0,5,0.0,0,0,0,87.5,1,0,0,0,2,77,77,0,32,19,26,0,0,47,28,0,6,6,1,2,0,5,6,5.0
Cameron Jordan,6176,ED,NO,1,0,0,,0,0,20,60.0,65.5,80.0,45.9,79.6,75.0,0,2,0,,0.0,0,0,0,0.0,0,0,0,0,1,61,61,0,0,56,5,0,0,32,28,0,4,6,0,2,0,0,0,
Cameron Heyward,6183,DI,PIT,1,1,1,,0,0,25,,90.3,76.5,80.3,82.2,73.0,0,5,0,,0.0,0,0,0,0.0,0,2,0,0,0,47,47,0,30,1,16,0,0,32,15,0,4,3,0,7,0,0,0,
Justin Houston,6222,ED,BLT,1,0,0,,0,0,3,60.5,52.4,77.5,57.8,49.2,21.5,0,1,0,,100.0,1,0,0,0.0,0,0,1,0,3,36,35,0,0,34,1,0,1,22,11,0,0,0,0,1,0,0,0,
