player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Cordell Volson,30614,G,CIN,1,100.0,0,7,66.3,74.8,67.2,0,1,55,100.0,100.0,99.1,1,1,0,84,0,84,0,84,58,58,0,0,26,0
Ted Karras,10855,C,CIN,1,100.0,0,7,59.1,68.4,53.6,0,2,55,100.0,100.0,98.2,0,2,0,84,84,0,0,84,58,58,0,0,26,0
Alex Cappa,66578,G,CIN,1,100.0,0,7,65.1,71.6,58.8,0,0,55,100.0,100.0,100.0,0,0,0,84,0,0,0,84,58,58,84,0,26,0
Jonah Williams,41651,T,CIN,1,100.0,0,7,59.0,61.1,52.6,0,2,55,100.0,100.0,94.5,0,4,2,84,0,0,84,84,58,58,0,0,26,0
Nick Leverett,27699,G,TB,1,100.0,0,30,60.4,49.4,63.0,1,0,48,100.0,100.0,99.0,0,1,0,81,0,81,0,81,51,51,0,0,30,0
Shaq Mason,9564,G,TB,1,100.0,0,30,59.1,68.5,53.1,0,0,48,100.0,100.0,100.0,0,0,0,81,0,0,0,81,51,51,81,0,30,0
Robert Hainsey,59980,C,TB,1,100.0,0,30,62.4,71.6,58.3,1,0,48,100.0,100.0,99.0,0,1,0,81,81,0,0,81,51,51,0,0,30,0
Tristan Wirfs,64818,T,TB,1,100.0,0,30,59.7,80.4,36.8,0,0,48,100.0,100.0,100.0,1,0,0,81,0,0,0,81,51,51,0,81,30,0
Josh Jones,26634,T,ARZ,1,100.0,0,1,70.5,71.7,65.7,0,2,47,100.0,100.0,97.9,0,2,0,76,0,0,76,76,49,49,0,0,27,0
Charles Cross,98401,T,SEA,1,100.0,0,29,71.6,58.7,77.6,0,2,44,100.0,100.0,97.7,0,2,0,76,0,0,76,76,47,47,0,0,29,0
Billy Price,46795,C,ARZ,1,100.0,0,1,54.7,57.6,59.3,0,2,47,100.0,100.0,97.9,1,2,0,76,76,0,0,76,49,49,0,0,27,0
Max Garcia,9566,G,ARZ,1,100.0,0,1,62.9,64.9,60.0,0,1,47,100.0,100.0,98.9,1,1,0,76,0,76,0,76,49,49,0,0,27,0
Will Hernandez,46180,G,ARZ,1,100.0,0,1,65.1,82.0,55.7,0,1,47,100.0,100.0,98.9,0,1,0,76,0,0,0,76,49,49,76,0,27,0
Damien Lewis,81532,G,SEA,1,100.0,0,29,74.8,61.8,75.7,0,1,44,100.0,100.0,98.9,0,1,0,76,0,76,0,76,47,47,0,0,29,0
Austin Blythe,10882,C,SEA,1,100.0,0,29,66.4,84.9,59.6,0,0,44,100.0,100.0,100.0,1,0,0,76,76,0,0,76,47,47,0,0,29,0
Kelvin Beachum,7229,T,ARZ,1,100.0,0,1,60.0,62.4,54.8,4,0,47,100.0,100.0,95.7,0,4,0,76,0,0,0,76,49,49,0,76,27,0
Zack Martin,8651,G,DAL,1,100.0,0,9,70.0,79.2,63.3,0,1,44,100.0,100.0,98.9,0,1,0,73,0,0,0,73,45,45,73,0,28,0
Tyler Smith,98385,T,DAL,1,100.0,0,9,92.9,91.1,91.8,0,0,44,100.0,100.0,100.0,0,0,0,73,0,0,73,73,45,45,0,0,28,0
Tyron Smith,6161,T,DAL,1,100.0,0,9,55.6,57.3,51.2,0,3,44,100.0,100.0,94.3,0,4,1,73,0,0,0,73,45,45,0,73,28,0
Wes Schweitzer,10829,C,WAS,1,100.0,1,32,44.8,21.1,53.2,1,3,36,100.0,100.0,94.4,1,4,0,73,73,0,0,73,39,39,0,0,34,0
Tyler Biadasz,41178,C,DAL,1,100.0,0,9,63.0,56.3,63.9,0,2,44,100.0,100.0,97.7,0,2,0,73,73,0,0,73,45,45,0,0,28,0
Andrew Norwell,9126,G,WAS,1,100.0,0,32,57.6,64.4,54.7,0,2,36,100.0,100.0,97.2,0,2,0,73,0,73,0,73,39,39,0,0,34,0
Connor McGovern,41714,G,DAL,1,100.0,0,9,46.2,77.2,35.0,0,2,44,100.0,100.0,97.7,0,2,0,73,0,73,0,73,45,45,0,0,28,0
Charles Leno Jr.,8880,T,WAS,1,100.0,0,32,41.0,33.7,43.2,3,2,36,100.0,100.0,90.3,1,6,1,73,0,0,73,73,39,39,0,0,34,0
Ezra Cleveland,41973,G,MIN,1,100.0,0,18,79.0,59.3,82.7,3,0,51,100.0,100.0,95.1,0,4,1,72,0,72,0,72,53,53,0,0,19,0
Luke Fortner,42028,C,JAX,1,100.0,0,15,40.3,60.2,36.7,0,2,36,100.0,100.0,97.2,0,2,0,72,72,0,0,72,37,37,0,0,35,0
Brian O'Neill,46854,T,MIN,1,100.0,0,18,66.8,83.0,47.4,1,0,51,100.0,100.0,99.0,0,1,0,72,0,0,0,72,53,53,0,72,19,0
Austin Schlottmann,30097,C,MIN,1,100.0,0,18,57.6,26.3,69.9,1,4,51,100.0,100.0,93.1,0,6,1,72,72,0,0,72,53,53,0,0,19,0
Walker Little,52287,T,JAX,1,100.0,0,15,65.1,63.0,70.9,1,3,36,100.0,100.0,94.4,1,4,0,72,0,0,71,72,37,37,0,0,35,1
Christian Darrisaw,77373,T,MIN,1,100.0,0,18,83.0,83.0,79.6,0,0,51,100.0,100.0,98.0,0,1,1,72,0,0,72,72,53,53,0,0,19,0
Ed Ingram,59819,G,MIN,1,100.0,0,18,66.2,53.7,68.9,1,1,51,100.0,100.0,96.1,0,3,1,72,0,0,0,72,53,53,72,0,19,0
Isaac Seumalo,10713,G,PHI,1,100.0,0,24,73.3,76.6,68.4,0,2,41,100.0,100.0,97.6,0,2,0,71,0,0,0,71,44,44,71,0,27,0
Jason Kelce,6343,C,PHI,1,100.0,0,24,71.2,74.6,68.8,0,0,41,100.0,100.0,100.0,0,0,0,71,71,0,0,71,44,44,0,0,27,0
Jordan Mailata,66916,T,PHI,1,100.0,0,24,63.4,48.8,71.7,0,6,41,100.0,100.0,92.7,0,6,0,71,0,0,71,71,44,44,0,0,27,0
Drew Dalman,52270,C,ATL,1,100.0,0,2,67.3,70.9,65.0,0,0,37,100.0,100.0,100.0,1,0,0,71,71,0,0,71,39,39,0,0,32,0
Kaleb McGary,46912,T,ATL,1,100.0,0,2,62.3,69.9,55.4,0,1,37,100.0,100.0,98.6,1,1,0,71,0,0,0,71,39,39,0,71,32,0
Chris Lindstrom,46692,G,ATL,1,100.0,0,2,90.2,88.2,84.4,0,0,37,100.0,100.0,100.0,0,0,0,71,0,0,0,71,39,39,71,0,32,0
Jake Matthews,8641,T,ATL,1,100.0,0,2,72.0,90.1,58.8,0,0,37,100.0,100.0,100.0,0,0,0,71,0,0,70,71,39,39,0,0,32,1
Elijah Wilkinson,46238,G,ATL,1,100.0,0,2,71.4,78.8,66.2,0,0,37,100.0,100.0,100.0,0,0,0,71,0,71,0,71,39,39,0,0,32,0
Landon Dickerson,41712,G,PHI,1,100.0,0,24,66.5,48.6,70.7,0,5,41,100.0,100.0,93.9,0,5,0,71,0,71,0,71,44,44,0,0,27,0
Ethan Pocic,11813,C,CLV,1,100.0,0,8,66.3,79.1,62.0,0,0,33,100.0,100.0,100.0,0,0,0,70,70,0,0,70,36,36,0,0,34,0
Joel Bitonio,8670,G,CLV,1,100.0,0,8,66.6,84.0,59.7,0,1,33,100.0,100.0,98.5,0,1,0,70,0,70,0,70,36,36,0,0,34,0
Jedrick Wills Jr.,58467,T,CLV,1,100.0,0,8,55.0,81.0,39.3,1,0,33,100.0,100.0,98.5,0,1,0,70,0,0,69,70,36,36,0,0,34,1
Jack Conklin,10642,T,CLV,1,100.0,1,8,57.2,78.0,50.1,0,0,33,100.0,100.0,100.0,2,0,0,70,0,0,0,70,36,36,0,69,34,1
Wyatt Teller,46131,G,CLV,1,100.0,0,8,57.4,84.0,49.1,0,0,33,100.0,100.0,100.0,0,0,0,70,0,0,0,70,36,36,70,0,34,0
Tyler Shatley,9257,G,JAX,1,100.0,0,15,55.1,55.2,54.5,0,1,36,100.0,100.0,95.8,0,2,1,69,0,69,0,69,37,37,0,0,32,0
Jon Feliciano,9561,C,NYG,1,100.0,0,21,52.3,64.9,53.1,0,1,49,100.0,100.0,99.0,2,1,0,69,69,0,0,69,52,52,0,0,17,0
