player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Mitchell Trubisky,11757,QB,PIT,5,2.74,2.58,4.29,4.23,140,25,66.2,65,69,7.3,1.97,2,2,2.7,59.4,41,13,4.7,69,49.3,2,16,,,,82.8,73.1,79.4,71.9,,,,,1,2,73,0.0,73.4,0.0,0,0,0,1,3,1,1.4,321,4.7,68.4,57,58,13.5,3.49,0,5,7.9,63.8,37,30,5.1,71,50.7,2,25,,,,83.2,67.7,79.6,68.0,,,55.9,,1,0,77,30.0,89.4,12.7,9,4,0,0,0,3,3.9,476,8.2
Jameis Winston,9434,QB,NO,3,2.68,2.53,3.45,5.6,127,20,79.3,58,60,7.2,1.94,2,2,3.2,73.3,44,12,4.3,63,49.6,2,17,,,,82.0,76.2,78.9,74.7,,,,,0,1,65,25.0,100.9,4.8,3,0,0,0,3,2,3.1,403,6.7,62.5,48,53,17.9,3.41,0,5,8.5,54.7,29,28,3.3,64,50.4,1,18,,,,43.1,57.9,79.2,58.1,,,58.1,,1,4,70,28.6,58.3,12.5,8,3,0,4,1,5,7.1,455,8.6
Tua Tagovailoa,60326,QB,MIA,4,2.53,2.51,3.35,,122,17,78.7,61,62,6.8,1.8,1,1,1.5,71.0,44,5,8.3,62,50.8,4,27,,,,82.2,82.9,79.0,80.9,,,,,0,0,67,0.0,117.1,0.0,0,0,0,0,4,1,1.5,511,8.2,78.0,50,53,11.7,3.34,0,4,7.3,67.9,36,27,7.7,59,48.4,3,21,,,,39.9,70.7,78.8,70.7,,,56.8,,1,3,62,22.2,101.5,10.2,6,0,0,2,4,6,9.7,524,9.9
Mac Jones,60323,QB,NE,3,2.77,2.56,2.82,5.03,111,19,66.7,36,38,4.1,1.78,1,0,0.0,60.5,23,4,4.2,40,36.0,1,4,,,,79.3,32.5,0.0,36.2,,,,,0,2,43,50.0,53.1,5.0,2,0,0,1,1,2,4.7,125,3.3,70.7,58,59,14.2,3.33,0,6,9.7,69.5,41,25,0.0,71,64.0,0,31,,,,82.9,72.3,79.4,72.7,,,58.1,,0,3,74,12.0,91.1,4.2,3,9,0,1,1,4,5.4,661,11.2
Kenny Pickett,60515,QB,PIT,3,2.8,2.6,3.78,5.0,93,25,78.6,42,43,6.8,1.99,1,1,2.2,74.4,32,4,3.0,44,47.3,1,17,,,,79.9,58.0,77.7,57.9,,,,,0,1,46,25.0,87.9,2.3,1,0,0,0,1,2,4.3,266,6.2,75.0,36,40,9.3,3.54,0,0,0.0,57.5,23,21,14.8,49,52.7,4,16,,,,80.8,69.4,0.0,68.2,,,69.0,,0,3,53,14.3,44.6,6.1,3,6,0,4,0,1,1.9,248,6.2
Andy Dalton,6187,QB,NO,3,2.62,2.53,3.8,5.2,89,20,82.5,40,43,7.8,1.98,0,2,4.7,72.1,31,9,6.1,43,48.3,2,18,,,,79.5,93.5,77.4,92.3,,,,,1,1,43,0.0,109.1,0.0,0,0,0,2,3,1,2.3,344,8.0,68.6,35,41,11.3,3.21,0,1,2.2,53.7,22,15,8.3,46,51.7,2,11,,,,31.2,61.0,78.0,59.9,,,63.7,,3,0,51,26.7,71.7,8.7,4,1,0,3,0,2,3.9,245,6.0
Zach Wilson,82096,QB,NYJ,3,3.1,3.02,3.52,4.88,85,22,81.3,32,35,3.9,1.94,2,0,0.0,68.6,24,3,7.7,35,41.2,2,12,,,,78.7,82.5,77.0,80.6,,,,,1,1,38,0.0,83.7,0.0,0,0,0,0,1,0,0.0,226,6.5,62.5,32,40,13.8,3.99,1,2,4.7,45.0,18,26,10.0,49,57.6,2,13,,,,80.6,49.1,78.1,48.1,,,64.1,,2,1,52,19.2,65.2,10.2,5,4,0,5,0,6,11.5,346,8.7
Bailey Zappe,60396,QB,NE,3,2.8,2.7,3.4,6.9,76,19,90.9,33,34,2.2,1.91,0,0,0.0,82.4,28,5,6.7,34,44.7,2,11,,,,78.6,77.4,76.9,75.9,,,,,0,1,37,0.0,93.4,0.0,0,0,0,1,1,0,0.0,238,7.0,72.7,33,36,11.2,3.53,0,0,0.0,63.9,23,16,4.2,42,55.3,1,18,,,,29.7,74.4,0.0,72.8,,,65.6,,0,0,47,31.3,124.5,11.9,5,1,0,3,3,1,2.1,358,9.9
Teddy Bridgewater,8667,QB,MIA,4,3.06,2.9,3.22,7.55,68,17,80.0,25,27,7.4,1.95,1,0,0.0,70.4,19,8,5.0,28,41.2,1,14,,,,77.4,77.4,76.1,75.9,,,,,0,2,30,12.5,96.2,3.6,1,0,0,1,2,2,6.7,270,10.0,65.5,29,33,11.5,3.84,0,0,0.0,54.5,18,25,5.3,40,58.8,1,11,,,,79.0,64.0,0.0,61.5,,,75.6,,2,1,40,20.0,76.8,12.5,5,2,0,2,1,2,5.0,252,7.6
Skylar Thompson,60417,QB,MIA,2,2.67,2.62,2.93,4.2,50,17,87.0,23,25,6.0,1.89,1,1,3.7,68.0,17,10,15.0,25,50.0,3,6,,,,76.8,78.9,75.8,77.3,,,,,1,0,27,0.0,86.3,0.0,0,0,0,0,0,1,3.7,165,6.6,57.9,19,21,10.6,3.45,0,1,4.0,42.9,9,17,18.2,25,50.0,2,6,,,,26.0,63.5,76.1,58.5,,,74.4,,0,1,30,17.6,35.8,12.0,3,1,0,2,0,1,3.3,90,4.3
