player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,6,23,23,4.19,38.83,46.91,9.7,0,0,0,3,1,67.7,6,62,3,0,65.2,146,15,23,96.32,893,2,1079
Kevin Huber,5066,P,CIN,6,22,22,4.37,40.0,44.55,11.4,0,0,2,10,7,63.0,7,63,2,0,31.8,80,7,22,96.2,880,1,980
Thomas Morstead,5088,P,MIA,6,22,22,4.39,42.86,48.68,10.8,0,0,6,5,17,70.4,10,66,0,0,45.5,108,10,23,96.54,943,1,1071
Bryan Anger,7072,P,DAL,6,28,28,4.53,40.64,46.68,8.1,0,0,3,9,9,70.7,12,63,1,0,39.3,89,11,28,126.73,1138,4,1307
Johnny Hekker,7252,P,CAR,6,30,30,4.36,44.43,48.67,6.7,0,0,4,10,5,71.6,14,67,1,0,43.3,87,13,30,130.9,1333,2,1460
Sam Martin,7947,P,BUF,5,11,11,4.3,43.0,48.09,4.0,0,0,0,3,4,71.4,4,63,2,0,36.4,16,4,11,47.31,473,2,529
Tress Way,8358,P,WAS,6,35,35,4.4,44.77,47.86,5.2,0,0,7,10,32,64.1,15,62,3,0,37.1,68,13,35,154.16,1567,2,1675
Pat O'Donnell,8826,P,GB,6,26,26,4.21,41.62,46.85,12.9,1,0,4,8,12,66.1,14,72,4,0,34.6,116,9,27,109.35,1082,1,1218
Bradley Pinion,9598,P,ATL,6,20,20,4.72,42.1,47.75,13.3,0,0,3,8,2,87.7,10,73,1,0,35.0,93,7,20,94.41,842,1,955
Riley Dixon,10862,P,LA,6,21,21,4.23,43.67,48.0,9.1,2,0,1,6,26,74.3,5,60,4,0,47.6,91,10,23,88.83,917,0,1008
Matt Haack,12212,P,IND,6,24,24,4.56,41.42,43.63,4.7,0,0,4,8,14,65.4,14,70,4,0,29.2,33,7,24,109.51,994,1,1047
Cameron Johnston,12255,P,HST,5,26,26,4.34,43.04,49.12,9.2,0,0,2,6,13,68.4,16,64,2,0,57.7,138,15,26,112.79,1119,1,1277
Corey Bojorquez,27626,P,CLV,6,20,20,4.34,40.55,47.1,13.0,0,0,4,1,8,77.5,11,63,6,0,35.0,91,7,20,86.82,811,2,942
Logan Cooke,29214,P,JAX,6,18,18,4.4,44.22,49.83,7.4,0,0,2,3,15,80.1,5,62,1,0,61.1,81,11,18,79.24,796,1,897
Tommy Townsend,33007,P,KC,6,18,18,5.0,49.83,54.0,5.0,0,0,3,6,16,87.3,7,74,0,0,38.9,35,7,18,90.0,897,2,972
Jake Bailey,33963,P,NE,6,22,22,4.3,36.05,43.73,9.9,0,0,2,5,19,70.5,10,62,2,0,40.9,89,9,22,94.67,793,4,962
Jack Fox,34735,P,DET,5,16,16,4.59,43.25,48.56,9.4,0,0,2,4,11,66.1,6,63,1,0,56.3,85,9,16,73.51,692,0,777
Michael Dickson,35381,P,SEA,5,20,20,4.27,44.3,48.9,7.2,0,0,1,5,29,64.7,7,64,3,0,50.0,72,10,20,85.42,886,1,978
A.J. Cole III,36038,P,LV,5,14,14,4.33,43.93,52.14,16.4,0,0,4,2,23,73.0,4,66,1,0,50.0,115,7,14,60.59,615,0,730
J.K. Scott,38809,P,LAC,6,23,23,4.94,42.26,43.83,3.3,0,0,2,10,27,73.3,9,54,0,0,47.8,36,11,23,113.7,972,0,1008
Corliss Waitman,39620,P,DEN,6,33,33,4.49,40.73,46.03,7.7,0,0,5,10,10,68.6,15,58,0,0,45.5,115,15,33,148.28,1344,3,1519
Mitch Wishnowsky,44663,P,SF,6,23,23,4.45,40.43,45.39,10.8,0,0,7,4,28,71.3,12,74,4,0,21.7,54,5,23,102.44,930,3,1044
Braden Mann,44664,P,NYJ,6,27,27,4.33,43.74,47.04,5.9,1,0,4,5,22,69.8,9,61,3,0,55.6,89,15,28,116.84,1181,0,1270
Blake Gillikin,45045,P,NO,6,27,27,4.47,41.11,48.41,11.4,0,0,0,9,20,67.1,6,63,3,0,44.4,137,12,27,120.56,1110,3,1307
Ryan Stonehouse,52045,P,TEN,5,27,27,4.42,47.33,54.89,9.6,0,0,3,4,31,73.5,12,70,1,0,63.0,164,17,27,119.29,1278,2,1482
Jordan Stout,57649,P,BLT,6,18,18,4.36,39.17,46.17,9.4,0,0,1,5,3,59.6,6,64,2,0,38.9,66,7,18,78.41,705,3,831
Trenton Gill,60295,P,CHI,6,25,25,4.26,42.56,48.72,9.5,0,0,2,8,6,67.6,7,60,1,0,48.0,114,12,25,106.46,1064,2,1218
Pressley Harvin III,62973,P,PIT,6,30,30,4.23,41.03,44.97,6.0,0,0,5,8,25,58.2,8,69,2,0,43.3,78,13,30,126.94,1231,2,1349
Jamie Gillan,63303,P,NYG,6,25,25,4.53,41.84,50.2,13.5,0,0,0,7,21,78.0,8,69,4,0,44.0,149,11,25,113.18,1046,3,1255
Ryan Wright,77591,P,MIN,6,27,27,4.43,43.07,45.04,5.3,0,0,3,10,18,64.1,17,73,4,0,37.0,53,10,27,119.61,1163,0,1216
Arryn Siposs,82019,P,PHI,6,24,24,4.21,40.17,45.75,6.7,0,0,5,4,24,61.6,13,59,1,0,45.8,74,11,24,101.01,964,3,1098
Jake Camarda,82636,P,TB,6,27,27,4.61,41.07,45.56,9.0,0,0,1,11,30,69.7,9,65,4,0,33.3,81,9,27,124.46,1109,2,1230
