datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Bateman, Wilson","Wil Bateman",150,28225774,6500,29.440,2:27 pm,0,51.6,1.3,0,53,0.07,100,0.122714615872313,
"Cook, Austin","Austin Cook",150,28225768,6500,28.392,1:43 pm,0,49.4,1.1,0,50.4,-0.05,100,0.24710672794276,
"Knapp, Jake","Jake Knapp",150,28225773,6500,30.940,2:27 pm,0,56.5,1.9,0,58.4,0.4,100,2.99526237551611,
"Stroud, Chris","Chris Stroud",150,28225772,6500,28.724,8:28 am,1,50.4,1.3,0,51.7,0,100,0.0112338483722006,
"Streb, Robert","Robert Streb",150,28225775,6500,29.820,12:59 pm,0,53.1,1.5,0,54.6,0.17,100,0,
"Lingmerth, David","David Lingmerth",150,28225771,6500,28.262,8:39 am,1,49.3,1.1,0,50.4,-0.05,100,0.86040515714434,
"Higgs, Harry","Harry Higgs",150,28225769,6500,28.413,7:11 am,1,49,1,0,50.1,-0.06,100,0,
"Sloan, Roger","Roger Sloan",150,28225776,6500,28.352,8:28 am,1,49.3,1,0,50.4,-0.05,100,0,
"Percy, Cameron","Cameron Percy",150,28225770,6500,27.962,7:00 am,1,48.8,1.1,0,49.8,-0.07,100,0.239512636269019,
"Armour, Ryan","Ryan Armour",150,28225779,6400,28.584,7:22 am,1,50.3,1.2,0,51.5,0.04,100,0.909105300479539,
"Grant, Brent","Brent Grant",150,28225778,6400,28.667,2:16 pm,0,50.2,1.2,0,51.4,0.03,100,0.153519906945853,
"Cone, Trevor","Trevor Cone",150,28225783,6400,26.505,2:16 pm,0,45.4,0.8,0,46.2,-0.19,100,0,
"Matthews, Brandon","Brandon Matthews",150,28225777,6400,26.381,8:50 am,1,45.6,0.7,0,46.3,-0.18,100,0.0153552958997902,
"Creighton, Myles","Myles Creighton",150,28225781,6400,26.736,2:27 pm,0,45.9,0.8,0,46.7,-0.16,100,0.588010623214571,
"Haas, Bill","Bill Haas",150,28225784,6400,28.004,8:06 am,1,48.8,1.1,0,49.8,-0.04,100,0,
"Werenski, Richy","Richy Werenski",150,28225785,6400,28.588,1:10 pm,0,49.7,1.1,0,50.8,-0.01,100,0.0440513045561774,
"Moore, Ryan","Ryan Moore",150,28225780,6400,27.697,1:43 pm,0,48.2,1,0,49.2,-0.07,100,0.974076841574025,
"Harrington, Scott","Scott Harrington",150,28225782,6400,29.360,8:50 am,1,51.1,1.3,0,52.3,0.08,100,0,
"Schwab, Matthias","Matthias Schwab",150,28225790,6300,28.836,1:43 pm,0,51.5,1.3,0,52.7,0.15,100,0.433192393388528,
"Alexander, Tyson","Tyson Alexander",150,28225787,6300,27.229,12:37 pm,0,47.3,0.9,0,48.2,-0.08,100,0,
"Endycott, Harrison","Harrison Endycott",150,28225789,6300,28.820,8:50 am,1,50.9,1.2,0,52.1,0.12,100,0.375961536245038,
"Brehm, Ryan","Ryan Brehm",150,28225794,6300,25.383,7:44 am,1,42.8,0.6,0,43.3,-0.27,100,0,
"Kang, Sung","Sung Kang",150,28225792,6300,25.872,1:32 pm,0,44.1,0.7,0,44.8,-0.21,100,0.164833819604946,
