close_odds,player_name,open_time,open_odds,bet_outcome_text,close_time,dg_id,outcome,bet_outcome_numeric,book,event_completed,event_name,market,season,year,event_id
+550,"McIlroy, Rory",2023-06-05 13:34,+450,loss,2023-06-07 22:39,10091,T9,0,draftkings,2023-06-11,RBC Canadian Open,win,2023,2023,32
+1100,"Hatton, Tyrrell",2023-06-05 13:34,+1200,loss,2023-06-07 22:39,14796,T3,0,draftkings,2023-06-11,RBC Canadian Open,win,2023,2023,32
+1400,"Burns, Sam",2023-06-05 13:34,+1400,loss,2023-06-07 22:39,19483,CUT,0,draftkings,2023-06-11,RBC Canadian Open,win,2023,2023,32
+1400,"Fitzpatrick, Matthew",2023-06-05 13:34,+1400,loss,2023-06-07 22:39,17646,T20,0,draftkings,2023-06-11,RBC Canadian Open,win,2023,2023,32
+1400,"Young, Cameron",2023-06-05 13:34,+1400,loss,2023-06-07 22:39,26651,T57,0,draftkings,2023-06-11,RBC Canadian Open,win,2023,2023,32
+1800,"Rose, Justin",2023-06-05 13:34,+1800,loss,2023-06-07 22:39,6093,8,0,draftkings,2023-06-11,RBC Canadian Open,win,2023,2023,32
+2000,"Fleetwood, Tommy",2023-06-05 13:34,+2000,loss,2023-06-07 22:39,12294,2,0,draftkings,2023-06-11,RBC Canadian Open,win,2023,2023,32
+2000,"Lowry, Shane",2023-06-05 13:34,+2000,loss,2023-06-07 22:39,13900,T43,0,draftkings,2023-06-11,RBC Canadian Open,win,2023,2023,32
+2200,"Conners, Corey",2023-06-05 13:34,+1800,loss,2023-06-07 22:39,17576,T20,0,draftkings,2023-06-11,RBC Canadian Open,win,2023,2023,32
+2500,"Theegala, Sahith",2023-06-05 13:34,+3000,loss,2023-06-07 22:39,23014,T38,0,draftkings,2023-06-11,RBC Canadian Open,win,2023,2023,32
+4000,"Mitchell, Keith",2023-06-05 13:34,+3500,loss,2023-06-07 22:39,17365,CUT,0,draftkings,2023-06-11,RBC Canadian Open,win,2023,2023,32
+4000,"Kuchar, Matt",2023-06-05 13:34,+4000,loss,2023-06-07 22:39,6169,T20,0,draftkings,2023-06-11,RBC Canadian Open,win,2023,2023,32
+4000,"Meronk, Adrian",2023-06-05 13:34,+4500,loss,2023-06-07 22:39,14196,CUT,0,draftkings,2023-06-11,RBC Canadian Open,win,2023,2023,32
