tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots
pga,2023,2023,RBC Canadian Open,32,"Taylor, Nick",13126,1,1,Oakdale Golf & Country Club,908,72,10,7:55am,75,-3.258,0.528,-0.718,0.877,0.687,-2.571,280.7,0.733,0.5,0.5,80.33,25.319,2,7
pga,2023,2023,RBC Canadian Open,32,"Taylor, Nick",13126,1,2,Oakdale Golf & Country Club,908,72,1,1:10pm,67,1.55,0.486,2.691,0.228,3.405,4.955,279.1,0.533,0.833,0.5,54.458,18.294,6,3
pga,2023,2023,RBC Canadian Open,32,"Taylor, Nick",13126,1,3,Oakdale Golf & Country Club,908,72,1,10:40am,63,3.16,2.219,3.41,-0.309,5.32,8.48,278.9,0.667,0.778,1.0,17.892,27.068,6,1
pga,2023,2023,RBC Canadian Open,32,"Taylor, Nick",13126,1,4,Oakdale Golf & Country Club,908,72,1,1:45pm,66,3.379,-1.077,1.182,0.772,0.878,4.257,283.3,0.667,0.778,0.833,57.093,24.108,6,3
pga,2023,2023,RBC Canadian Open,32,"Fleetwood, Tommy",12294,2,1,Oakdale Golf & Country Club,908,72,10,7:55am,70,1.202,0.541,-0.285,0.971,1.227,2.429,289.5,0.467,0.611,0.7,68.767,30.06,2,1
pga,2023,2023,RBC Canadian Open,32,"Fleetwood, Tommy",12294,2,2,Oakdale Golf & Country Club,908,72,1,1:10pm,70,0.616,-0.431,1.393,0.377,1.339,1.955,294.2,0.4,0.5,0.667,43.884,21.209,3,2
pga,2023,2023,RBC Canadian Open,32,"Fleetwood, Tommy",12294,2,3,Oakdale Golf & Country Club,908,72,1,1:10pm,64,4.448,0.231,0.595,2.206,3.032,7.48,299.0,0.8,0.722,0.875,51.506,29.541,4,1
pga,2023,2023,RBC Canadian Open,32,"Fleetwood, Tommy",12294,2,4,Oakdale Golf & Country Club,908,72,1,2:15pm,67,2.886,-1.058,0.547,0.881,0.371,3.257,298.3,0.6,0.778,0.6,46.724,19.261,4,1
pga,2023,2023,RBC Canadian Open,32,"Hatton, Tyrrell",14796,T3,1,Oakdale Golf & Country Club,908,72,10,7:44am,72,-1.365,-0.019,0.796,1.017,1.794,0.429,291.9,0.333,0.556,0.5,43.931,16.853,4,4
pga,2023,2023,RBC Canadian Open,32,"Hatton, Tyrrell",14796,T3,2,Oakdale Golf & Country Club,908,72,1,12:59pm,64,4.341,-0.128,2.355,1.387,3.614,7.955,298.3,0.6,0.889,0.5,63.734,17.81,6,0
