"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","215","20","0.36","67","1.51","66.3","12","Jermaine Carter","223","10","0.19","82","0.79","51.2"
"Kyle Pitts","264","21","0.37","65","2.07","78.2","30","Jayron Kearse","273","11","0.2","76","0.78","73.3"
"Mark Andrews","264","22","0.44","72","2.12","89.3","11","Brandon Jones","186","6","0.14","92","0.82","63.1"
"Tommy Sweeney","100","10","0.19","90","0.44","48.3","-9","C.J. Mosley","238","16","0.33","92","1.25","33.1"
"Ian Thomas","159","11","0.16","67","0.87","54.3","-42","Isaiah Simmons","278","14","0.22","78","1.06","56.1"
"Austin Hooper","158","18","0.28","71","1.16","69.9","-5","Kyle Dugger","269","10","0.16","70","0.71","60.5"
"Dalton Schultz","230","20","0.42","79","1.84","82.7","42","Deion Jones","267","17","0.34","89","1.49","57.4"
"Albert Okwuegbunam","87","21","0.39","89","1.33","69.8","-35","T.J. Edwards","117","16","0.38","100","1.62","71.5"
"T.J. Hockenson","289","21","0.36","77","1.55","72.9","-13","Joe Schobert","215","11","0.19","71","0.84","65.5"
"Marcedes Lewis","81","15","0.26","83","1.32","76.5","5","Jordyn Brooks","234","16","0.35","89","1.53","51.1"
"Jack Doyle","169","13","0.23","64","0.8","69.8","-23","Damien Wilson","203","18","0.35","83","1.72","59.1"
"Dan Arnold","192","20","0.32","74","1.73","62.6","-3","Bobby Okereke","320","13","0.26","85","0.95","61.3"
"Travis Kelce","365","21","0.4","69","1.72","77.9","47","Cory Littleton","221","17","0.26","87","1.09","51.2"
"Tyler Higbee","288","16","0.28","78","1.12","63.5","7","Azeez Al-Shaair","192","20","0.38","79","1.34","60.6"
"Jared Cook","232","18","0.3","66","1.33","64.2","11","Eric Kendricks","295","11","0.22","75","0.95","70.3"
"Darren Waller","273","23","0.36","63","1.72","65.1","5","Tyrann Mathieu","281","7","0.08","68","0.38","69.2"
"Mike Gesicki","310","20","0.35","72","1.71","75.3","8","Chuck Clark","293","6","0.18","74","0.72","65.2"
"Tyler Conklin","219","19","0.33","76","1.56","66.9","-8","Drue Tranquill","122","12","0.25","93","0.87","69"
"Hunter Henry","223","17","0.4","71","1.42","70.1","12","Malcolm Smith","147","16","0.43","83","1.27","53.2"
"Adam Trautman","166","14","0.18","62","0.91","61.6","-11","Jayon Brown","83","8","0.23","86","0.84","49.7"
"Ryan Griffin","154","16","0.19","58","0.64","46.3","-25","Tremaine Edmunds","250","14","0.29","85","1.3","51.4"
"Dallas Goedert","195","18","0.41","77","2.06","87.3","6","Justin Simmons","332","9","0.14","62","0.67","66.4"
"Pat Freiermuth","160","20","0.47","84","1.53","81.2","50","Alex Anzalone","221","10","0.19","78","0.81","34.8"
"Gerald Everett","128","12","0.26","93","1.05","57.8","-3","Krys Barnes","98","18","0.37","89","1.41","45.9"
"George Kittle","152","24","0.42","69","2.16","81.4","14","Ernest Jones","83","12","0.25","90","0.66","61.1"
"Rob Gronkowski","92","24","0.63","73","2","76.2","72","Jamin Davis","146","10","0.21","87","0.84","40.9"
"Geoff Swaim","104","18","0.36","79","1.01","55","-35","Demario Davis","258","13","0.19","68","0.78","74.7"
"Ricky Seals-Jones","203","14","0.26","69","0.99","65.6","-8","Devin White","287","16","0.28","80","1.06","37.5"
