"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","pass_plays","grades_offense","yprr","opponent","def_rank","cov_rank"
"1","Ronnie Bell","MICH",5800,14.81,41,"Healthy","-7.5","58",322,76,2.45,"TCU",51,52
"2","Emeka Egbuka","OSU",7500,22.54,40,"Healthy","5.5","62",363,81.6,3.02,"UGA",20,24
"3","Brock Bowers","UGA",6300,15.65,34,"Healthy","-5.5","62",366,84.9,2.17,"OSU",7,11
"4","Marvin Harrison Jr.","OSU",8100,20.98,27,"Healthy","5.5","62",389,90.2,3.15,"UGA",20,24
"5","Quentin Johnston","TCU",6500,13.39,20,"Healthy","7.5","58",316,76.3,2.98,"MICH",4,5
"6","Luke Schoonmaker","MICH",4200,8.76,13,"Healthy","-7.5","58",211,71.8,2.05,"TCU",51,52
"7","Ladd McConkey","UGA",6000,11.93,11,"Ques Sat - Knee","-5.5","62",321,76.2,2.18,"OSU",7,11
"8","Cade Stover","OSU",5000,8.08,7,"Healthy","5.5","62",377,69.4,1.31,"UGA",20,24
"9","Cornelius Johnson","MICH",4800,7.49,7,"Healthy","-7.5","58",292,61.3,1.65,"TCU",51,52
"10","Taye Barber","TCU",5400,8.56,6,"Healthy","7.5","58",273,71.5,2.34,"MICH",4,5
"11","Julian Fleming","OSU",5500,7.43,5,"Healthy","5.5","62",252,65.4,1.92,"UGA",20,24
"12","Darnell Washington","UGA",4200,4.53,4,"Healthy","-5.5","62",270,86.4,1.79,"OSU",7,11
"13","Savion Williams","TCU",4500,5.44,3,"Healthy","7.5","58",321,60.4,1.29,"MICH",4,5
"14","Jared Wiley","TCU",3900,5.69,3,"Healthy","7.5","58",183,80.6,1.52,"MICH",4,5
"15","Dillon Bell","UGA",4000,3.47,2,"Healthy","-5.5","62",197,58.8,0.91,"OSU",7,11
"16","Jordan Hudson","TCU",3900,2.93,2,"Healthy","7.5","58",106,62.4,1.4,"MICH",4,5
"17","Gunnar Henderson","TCU",3600,1.97,2,"Healthy","7.5","58",76,68.7,3.1,"MICH",4,5
"18","Kearis Jackson","UGA",3500,3.47,2,"Healthy","-5.5","62",126,73.2,2.18,"OSU",7,11
"19","Adonai Mitchell","UGA",4300,4.24,1,"Healthy","-5.5","62",41,64.4,1.77,"OSU",7,11
"20","Roman Wilson","MICH",4200,4.19,1,"Healthy","-7.5","58",155,66.7,1.86,"TCU",51,52
"21","Jayden Ballard","OSU",4100,0.63,1,"Healthy","5.5","62",32,78.3,4.84,"UGA",20,24
"22","Xavier Johnson","OSU",4000,0.63,1,"Healthy","5.5","62",85,67.7,1.35,"UGA",20,24
"23","Colston Loveland","MICH",3800,3.22,1,"Healthy","-7.5","58",153,59.4,1.52,"TCU",51,52
"24","Kamryn Babb","OSU",3400,0.63,1,"Healthy","5.5","62",2,75,4,"UGA",20,24
"25","Dominick Blaylock","UGA",3400,1.36,1,"Healthy","-5.5","62",79,67.9,2.8,"OSU",7,11
"26","Arian Smith","UGA",3300,1.13,1,"Healthy","-5.5","62",32,61.4,2.2,"OSU",7,11
"27","A.J. Henning","MICH",3300,1.29,1,"Healthy","-7.5","58",58,61.7,1.09,"TCU",51,52
"28","Gee Scott Jr.","OSU",3200,0.64,1,"Healthy","5.5","62",53,49.1,0.64,"UGA",20,24
"29","Oscar Delp","UGA",3200,0.6,1,"Healthy","-5.5","62",62,60.6,1.22,"OSU",7,11
"30","Blake Nowell","TCU",3200,NA,1,"Healthy","7.5","58",54,64.6,1.62,"MICH",4,5
"31","Blair Conwright","TCU",3100,1.02,1,"Healthy","7.5","58",113,52.5,0.46,"MICH",4,5
"32","Quincy Brown","TCU",3100,NA,1,"Out indefinitely - Undisclosed","7.5","58",18,75.4,1.82,"MICH",4,5
"33","Mitch Rossi","OSU",3000,0.64,1,"Healthy","5.5","62",83,75,0.38,"UGA",20,24
"34","Joe Royer","OSU",3000,0.64,1,"Healthy","5.5","62",1,57.7,1,"UGA",20,24
"35","Jackson Meeks","UGA",3000,NA,1,"Healthy","-5.5","62",41,67,1.67,"OSU",7,11
"36","Kyion Grayes","OSU",3000,0.63,1,"Healthy","5.5","62",4,58.4,0.5,"UGA",20,24
"37","De'Nylon Morrissette","UGA",3000,NA,1,"Healthy","-5.5","62",39,61.6,0.92,"OSU",7,11
"38","Cole Speer","UGA",3000,0.6,1,"Healthy","-5.5","62",2,76.1,6,"OSU",7,11
"39","Kaleb Brown","OSU",3000,0.63,1,"Healthy","5.5","62",5,53.3,1,"UGA",20,24
"40","Joel Honigford","MICH",3000,0.52,1,"Healthy","-7.5","58",NA,NA,NA,"TCU",51,52
"41","Geor'Quarius Spivey","TCU",3000,1.55,1,"Healthy","7.5","58",129,59.8,1.03,"MICH",4,5
"42","Dominic DiNunzio","TCU",3000,NA,1,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"43","Chase Jackson","TCU",3000,NA,1,"Healthy","7.5","58",5,58.9,1.4,"MICH",4,5
"44","Andrel Anthony","MICH",3000,2.17,1,"Healthy","-7.5","58",113,55.9,0.73,"TCU",51,52
"45","Max Bredeson","MICH",3000,0.97,1,"Healthy","-7.5","58",62,60.3,1.37,"TCU",51,52
"46","Darrius Clemons","MICH",3000,0.52,1,"Healthy","-7.5","58",26,51.2,0.27,"TCU",51,52
"47","Amorion Walker","MICH",3000,0.52,1,"Healthy","-7.5","58",17,48.9,0.24,"TCU",51,52
"48","Tyler Morris","MICH",3000,0.52,1,"Healthy","-7.5","58",15,64.2,1.67,"TCU",51,52
"49","Derius Davis","TCU",5600,9,0,"Healthy","7.5","58",242,63.5,1.82,"MICH",4,5
"50","Marcus Rosemy-Jacksaint","UGA",4100,6.61,0,"Healthy","-5.5","62",251,67.3,1.26,"OSU",7,11
"51","Arik Gilbert","UGA",3300,NA,0,"Ques Sat - Undisclosed","-5.5","62",20,61.1,0.89,"OSU",7,11
"52","Ryland Goede","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"53","Brett Seither","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"54","Drew Sheehan","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"55","Nathan Priestley","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"56","Jaxon Smith-Njigba","OSU",3000,NA,0,"out for season - Hamstring","5.5","62",40,55.1,0.98,"UGA",20,24
"57","Cade Brock","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"58","Braxton Hicks","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"59","Davis Day","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"60","George Vining","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"61","Patrick Gurd","OSU",3000,NA,0,"Healthy","5.5","62",NA,NA,NA,"UGA",20,24
"62","Sam Hart","OSU",3000,NA,0,"Healthy","5.5","62",NA,NA,NA,"UGA",20,24
"63","Zak Herbstreit","OSU",3000,NA,0,"Healthy","5.5","62",NA,NA,NA,"UGA",20,24
"64","Reis Stocksdale","OSU",3000,NA,0,"Healthy","5.5","62",9,62,1.33,"UGA",20,24
"65","Logan Johnson","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"66","Mekhi Mews","UGA",3000,NA,0,"Healthy","-5.5","62",3,60.3,3,"OSU",7,11
"67","Joop Mitchell","OSU",3000,NA,0,"Healthy","5.5","62",NA,NA,NA,"UGA",20,24
"68","Caleb Burton","OSU",3000,NA,0,"Healthy","5.5","62",NA,NA,NA,"UGA",20,24
"69","Bennett Christian","OSU",3000,NA,0,"Healthy","5.5","62",NA,NA,NA,"UGA",20,24
"70","Samuel Johnson","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"71","Collin Lark","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"72","C.J. Smith","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"73","Corban Cleveland","OSU",3000,NA,0,"Healthy","5.5","62",NA,NA,NA,"UGA",20,24
"74","Randon Jernigan","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"75","Luke Bennett","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"76","Grant Briscoe","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"77","Brooks Bortle","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"78","Parker Jones","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"79","Miles Thornton","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"80","Cooper Johnson","UGA",3000,NA,0,"Healthy","-5.5","62",NA,NA,NA,"OSU",7,11
"81","Kojo Antwi","OSU",3000,NA,0,"Healthy","5.5","62",NA,NA,NA,"UGA",20,24
"82","Kai Saunders","OSU",3000,NA,0,"Healthy","5.5","62",NA,NA,NA,"UGA",20,24
"83","Riordin Stauffer","OSU",3000,NA,0,"Healthy","5.5","62",NA,NA,NA,"UGA",20,24
"84","Blaize Exline","OSU",3000,NA,0,"Healthy","5.5","62",NA,NA,NA,"UGA",20,24
"85","David Adolph","OSU",3000,NA,0,"Healthy","5.5","62",NA,NA,NA,"UGA",20,24
"86","Carter Ware","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"87","Carter Selzer","MICH",3000,NA,0,"Healthy","-7.5","58",NA,NA,NA,"TCU",51,52
"88","Zach Peterson","MICH",3000,NA,0,"Healthy","-7.5","58",NA,NA,NA,"TCU",51,52
"89","Curtis Raymond III","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"90","Erick All","MICH",3000,NA,0,"Healthy","-7.5","58",39,62.3,1,"TCU",51,52
"91","Brent Matiscik","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"92","Mathew Harrison","MICH",3000,NA,0,"Healthy","-7.5","58",NA,NA,NA,"TCU",51,52
"93","Hunter Neff","MICH",3000,NA,0,"Healthy","-7.5","58",1,81,8,"TCU",51,52
"94","Christian MacDonald","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"95","Caleb Medford","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"96","Ben Reppenhagen","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"97","Josh Beetham","MICH",3000,NA,0,"Healthy","-7.5","58",NA,NA,NA,"TCU",51,52
