Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3520827531,Mrdeenc (2/2),0,257.28,QB Austin Reed S-FLEX Todd Centeio RB Kenny McIntosh RB Larry McCammon III WR Charlie Jones FLEX Dalton Kincaid WR Jaylen Hall WR Antwane Wells Jr.,,Kris Thornton,WR,39.53%,15.3
2,3521010455,mfoleyy2,0,253.78,S-FLEX Austin Reed QB Todd Centeio RB Chris Rodriguez Jr. RB Larry McCammon III WR Marvin Harrison Jr. FLEX Malachi Corley WR Jaylen Hall WR Devin Ravenel,,Todd Centeio,QB,39.30%,35.98
3,3520617782,gutp (12/20),0,250.07999,QB Austin Reed S-FLEX Todd Centeio RB Will Shipley FLEX Nicholas Singleton RB Larry McCammon III WR Malachi Corley WR Dalton Kincaid WR Jaylen Hall,,Austin Reed,QB,39.16%,40.2
3,3520853814,LionKing1957 (2/5),0,250.07999,S-FLEX Austin Reed QB Todd Centeio FLEX Will Shipley RB Nicholas Singleton RB Larry McCammon III WR Malachi Corley WR Dalton Kincaid WR Jaylen Hall,,Mohamed Ibrahim,RB,37.59%,7
5,3520948806,wbergland (3/10),0,246.78001,QB Austin Reed S-FLEX Todd Centeio RB Devin Mockobee RB Larry McCammon III WR Malachi Corley FLEX Dalton Kincaid WR Kris Thornton WR Jaylen Hall,,Damien Martinez,FLEX,25.94%,13.3
6,3520631465,caicos81,0,244.68,QB Austin Reed S-FLEX Todd Centeio RB Will Shipley RB Chris Rodriguez Jr. FLEX Larry McCammon III WR Malachi Corley WR Kris Thornton WR Antwane Wells Jr.,,Malachi Corley,WR,25.10%,38.1
7,3520884782,Comikaze96,0,244.48001,QB Austin Reed S-FLEX Todd Centeio RB Chris Rodriguez Jr. RB Damien Martinez FLEX Larry McCammon III WR Charlie Jones WR Malachi Corley WR Antwane Wells Jr.,,Charlie Jones,WR,24.91%,27.3
8,3515832025,nickfromcwe (19/20),0,244.08,S-FLEX Austin Reed QB Todd Centeio RB Will Shipley RB Bucky Irving WR Malachi Corley FLEX Dalton Kincaid WR Antwane Wells Jr. WR Devin Ravenel,,Chris Rodriguez Jr.,FLEX,22.77%,15
9,3520640671,Ronald90 (15/20),0,243.48,QB Austin Reed S-FLEX Todd Centeio RB Will Shipley FLEX Nicholas Singleton RB Larry McCammon III WR Malachi Corley WR Ja'Corey Brooks WR Jaylen Hall,,Will Shipley,RB,20.78%,25.5
10,3520231817,Sville32,0,243.28,QB Austin Reed S-FLEX Todd Centeio RB Will Shipley RB Kaytron Allen FLEX Larry McCammon III WR Malachi Corley WR Kris Thornton WR Antwane Wells Jr.,,Jaylen Hall,WR,19.09%,28.8
11,3520541342,itlldofarm (20/20),0,241.58002,S-FLEX Austin Reed QB Todd Centeio RB Jase McClellan RB Larry McCammon III FLEX Charlie Jones WR Malachi Corley WR Kris Thornton WR Jaylen Hall,,Dalton Kincaid,WR,18.33%,24.2
12,3521008611,jules999 (2/6),0,240.9,QB Austin Reed S-FLEX Aidan O'Connell RB Nicholas Singleton RB Larry McCammon III WR Charlie Jones WR Malachi Corley FLEX Jaylen Hall WR Devin Ravenel,,Daewood Davis,WR,15.94%,0
13,3520597983,austinrholcomb,0,239.18,S-FLEX Austin Reed QB Todd Centeio RB Donovan Edwards RB Kaelon Black FLEX Marvin Harrison Jr. WR Malachi Corley WR Kris Thornton WR Antwane Wells Jr.,,Nicholas Singleton,S-FLEX,15.14%,19.8
14,3520366382,Nmbeachbill (1/3),0,237.6,QB Austin Reed S-FLEX Spencer Rattler FLEX Will Shipley RB Chris Rodriguez Jr. RB Larry McCammon III WR Malachi Corley WR Kris Thornton WR Antwane Wells Jr.,,Larry McCammon III,S-FLEX,14.75%,37.5
15,3520948810,wbergland (7/10),0,236.98,QB Austin Reed S-FLEX Todd Centeio RB Micah Bernard RB Larry McCammon III WR Malachi Corley FLEX Dalton Kincaid WR Kris Thornton WR Jaylen Hall,,Micah Bernard,RB,14.75%,16.9
16,3521102240,bsubie.bs,0,235.98001,S-FLEX Austin Reed QB Todd Centeio RB Will Shipley RB Larry McCammon III WR Charlie Jones FLEX Kris Thornton WR Chimere Dike WR Antwane Wells Jr.,,Antwane Wells Jr.,WR,14.71%,37.1
17,3520640662,Ronald90 (6/20),0,235.08,QB Austin Reed S-FLEX Todd Centeio RB Damien Martinez RB Larry McCammon III FLEX Charlie Jones WR Malachi Corley WR Payne Durham WR Jaylen Hall,,Percy Agyei-Obese,RB,14.35%,7.9
17,3521050848,bowens1984 (3/5),0,235.08,QB Austin Reed S-FLEX Todd Centeio RB Chris Rodriguez Jr. RB Larry McCammon III WR Malachi Corley FLEX Dalton Kincaid WR Kris Thornton WR Jaylen Hall,,Aidan O'Connell,S-FLEX,13.40%,19
19,3515597395,Michael_Dallas,0,234.98001,S-FLEX Austin Reed QB Todd Centeio RB Will Shipley RB Kaytron Allen FLEX Larry McCammon III WR Malachi Corley WR Kris Thornton WR Jaylen Hall,,Kaytron Allen,RB,13.33%,13.6
20,3521070535,adammoffitt (20/20),0,234.78,QB Austin Reed S-FLEX Todd Centeio RB Will Shipley RB Larry McCammon III WR Malachi Corley WR Kris Thornton FLEX Brock Bowers WR Jaylen Hall,,Marvin Harrison Jr.,WR,10.74%,28
21,3521001712,tkzman2002 (6/10),0,234.16,S-FLEX Bo Nix QB Todd Centeio RB Chris Rodriguez Jr. RB Larry McCammon III WR Malachi Corley WR Kris Thornton WR Antwane Wells Jr. FLEX Chase Cota,,Xavier Hutchinson,WR,10.71%,3.1
22,3520723983,LTDOG24 (2/3),0,233.18,S-FLEX Austin Reed QB Todd Centeio RB Percy Agyei-Obese RB Larry McCammon III FLEX Marvin Harrison Jr. WR Malachi Corley WR Kris Thornton WR Devin Ravenel,,Jaheim Bell,WR,10.42%,11.1
23,3520436733,Aahmadi1,0,232.82,QB Bryce Young RB Chris Rodriguez Jr. RB Larry McCammon III FLEX Jarquez Hunter WR Charlie Jones WR Malachi Corley S-FLEX Antwane Wells Jr. WR Jahmal Edrine,,Bucky Irving,S-FLEX,10.39%,12.8
24,3520753456,deez516 (1/20),0,232.78001,S-FLEX Austin Reed QB Todd Centeio RB Will Shipley FLEX Damien Martinez RB Larry McCammon III WR Charlie Jones WR Dalton Kincaid WR Jaylen Hall,,Kenny McIntosh,FLEX,9.92%,26.2
25,3520664558,Hater98,0,232.48001,QB Austin Reed S-FLEX Todd Centeio RB Will Shipley FLEX Kaytron Allen RB Larry McCammon III WR Charlie Jones WR Kris Thornton WR Antwane Wells Jr.,,Sam James,WR,9.51%,3.9
26,3520910423,roonish87,0,232.38,QB Austin Reed S-FLEX Todd Centeio RB Will Shipley RB Larry McCammon III WR Malachi Corley WR Jared Brown FLEX Kris Thornton WR Antwane Wells Jr.,,Bo Nix,S-FLEX,9.10%,23.58
27,3520765922,WaveyJones18 (8/20),0,231.88002,QB Austin Reed S-FLEX Todd Centeio RB Kenny McIntosh RB Larry McCammon III WR Malachi Corley FLEX Kris Thornton WR LaJohntay Wester WR Jaylen Hall,,Garrett Greene,QB,8.91%,11.62
