"type","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"GameSpread","IND@BUF","","IND","BUF","2021-11-21T18:00:00Z","-7","away","-110","0.001047619047618964","27","52","home","-110","-0.04595238095238102","73","48"
"GameMoneyLine","IND@BUF","","IND","BUF","2021-11-21T18:00:00Z","","away","255","-0.005845070422535181","53","63","home","-320","-0.03761904761904755","47","37"
"GameTotal","IND@BUF","","IND","BUF","2021-11-21T18:00:00Z","49.5","over","-110","-0.05780952380952381","9","39","under","-110","0.010190476190476194","91","61"
"recv_yd","D. Knox","TE","BUF","IND","2021-11-21T18:00:00Z","33.5","over","-118","-0.11642837033630238","undefined","undefined","under","-112","0.0468942589684509","undefined","undefined"
"recv_yd","E. Sanders","WR","BUF","IND","2021-11-21T18:00:00Z","49.5","over","-116","-0.10295556634897823","undefined","undefined","under","-114","0.033270428029863575","undefined","undefined"
"pass_att","J. Allen","QB","BUF","IND","2021-11-21T18:00:00Z","37.5","over","-109","-0.0540703759424897","undefined","undefined","under","-122","-0.016974739350440693","undefined","undefined"
"pass_comp","J. Allen","QB","BUF","IND","2021-11-21T18:00:00Z","24.5","over","-129","-0.08811877729257633","undefined","undefined","under","-104","0.014996078431372628","undefined","undefined"
"pass_int","J. Allen","QB","BUF","IND","2021-11-21T18:00:00Z","0.5","over","-107","-0.07460821256038641","undefined","undefined","under","-124","0.00412857142857137","undefined","undefined"
"pass_td","J. Allen","QB","BUF","IND","2021-11-21T18:00:00Z","1.5","over","-206","-0.18510261437908498","undefined","undefined","under","158","0.12430310077519385","undefined","undefined"
"pass_yd","J. Allen","QB","BUF","IND","2021-11-21T18:00:00Z","289.5","over","-115","-0.08462505130704057","undefined","undefined","under","-115","0.014813088093078686","undefined","undefined"
"rush_att","J. Allen","QB","BUF","IND","2021-11-21T18:00:00Z","6.5","over","-110","-0.11596664669457085","undefined","undefined","under","-120","0.04668179530469052","undefined","undefined"
"rush_yd","J. Allen","QB","BUF","IND","2021-11-21T18:00:00Z","33.5","over","-118","-0.06870632395405779","undefined","undefined","under","-113","-0.003075921227696621","undefined","undefined"
"recv_yd","S. Diggs","WR","BUF","IND","2021-11-21T18:00:00Z","82.5","over","-116","-0.032891446942908464","undefined","undefined","under","-115","-0.0390369114228139","undefined","undefined"
"recv_yd","Z. Moss","RB","BUF","IND","2021-11-21T18:00:00Z","13.5","over","-114","-0.008536295332197463","undefined","undefined","under","-117","-0.06329434274066537","undefined","undefined"
"rush_recv_yd","Z. Moss","RB","BUF","IND","2021-11-21T18:00:00Z","47.5","over","-115","0.020832161553986706","undefined","undefined","under","-112","-0.0840335118028302","undefined","undefined"
"rush_yd","Z. Moss","RB","BUF","IND","2021-11-21T18:00:00Z","30.5","over","-114","-0.06886974086818765","undefined","undefined","under","-116","-0.0008253419671903073","undefined","undefined"
"pass_att","C. Wentz","QB","IND","BUF","2021-11-21T18:00:00Z","34.5","over","-112","-0.04590242254477711","undefined","undefined","under","-118","-0.02368393848503958","undefined","undefined"
"pass_comp","C. Wentz","QB","IND","BUF","2021-11-21T18:00:00Z","20.5","over","-132","-0.0748224137931035","undefined","undefined","under","100","0.005850000000000022","undefined","undefined"
"pass_int","C. Wentz","QB","IND","BUF","2021-11-21T18:00:00Z","0.5","over","-137","-0.14725907172995784","undefined","undefined","under","103","0.07658916256157644","undefined","undefined"
"pass_td","C. Wentz","QB","IND","BUF","2021-11-21T18:00:00Z","1.5","over","141","-0.010979253112033238","undefined","undefined","under","-185","-0.05308771929824552","undefined","undefined"
"pass_yd","C. Wentz","QB","IND","BUF","2021-11-21T18:00:00Z","222.5","over","-114","-0.04132974824766367","undefined","undefined","under","-116","-0.028414913785185125","undefined","undefined"
