Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/25/2022,07/26/2022,WHOLEFDS SLW#10587,Groceries,Sale,-12.89,
07/25/2022,07/26/2022,AMZN Mktp US*L98YT6HU3,Shopping,Sale,-17.05,
07/15/2022,07/17/2022,Amazon.com*1Y63E9KH3,Shopping,Sale,-63.96,
07/13/2022,07/14/2022,WINE OUTLET WALL TOWNSHI,Food & Drink,Sale,-11.72,
07/11/2022,07/12/2022,WHOLEFDS SLW#10587,Groceries,Sale,-21.95,
07/09/2022,07/10/2022,AMZN Mktp US*C775T1WC3,Shopping,Sale,-42.60,
07/06/2022,07/06/2022,AUTOMATIC PAYMENT - THANK,,Payment,146.53,
06/19/2022,06/20/2022,WHOLEFDS SLW#10587,Groceries,Sale,-39.81,
06/13/2022,06/14/2022,WHOLEFDS SLW#10587,Groceries,Sale,-51.03,
06/12/2022,06/13/2022,AMZN Mktp US*4N3V87Q93,Shopping,Sale,-24.95,
06/06/2022,06/07/2022,AMZN Mktp US*Y57OQ6JO3,Shopping,Sale,-23.96,
06/06/2022,06/06/2022,AUTOMATIC PAYMENT - THANK,,Payment,297.52,
05/26/2022,05/27/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-53.85,
05/17/2022,05/18/2022,AMZN Mktp US*1L2WF1BR2,Shopping,Sale,-38.35,
05/10/2022,05/11/2022,AMZN Mktp US*136Y44QU0,Shopping,Sale,-30.37,
05/06/2022,05/06/2022,AUTOMATIC PAYMENT - THANK,,Payment,609.87,
04/25/2022,04/25/2022,AMZN Mktp US*1O1PT45J2,Shopping,Sale,-11.29,
04/25/2022,04/25/2022,Amazon.com*1O8R85B60,Shopping,Sale,-53.30,
04/25/2022,04/25/2022,Amazon.com*1O1XU2BD0,Shopping,Sale,-31.98,
04/25/2022,04/25/2022,AMZN Mktp US*1O9VW7HL2,Shopping,Sale,-31.96,
04/21/2022,04/22/2022,AMZN Mktp US*1Q9O74NB1,Shopping,Sale,-38.13,
04/15/2022,04/17/2022,AMZN Mktp US*1O70J9TD1,Shopping,Sale,-47.81,
04/15/2022,04/17/2022,AMZN Mktp US*1A6IX3EG2,Shopping,Sale,-17.05,
04/10/2022,04/11/2022,AMZ*melin,Shopping,Sale,-66.00,
04/04/2022,04/05/2022,AMZN Mktp US*1H68H1SC1,Shopping,Sale,-26.60,
04/04/2022,04/05/2022,AMZN Mktp US*1H5PJ4DK1,Shopping,Sale,-7.45,
04/04/2022,04/05/2022,AMZN Mktp US*1H8I71D31,Shopping,Sale,-13.85,
04/02/2022,04/03/2022,AMZN Mktp US*1662L4QL2,Shopping,Sale,-19.14,
04/03/2022,04/03/2022,Amazon.com*164YF7DQ2,Shopping,Sale,-53.30,
03/30/2022,03/31/2022,AMZN Mktp US*1H3P33FA1,Shopping,Sale,-19.18,
03/28/2022,03/28/2022,AMZN Mktp US*165LW0K41,Shopping,Sale,-71.88,
03/25/2022,03/27/2022,AMZN Mktp US*1N1FA3W40,Shopping,Sale,-31.27,
03/25/2022,03/25/2022,AMZN Mktp US*165GL11X1,Shopping,Sale,-36.89,
03/22/2022,03/23/2022,AMZN Mktp US*1N7SZ0HS0,Shopping,Sale,-161.25,
03/22/2022,03/23/2022,Amazon.com*166546FN1,Shopping,Sale,-7.41,
03/22/2022,03/22/2022,AMZN Mktp US*1N6ZD8AT2,Shopping,Sale,-139.60,
03/10/2022,03/11/2022,WHOLEFDS SLW#10587,Groceries,Sale,-22.05,
02/06/2022,02/06/2022,AUTOMATIC PAYMENT - THANK,,Payment,528.37,
01/06/2022,01/06/2022,AUTOMATIC PAYMENT - THANK,,Payment,714.57,
12/27/2021,12/28/2021,Amazon.com*2E66B40J3,Shopping,Sale,-158.87,
12/27/2021,12/27/2021,Amazon.com*US1RA65P3,Shopping,Sale,-39.99,
12/25/2021,12/26/2021,Amazon.com,Shopping,Return,39.99,
12/21/2021,12/22/2021,Amazon.com*4H7Y13US3,Shopping,Sale,-39.99,
12/20/2021,12/20/2021,AMZN Mktp US*YF56Z3M13,Shopping,Sale,-7.45,
12/15/2021,12/16/2021,AMZN Mktp US*VW7LB4B93,Shopping,Sale,-40.24,
12/14/2021,12/15/2021,AMZN Mktp US*QD3OU12B3,Shopping,Sale,-37.99,
12/10/2021,12/12/2021,Amazon.com*3K5RL5T43,Shopping,Sale,-76.96,
12/09/2021,12/10/2021,Amazon Prime*BB7Q795E3,Bills & Utilities,Sale,-126.88,
12/08/2021,12/09/2021,AMZN Mktp US*W77X70TA3,Shopping,Sale,-6.39,
12/06/2021,12/06/2021,AUTOMATIC PAYMENT - THANK,,Payment,72.97,
12/03/2021,12/05/2021,Amazon.com*ZQ5OB5IM3,Shopping,Sale,-22.70,
11/30/2021,12/01/2021,Amazon.com*3P6XJ6233,Shopping,Sale,-106.56,
11/29/2021,11/30/2021,Amazon.com*2F8641JB0,Shopping,Sale,-158.87,
11/27/2021,11/28/2021,Amazon.com*BI8QC4O13,Shopping,Sale,-242.03,
11/27/2021,11/28/2021,Amazon.com*OQ9R96BX3,Shopping,Sale,-26.65,
11/26/2021,11/28/2021,Amazon.com*S472H13U3,Shopping,Sale,-42.60,
11/25/2021,11/26/2021,AMZN Mktp US*IG0HU7BU3,Shopping,Sale,-10.65,
11/25/2021,11/26/2021,AMZN Mktp US*T98Y300Q3,Shopping,Sale,-14.92,
11/24/2021,11/25/2021,Amazon.com*1B21019C3,Shopping,Sale,-15.96,
11/23/2021,11/24/2021,Amazon.com*3V76N96R3,Shopping,Sale,-9.05,
11/21/2021,11/23/2021,WICKED WOLF TAVERN,Food & Drink,Sale,-39.00,
11/21/2021,11/23/2021,WICKED WOLF TAVERN,Food & Drink,Sale,-14.00,
11/21/2021,11/22/2021,Amazon.com*418LG6EK3,Shopping,Sale,-7.45,
11/19/2021,11/19/2021,AMZN Mktp US*1F7OL6NT3,Shopping,Sale,-10.65,
11/18/2021,11/19/2021,Amazon.com*3G3P64VX3,Shopping,Sale,-15.98,
11/18/2021,11/18/2021,Amazon.com*NN09Z9TG3,Shopping,Sale,-11.10,
11/07/2021,11/08/2021,AMZN Mktp US*I09HG91C3,Shopping,Sale,-19.18,
11/05/2021,11/07/2021,Amazon.com,Shopping,Return,3.68,
11/05/2021,11/05/2021,AUTOMATIC PAYMENT - THANK,,Payment,61.17,
11/03/2021,11/04/2021,Amazon.com*KT33Q2C03,Shopping,Sale,-3.68,
