Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/03/2022,12/04/2022,DUNKIN #345305,Food & Drink,Sale,-4.73,
12/03/2022,12/04/2022,NYC TAXI 1246 12460010,Travel,Sale,-11.75,
12/03/2022,12/04/2022,SQ *58TH &amp; 7TH PARKING,Travel,Sale,-80.00,
12/02/2022,12/04/2022,THE WHISKEY TRADER,Food & Drink,Sale,-33.34,
12/03/2022,12/04/2022,TRADER JOE'S #611 QPS,Groceries,Sale,-43.20,
11/30/2022,12/01/2022,NJ EZPASS,Travel,Sale,-70.00,
11/30/2022,12/01/2022,GOOGLE *YouTubePremium,Shopping,Sale,-12.78,
11/30/2022,12/01/2022,ABC*JERSEY STRONG,Health & Wellness,Sale,-74.63,
11/29/2022,12/01/2022,EXXONMOBIL    47973045,Gas,Sale,-44.08,
11/30/2022,11/30/2022,Offer:Dr. Squatch,Fees & Adjustments,Adjustment,2.24,
11/27/2022,11/29/2022,THE COAL HOUSE,Food & Drink,Sale,-21.91,
11/25/2022,11/28/2022,LEGGETTS,Food & Drink,Sale,-93.23,
11/27/2022,11/28/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-68.46,
11/25/2022,11/27/2022,DR. SQUATCH  INC.,Shopping,Sale,-22.39,
11/24/2022,11/25/2022,WINE OUTLET WALL TOWNSHI,Food & Drink,Sale,-21.83,
11/19/2022,11/22/2022,ABM MIDTOWN GARAGE 9042,Travel,Sale,-3.00,
11/21/2022,11/22/2022,TRADER JOE'S #608 QPS,Groceries,Sale,-41.43,
11/21/2022,11/22/2022,BJS WHOLESALE #0027,Shopping,Sale,-29.07,
11/22/2022,11/22/2022,LYFT   *1 RIDE 11-20,Travel,Sale,-85.88,
11/20/2022,11/21/2022,UBER   EATS,Food & Drink,Sale,-24.21,
11/18/2022,11/21/2022,THE VENDUE (ROOFTOP),Food & Drink,Sale,-24.53,
11/20/2022,11/21/2022,CHARLESTON AIRPORT,Food & Drink,Sale,-30.59,
11/20/2022,11/21/2022,MCDONALD'S F1478,Food & Drink,Sale,-17.90,
11/20/2022,11/21/2022,TST* BABAS ON CANNON,Food & Drink,Sale,-14.65,
11/20/2022,11/21/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-79.14,
11/20/2022,11/21/2022,CIRCLE K # 20845,Gas,Sale,-37.91,
11/20/2022,11/20/2022,AUTOMATIC PAYMENT - THANK,,Payment,2449.99,
11/18/2022,11/20/2022,HERTZ 5500,Travel,Sale,-163.77,
11/19/2022,11/20/2022,UBER   TRIP,Travel,Sale,-16.08,
11/19/2022,11/20/2022,City of Columbia  SC,Travel,Sale,-1.28,
