player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Alex Palczewski,59738,T,ILLINOIS,3,100.0,0,187,84.0,83.8,78.6,0,3,115,100.0,100.0,98.7,0,3,0,241,0,0,0,241,119,119,0,239,122,2
Alex Pihlstrom,60911,C,ILLINOIS,3,100.0,0,187,63.6,60.3,64.0,0,3,115,100.0,100.0,97.8,2,4,1,241,241,0,0,241,119,119,0,0,122,0
Isaiah Adams,158192,G,ILLINOIS,3,100.0,0,187,71.2,74.4,70.6,1,1,115,100.0,100.0,98.3,2,3,1,241,0,122,119,241,119,119,0,0,122,0
Eliki Tanuvasa,79663,C,HAWAII,3,100.0,0,180,57.1,67.8,53.9,0,7,145,100.0,100.0,97.6,1,7,0,237,237,0,0,237,148,148,0,0,89,0
Austin Hopp,65055,T,HAWAII,3,99.6,1,180,50.9,49.5,53.5,1,9,144,99.3,99.3,95.8,1,11,1,236,0,0,0,237,147,148,0,233,89,4
Micah Vanterpool,52075,G,HAWAII,3,100.0,0,180,68.8,70.5,67.8,1,2,143,100.0,100.0,99.0,0,3,0,235,0,2,0,235,146,146,233,0,89,0
Ilm Manning,75852,T,HAWAII,3,100.0,0,180,58.5,71.1,56.8,0,2,142,100.0,100.0,97.9,4,4,2,233,0,0,232,233,145,145,0,1,88,0
Trey Hamilton,81757,T,NEVADA,3,100.0,0,239,63.1,60.1,61.7,1,2,101,100.0,100.0,95.5,0,6,3,232,0,0,0,232,108,108,0,232,124,0
Grant Starck,128245,T,NEVADA,3,100.0,2,239,72.0,64.1,74.1,0,5,101,100.0,100.0,97.5,2,5,0,232,0,99,133,232,108,108,0,0,124,0
Bryce Petersen,77557,C,NEVADA,3,100.0,0,239,55.1,53.2,55.4,1,4,99,100.0,100.0,97.5,1,5,0,230,230,0,0,230,106,106,0,0,124,0
Gabe Blair,145323,G,N TEXAS,3,100.0,0,251,67.4,74.6,65.1,0,0,89,100.0,100.0,100.0,1,0,0,223,0,220,0,223,95,95,3,0,128,0
Turner Corcoran,129684,G,NEBRASKA,3,100.0,0,238,63.5,60.3,64.8,0,6,108,100.0,100.0,97.2,1,6,0,222,0,222,0,222,113,113,0,0,109,0
Trent Hixson,59905,C,NEBRASKA,3,100.0,0,238,65.8,74.1,61.4,0,1,108,100.0,100.0,99.5,0,1,0,222,222,0,0,222,113,113,0,0,109,0
Bryce Benhart,98531,T,NEBRASKA,3,100.0,0,238,64.1,62.1,64.9,0,3,108,100.0,100.0,97.7,2,4,1,222,0,0,4,222,113,113,0,205,109,13
Alfred Edwards III,60190,T,UTAH ST,3,100.0,0,329,65.6,90.5,56.2,0,1,101,100.0,100.0,99.5,1,1,0,221,0,0,221,221,108,108,0,0,113,0
Asim Richards,99674,T,N CAROLINA,3,100.0,0,245,65.3,88.8,57.7,0,0,115,100.0,100.0,100.0,2,0,0,216,0,0,216,216,122,122,0,0,94,0
Ed Montilus,77353,G,N CAROLINA,3,100.0,0,245,51.6,41.9,57.9,1,8,115,100.0,100.0,96.1,4,9,0,216,0,216,0,216,122,122,0,0,94,0
Elijah Klein,81912,G,UTEP,3,100.0,0,330,63.9,65.5,67.7,1,4,134,100.0,100.0,98.1,2,5,0,215,0,0,0,215,142,142,215,0,73,0
Manase Mose,59950,C,N TEXAS,3,100.0,0,251,66.1,41.9,75.6,1,0,89,100.0,100.0,99.4,4,1,0,213,213,0,0,213,95,95,0,0,118,0
Jeremiah Byers,100806,T,UTEP,3,100.0,0,330,74.2,77.1,75.3,0,2,132,100.0,100.0,98.5,2,3,1,212,0,0,0,212,140,140,0,212,72,0
Teddy Prochazka,145004,T,NEBRASKA,3,100.0,0,238,51.2,42.2,54.0,1,11,102,100.0,100.0,92.2,0,14,2,212,0,0,188,212,107,107,0,8,105,16
Justin Mayers,100808,G,UTEP,3,100.0,0,330,64.9,72.5,61.1,1,1,132,100.0,100.0,99.2,0,2,0,212,0,212,0,212,140,140,0,0,72,0
Corey Gaynor,59844,C,N CAROLINA,3,100.0,0,245,61.0,76.1,59.2,0,0,114,100.0,100.0,100.0,2,0,0,212,212,0,0,212,121,121,0,0,91,0
Brendan Bordner,56812,T,FAU,3,100.0,0,165,62.1,87.9,53.8,0,2,104,100.0,100.0,99.0,2,2,0,212,0,0,206,212,111,111,0,0,101,6
Zy Crisler,158202,G,ILLINOIS,3,100.0,0,187,57.6,74.2,52.7,0,2,98,100.0,100.0,99.0,0,2,0,210,0,0,0,210,102,102,210,0,108,0
Chaz Neal,77325,T,FAU,3,100.0,0,165,56.4,60.5,55.4,1,4,104,100.0,100.0,97.6,1,5,0,207,0,0,0,207,110,110,0,207,97,0
Nick Weber,59684,C,FAU,3,100.0,0,165,61.3,83.6,53.8,0,2,104,100.0,100.0,99.0,0,2,0,207,207,0,0,207,110,110,0,0,97,0
Jett Duncan,121886,T,N TEXAS,3,100.0,0,251,59.9,53.6,59.8,1,3,84,100.0,100.0,97.6,0,4,0,203,0,0,0,203,90,90,12,191,113,0
