player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
John Porchivina,28202,LB,OLE MISS,1,0,0,,0,0,226,60.3,47.4,67.2,,60.0,,0,0,0,,,0,0,0,0.0,0,0,3,0,2,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,
Colby Reeder,30285,LB,IOWA STATE,2,1,1,80.0,0,0,193,73.7,81.2,79.1,71.8,80.1,74.4,4,1,1,9,9.1,1,1,0,50.4,4,0,51,1,38,96,16,0,0,16,0,0,80,24,34,28,6,9,5,5,0,28,14,7.0
Kyle Pugh,35900,LB,N ILLINOIS,2,5,0,0.0,0,0,254,66.7,63.7,74.4,47.0,62.5,75.9,0,1,0,,7.7,1,0,0,39.6,0,0,61,0,29,63,1,0,0,1,0,0,62,1,33,1,3,7,1,1,0,0,0,
Jordan Carmouche,39951,LB,ARK STATE,2,0,0,100.0,0,0,113,62.9,55.8,0.0,65.3,50.5,27.2,1,4,0,51,40.0,2,0,1,158.3,1,0,90,0,48,95,2,0,0,2,0,0,93,6,41,3,3,3,1,5,1,51,34,51.0
Monte McGary,42477,CB,KANSAS,1,1,0,,0,0,198,65.9,66.5,73.2,,60.7,73.5,0,0,0,,0.0,0,0,0,0.0,0,0,0,18,8,18,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,
Bricen Garner,42520,S,W MICHIGAN,2,1,0,0.0,0,0,347,71.8,66.1,77.9,,52.6,38.8,0,0,0,,30.8,4,0,0,39.6,0,0,23,1,46,83,0,0,0,0,0,52,83,0,37,7,2,8,1,0,0,0,0,
Brandon Moore,42620,S,NEBRASKA,1,0,0,,0,0,238,,60.8,70.4,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,1,0,3,2,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,
Clifford Chattman,42657,S,UTSA,2,2,0,66.7,0,0,331,59.3,67.1,80.0,,77.6,85.8,0,0,0,42,0.0,0,2,0,149.3,4,0,44,4,48,106,3,0,0,3,0,29,103,0,58,26,2,8,6,0,1,75,7,18.8
Anthony Watts,42807,DI,MARSHALL,2,1,0,,0,0,214,60.0,63.2,0.0,59.9,74.8,44.2,0,0,0,,25.0,1,0,1,0.0,0,0,0,0,0,40,40,8,21,2,9,0,0,20,20,0,2,2,0,0,0,0,0,
Ryan McWood,43189,LB,MIAMI OH,2,3,0,100.0,0,0,221,46.9,49.0,77.0,81.0,44.2,46.1,2,1,1,19,20.0,3,0,0,68.2,7,1,93,0,56,99,0,0,0,0,0,0,99,8,35,6,7,9,7,4,0,69,60,9.9
Jaydon Grant,43354,S,OREGON ST,2,0,0,63.6,0,1,265,73.4,74.1,80.9,57.3,74.4,84.8,0,1,1,60,0.0,0,1,0,59.3,7,0,21,3,99,146,0,0,0,0,0,65,146,1,46,57,5,9,11,1,0,111,35,15.9
Linwood Crump,43401,CB,NEW MEX ST,3,0,0,50.0,0,0,242,74.9,67.1,77.5,59.5,44.1,28.9,0,1,0,19,40.0,2,1,1,76.0,2,0,7,59,26,69,3,0,0,3,0,0,66,2,41,0,0,3,4,1,0,31,-2,15.5
Jon-Michael Terry,43635,LB,TULSA,2,4,0,75.0,0,0,320,60.7,60.3,80.3,67.0,56.1,67.0,0,7,0,11,15.4,2,0,0,82.3,3,0,94,0,50,135,36,0,0,35,1,0,99,16,69,5,3,7,4,7,0,17,11,5.7
Tyrone Hopper,43714,ED,MISSOURI,2,0,0,,0,0,229,61.7,62.7,75.5,59.7,62.1,,0,0,0,,,0,0,0,0.0,0,0,1,0,4,26,25,0,2,22,1,0,1,12,10,0,0,0,0,0,0,0,0,
Sione Tupou,44093,LB,TEXAS ST,2,5,0,75.0,0,0,314,60.6,72.3,78.5,72.2,83.8,86.5,0,1,0,23,0.0,0,0,0,96.4,6,0,107,0,74,123,1,0,0,1,0,1,122,7,42,14,7,12,8,1,0,61,31,10.2
Semisi Fakasiieiki,44340,LB,PURDUE,1,0,0,,0,0,273,60.9,73.6,69.6,63.3,62.1,,0,0,0,,,0,0,0,0.0,0,0,6,0,3,6,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,
Antwaine Richardson,49364,S,KENT STATE,2,5,0,66.7,0,0,201,69.4,70.8,80.5,,72.1,69.1,0,0,0,20,11.8,2,0,0,86.8,4,0,17,1,82,129,0,0,0,0,0,69,129,0,47,42,3,10,6,0,0,42,7,10.5
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,2,4,0,66.7,0,0,174,51.1,50.1,77.7,52.1,54.3,30.8,0,0,0,24,31.3,5,1,0,149.3,2,0,55,0,29,73,10,0,0,10,0,0,63,8,36,8,4,7,3,0,1,45,1,22.5
Alden Tofa,51983,ED,BYU,2,0,0,,0,0,128,,57.6,73.3,55.6,59.8,71.5,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,15,15,0,0,8,7,0,0,6,9,0,1,1,0,0,0,0,0,
