Player,Roster Position,%Drafted,FPTS
Eli Mitchell,RB,29.89%,17.4
Antonio Gibson,RB,28.97%,22.1
Foster Moreau,TE,25.26%,4.4
Hunter Renfrow,WR,24.36%,22.2
Jonathan Taylor,RB,24.26%,28.3
Dolphins ,DST,21.42%,9
Jamaal Williams,RB,20.91%,9
Brandon Aiyuk,WR,19.13%,8.5
Rob Gronkowski,TE,18.83%,21.8
Cooper Kupp,WR,18.60%,29.9
Tom Brady,QB,18.12%,32.62
Joe Mixon,RB,17.86%,10.4
Chris Godwin,WR,17.42%,33.2
Alexander Mattison,RB,17.42%,21.4
James Conner,FLEX,17.27%,19.1
Sony Michel,RB,16.37%,24.9
DeVante Parker,WR,14.88%,11.2
Jaylen Waddle,WR,14.78%,18
Leonard Fournette,RB,13.59%,22.2
Michael Pittman Jr.,WR,13.43%,17
Justin Jefferson,WR,12.61%,38.6
Mike Evans,FLEX,12.17%,16.9
Van Jefferson Jr.,WR,12.05%,16.1
Josh Reynolds,WR,11.16%,10.9
Derek Carr,QB,10.99%,12.36
Miles Sanders,FLEX,10.09%,20.2
Diontae Johnson,WR,9.16%,33.5
Myles Gaskin,RB,9.09%,6.9
Austin Ekeler,RB,8.96%,19.4
Kirk Cousins,QB,8.95%,24.2
Gardner Minshew II,QB,8.91%,18.78
Justin Herbert,QB,8.42%,29.28
Ja'Marr Chase,WR,8.29%,10.2
Darnell Mooney,WR,8.28%,7.7
Marquise Brown,WR,8.26%,10.5
Pat Freiermuth,TE,7.87%,7.6
Matthew Stafford,QB,7.73%,24
Logan Thomas,TE,7.67%,13.8
Vikings ,DST,7.65%,6
Adam Thielen,WR,7.44%,1
Cardinals ,DST,7.40%,11
Keenan Allen,WR,7.28%,22.4
Cordarrelle Patterson,FLEX,7.23%,12.6
Mike Williams,WR,7.12%,19
Buccaneers ,DST,7.08%,11
George Kittle,TE,6.65%,42.6
WAS Football Team ,DST,6.48%,3
DeVonta Smith,WR,6.22%,3.5
Tee Higgins,WR,6.08%,31.8
Dallas Goedert,TE,5.99%,31.5
T.Y. Hilton,WR,5.96%,4.2
Rams ,DST,5.72%,10
Lamar Jackson,QB,5.53%,18.62
Eagles ,DST,5.46%,5
Colts ,DST,5.33%,18
49ers ,DST,5.17%,9
Joe Burrow,QB,4.93%,22.6
Carson Wentz,QB,4.74%,11.12
Terry McLaurin,WR,4.72%,5.2
James O'Shaughnessy,TE,4.66%,3.3
Tua Tagovailoa,QB,4.64%,17.86
David Montgomery,RB,4.53%,28.1
Saquon Barkley,RB,4.51%,13.4
DeAndre Hopkins,WR,4.50%,11.2
Giants ,DST,4.20%,3
Jets ,DST,4.19%,1
C.J. Uzomah,TE,4.17%,5
DK Metcalf,WR,4.15%,11
Mark Andrews,TE,4.08%,9
Taylor Heinicke,QB,3.98%,15.84
Tyler Higbee,TE,3.97%,9.8
Rashod Bateman,WR,3.77%,0
Russell Gage,WR,3.65%,26
Elijah Moore,WR,3.63%,20.6
Brandin Cooks,FLEX,3.43%,8.4
A.J. Green,FLEX,3.40%,2.4
Kyle Pitts,TE,3.29%,8.8
Odell Beckham Jr.,WR,3.26%,10.8
Jared Cook,TE,3.26%,5.9
Marvin Jones Jr.,FLEX,3.19%,3.1
Tyler Conklin,TE,3.18%,12.6
Kenny Golladay,FLEX,3.14%,6.7
Tyler Lockett,WR,3.14%,19.8
Chase Claypool,WR,3.12%,7.4
DeSean Jackson,FLEX,2.99%,2.4
Rondale Moore,WR,2.98%,2
Bengals ,DST,2.83%,6
Christian Kirk,WR,2.70%,1.4
Bears ,DST,2.63%,0
Raiders ,DST,2.60%,4
Lions ,DST,2.59%,5
Mike Gesicki,FLEX,2.56%,11.6
Najee Harris,RB,2.37%,15.7
Zach Ertz,FLEX,2.29%,2
Jaguars ,DST,2.27%,-3
Laviska Shenault Jr.,WR,2.27%,6.1
Zay Jones,FLEX,2.21%,5.1
Evan Engram,FLEX,2.10%,10.1
Bryan Edwards,WR,2.07%,6
Jauan Jennings,WR,2.07%,1.8
Kyler Murray,QB,2.07%,30.82
Cole Kmet,TE,1.96%,7.1
Devonta Freeman,RB,1.93%,20.7
Tyler Boyd,WR,1.91%,13.5
Russell Wilson,QB,1.90%,17.74
DeAndre Carter,WR,1.86%,1.6
Jimmy Garoppolo,QB,1.71%,17.96
Jack Doyle,TE,1.70%,2.3
Steelers ,DST,1.68%,10
Texans ,DST,1.68%,2
Rex Burkhead,RB,1.65%,5.5
Darius Slayton,WR,1.63%,3.3
Ravens ,DST,1.62%,2
Gerald Everett,TE,1.54%,2.7
T.J. Hockenson,TE,1.52%,14.9
Zach Pascal,FLEX,1.48%,2.8
Ben Roethlisberger,QB,1.48%,19.34
Jamison Crowder,WR,1.42%,10.2
Tyrod Taylor,QB,1.40%,2.3
Brevin Jordan,TE,1.37%,2.7
Matt Ryan,QB,1.34%,12.08
Quez Watkins,WR,1.27%,9
Nyheim Hines,FLEX,1.26%,8.6
Josh Jacobs,RB,1.17%,24
Tevin Coleman,FLEX,1.17%,10.7
Ryan Griffin,TE,1.16%,9.5
Sammy Watkins,WR,1.09%,13.9
Kenyan Drake,FLEX,1.04%,1.8
Mike Glennon,QB,1.00%,6.48
Amon-Ra St. Brown,WR,0.99%,24.8
Nico Collins,WR,0.95%,0
Kalif Raymond,FLEX,0.91%,5.3
Boston Scott,RB,0.88%,0
K.J. Osborn,FLEX,0.85%,14.7
Seahawks ,DST,0.83%,9
Mo Alie-Cox,FLEX,0.80%,1
Jalen Reagor,WR,0.75%,1.7
Olamide Zaccheaus,WR,0.73%,7.6
Jared Goff,QB,0.71%,21.94
Corey Davis,FLEX,0.61%,3.5
Ronald Jones II,RB,0.59%,1.2
Damiere Byrd,WR,0.57%,6.6
Ty Johnson,FLEX,0.53%,3.5
Devin Duvernay,FLEX,0.53%,4.1
Latavius Murray,RB,0.53%,5.5
Chargers ,DST,0.50%,20
James Robinson,RB,0.50%,3.5
Darrell Henderson Jr.,FLEX,0.45%,0
Laquon Treadwell,FLEX,0.44%,10.2
Andy Dalton,QB,0.43%,15.76
Kenneth Gainwell,RB,0.41%,19.7
Cameron Brate,TE,0.39%,7.3
Jimmy Graham,TE,0.39%,9.1
Albert Wilson,WR,0.38%,6.6
Tyler Johnson,WR,0.38%,1.5
Devontae Booker,RB,0.37%,9.4
Tajae Sharpe,WR,0.35%,4
Freddie Swain,FLEX,0.33%,4.8
Austin Walter,FLEX,0.31%,3.1
Trevor Lawrence,QB,0.30%,6.8
Donald Parham Jr.,FLEX,0.30%,2.3
Falcons ,DST,0.30%,7
Adam Humphries,WR,0.27%,7.8
Jermar Jefferson,RB,0.27%,1.8
Chris Moore,WR,0.26%,0
DeeJay Dallas,RB,0.26%,0
Mack Hollins,WR,0.23%,7.5
Ashton Dulin,FLEX,0.23%,7.2
Kene Nwangwu,RB,0.21%,2.4
James Washington,WR,0.21%,0
Mike Davis,RB,0.20%,16.9
Zach Wilson,QB,0.20%,22.04
Scotty Miller,WR,0.20%,0
