"","teams","lines","totals"
"1","Baylor",-6.5,48.5
"2","Iowa State",6.5,48.5
"3","Kent State",31.5,66.5
"4","Georgia",-31.5,66.5
"5","TCU",-14.5,70.5
"6","SMU",14.5,70.5
"7","Buffalo",-3.5,77.5
"8","Eastern Michigan",3.5,77.5
"9","Central Michigan",16.5,62.5
"10","Penn State",-16.5,62.5
"11","Bowling Green",34.5,61.5
"12","Mississippi State",-34.5,61.5
"13","Missouri",7.5,51
"14","Auburn",-7.5,51
"15","South Florida",34.5,65.5
"16","Louisville",-34.5,65.5
"17","Duke",10.5,63.5
"18","Kansas",-10.5,63.5
"19","Clemson",-13,61
"20","Wake Forest",13,61
"21","Maryland",7.5,67.5
"22","Michigan",-7.5,67.5
"23","UCLA",-22.5,57
"24","Colorado",22.5,57
"25","Massachusetts",10,44
"26","Temple",-10,44
"27","Fordham",16.5,73.5
"28","Ohio",-16.5,73.5
"29","Florida",10.5,63
"30","Tennessee",-10.5,63
"31","Notre Dame",2.5,56
"32","North Carolina",-2.5,56
"33","Texas",-7.5,61
"34","Texas Tech",7.5,61
"35","James Madison",6,57
"36","Appalachian State",-6,57
"37","Indiana",16.5,57
"38","Cincinnati",-16.5,57
"39","Minnesota",-2.5,50
"40","Michigan State",2.5,50
"41","Middle Tennessee",25.5,53
"42","Miami FL",-25.5,53
"43","North Texas",12.5,68.5
"44","Memphis",-12.5,68.5
"45","FIU",31,65.5
"46","Western Kentucky",-31,65.5
"47","Toledo",-3,45
"48","San Diego State",3,45
"49","Texas Southern",42,66
"50","UTSA",-42,66
"51","Oregon",-6.5,57.5
"52","Washington State",6.5,57.5
"53","Tulsa",21,67
"54","Ole Miss",-21,67
"55","Georgia Tech",21,57
"56","UCF",-21,57
"57","Sacramento State",-4,59.5
"58","Colorado State",4,59.5
"59","Arizona",3.5,50.5
"60","California",-3.5,50.5
"61","Rice",17.5,52
"62","Houston",-17.5,52
"63","Navy",16.5,48.5
"64","East Carolina",-16.5,48.5
"65","Akron",26.5,53.5
"66","Liberty",-26.5,53.5
"67","Arkansas State",4.5,57
"68","Old Dominion",-4.5,57
"69","Ball State",9.5,67.5
"70","Georgia Southern",-9.5,67.5
"71","Arkansas",2,51
"72","Texas A&M",-2,51
"73","Northern Illinois",27,54
"74","Kentucky",-27,54
"75","Southern Mississippi",11.5,48.5
"76","Tulane",-11.5,48.5
"77","Marshall",-3,51.5
"78","Troy",3,51.5
"79","Houston Christian",27,64.5
"80","Texas State",-27,64.5
"81","Louisiana Tech",13.5,59.5
"82","South Alabama",-13.5,59.5
"83","UNLV",-3,62
"84","Utah State",3,62
"85","Wisconsin",19.5,56.5
"86","Ohio State",-19.5,56.5
"87","Vanderbilt",40.5,60.5
"88","Alabama",-40.5,60.5
"89","Florida Atlantic",16.5,57.5
"90","Purdue",-16.5,57.5
"91","Charlotte",23.5,66.5
"92","South Carolina",-23.5,66.5
"93","Miami OH",7.5,49.5
"94","Northwestern",-7.5,49.5
"95","New Mexico",31,44
"96","LSU",-31,44
"97","UConn",38,47.5
"98","North Carolina State",-38,47.5
"99","Kansas State",13.5,53
"100","Oklahoma",-13.5,53
"101","Boston College",18.5,49
"102","Florida State",-18.5,49
"103","Hawaii",4.5,53
"104","New Mexico State",-4.5,53
"105","Louisiana-Lafayette",-9.5,51
"106","ULM",9.5,51
"107","USC",-6,71
"108","Oregon State",6,71
"109","Wyoming",21.5,50
"110","BYU",-21.5,50
"111","Utah",-16,54
"112","Arizona State",16,54
"113","Stanford",14,63
"114","Washington",-14,63
"115","Western Michigan",6.5,49
"116","San Jose State",-6.5,49
