"","teams","lines","totals"
"1","Virginia",10,54
"2","Syracuse",-10,54
"3","Nevada",24.5,46.5
"4","Air Force",-24.5,46.5
"5","Boise State",-16,45.5
"6","UTEP",16,45.5
"7","Maryland",17,64.5
"8","Michigan",-17,64.5
"9","Clemson",-7,55.5
"10","Wake Forest",7,55.5
"11","Duke",7,65
"12","Kansas",-7,65
"13","Central Michigan",28,63
"14","Penn State",-28,63
"15","Baylor",2.5,45.5
"16","Iowa State",-2.5,45.5
"17","Kent State",45,62.5
"18","Georgia",-45,62.5
"19","Bowling Green",30.5,52.5
"20","Mississippi State",-30.5,52.5
"21","Missouri",7,51.5
"22","Auburn",-7,51.5
"23","South Florida",14.5,64.5
"24","Louisville",-14.5,64.5
"25","TCU",-1.5,70.5
"26","SMU",1.5,70.5
"27","Buffalo",6,60
"28","Eastern Michigan",-6,60
"29","UCLA",-21.5,56.5
"30","Colorado",21.5,56.5
"31","Massachusetts",9,43.5
"32","Temple",-9,43.5
"33","Florida",10.5,62.5
"34","Tennessee",-10.5,62.5
"35","Texas",-7,61
"36","Texas Tech",7,61
"37","Notre Dame",2,55.5
"38","North Carolina",-2,55.5
"39","James Madison",7,58.5
"40","Appalachian State",-7,58.5
"41","Indiana",17,57.5
"42","Cincinnati",-17,57.5
"43","Middle Tennessee",25.5,53.5
"44","Miami FL",-25.5,53.5
"45","Minnesota",-2.5,50
"46","Michigan State",2.5,50
"47","North Texas",12.5,70
"48","Memphis",-12.5,70
"49","FIU",31,65.5
"50","Western Kentucky",-31,65.5
"51","Toledo",-3,45
"52","San Diego State",3,45
"53","Tulsa",21.5,65
"54","Ole Miss",-21.5,65
"55","Oregon",-6.5,57.5
"56","Washington State",6.5,57.5
"57","Georgia Tech",20.5,57
"58","UCF",-20.5,57
"59","Arizona",3,50.5
"60","California",-3,50.5
"61","Navy",16.5,49.5
"62","East Carolina",-16.5,49.5
"63","Rice",17.5,51.5
"64","Houston",-17.5,51.5
"65","Akron",26.5,53.5
"66","Liberty",-26.5,53.5
"67","Arkansas State",4.5,56.5
"68","Old Dominion",-4.5,56.5
"69","Ball State",9.5,67.5
"70","Georgia Southern",-9.5,67.5
"71","Arkansas",2,48.5
"72","Texas A&M",-2,48.5
"73","Northern Illinois",26.5,53
"74","Kentucky",-26.5,53
"75","Southern Mississippi",13,48
"76","Tulane",-13,48
"77","UNLV",-3,64
"78","Utah State",3,64
"79","Marshall",-3,51.5
"80","Troy",3,51.5
"81","Louisiana Tech",13.5,60
"82","South Alabama",-13.5,60
"83","Wisconsin",19,57
"84","Ohio State",-19,57
"85","Vanderbilt",40.5,59
"86","Alabama",-40.5,59
"87","Florida Atlantic",17.5,59
"88","Purdue",-17.5,59
"89","Charlotte",22.5,66.5
"90","South Carolina",-22.5,66.5
"91","New Mexico",31,45
"92","LSU",-31,45
"93","Miami OH",7.5,50
"94","Northwestern",-7.5,50
"95","UConn",38,49.5
"96","North Carolina State",-38,49.5
"97","Kansas State",12.5,53
"98","Oklahoma",-12.5,53
"99","Boston College",17.5,48.5
"100","Florida State",-17.5,48.5
"101","Hawaii",5,53
"102","New Mexico State",-5,53
"103","Louisiana-Lafayette",-9.5,51
"104","ULM",9.5,51
"105","USC",-5.5,70.5
"106","Oregon State",5.5,70.5
"107","Wyoming",21.5,50
"108","BYU",-21.5,50
"109","Utah",-15.5,54
"110","Arizona State",15.5,54
"111","Stanford",13.5,63.5
"112","Washington",-13.5,63.5
"113","Western Michigan",7,49
"114","San Jose State",-7,49
"115","Washington",-3,54
"116","UCLA",3,54
"117","Oregon State",11.5,46.5
"118","Utah",-11.5,46.5
"119","North Carolina State",8,45.5
"120","Clemson",-8,45.5
"121","Alabama",-15.5,64.5
"122","Arkansas",15.5,64.5
"123","Oklahoma",-7,55.5
"124","TCU",7,55.5
"125","Oklahoma State",1.5,65
"126","Baylor",-1.5,65
"127","Kentucky",4,63
"128","Ole Miss",-4,63
"129","Wake Forest",2.5,45.5
"130","Florida State",-2.5,45.5
"131","Texas A&M",1.5,62.5
"132","Mississippi State",-1.5,62.5
