"","teams","lines","totals"
"1","West Virginia",NA,40
"2","Virginia Tech",NA,40
"3","Coastal Carolina",-7,74.5
"4","Georgia State",7,74.5
"5","Chattanooga",27.5,46.5
"6","Illinois",-27.5,46.5
"7","Virginia",10,54
"8","Syracuse",-10,54
"9","Nevada",24,46.5
"10","Air Force",-24,46.5
"11","Boise State",-16,45.5
"12","UTEP",16,45.5
"13","Maryland",17,64.5
"14","Michigan",-17,64.5
"15","Clemson",-7,55.5
"16","Wake Forest",7,55.5
"17","Duke",7,65
"18","Kansas",-7,65
"19","Central Michigan",28,63
"20","Penn State",-28,63
"21","Baylor",2.5,45.5
"22","Iowa State",-2.5,45.5
"23","Kent State",45,62.5
"24","Georgia",-45,62.5
"25","Bowling Green",30.5,52.5
"26","Mississippi State",-30.5,52.5
"27","Missouri",7,51.5
"28","Auburn",-7,51.5
"29","TCU",-2,70.5
"30","SMU",2,70.5
"31","South Florida",14.5,64.5
"32","Louisville",-14.5,64.5
"33","Buffalo",6,60
"34","Eastern Michigan",-6,60
"35","UCLA",-21.5,56.5
"36","Colorado",21.5,56.5
"37","Massachusetts",9,43.5
"38","Temple",-9,43.5
"39","Florida",10.5,62.5
"40","Tennessee",-10.5,62.5
"41","Notre Dame",2,55.5
"42","North Carolina",-2,55.5
"43","Texas",-7,61
"44","Texas Tech",7,61
"45","James Madison",7,58.5
"46","Appalachian State",-7,58.5
"47","Indiana",17,57.5
"48","Cincinnati",-17,57.5
"49","Minnesota",-2.5,50
"50","Michigan State",2.5,50
"51","Middle Tennessee",25.5,53.5
"52","Miami FL",-25.5,53.5
"53","North Texas",12.5,70
"54","Memphis",-12.5,70
"55","FIU",31,65.5
"56","Western Kentucky",-31,65.5
"57","Toledo",-3,45
"58","San Diego State",3,45
"59","Tulsa",21.5,65
"60","Ole Miss",-21.5,65
"61","Oregon",-6.5,57.5
"62","Washington State",6.5,57.5
"63","Georgia Tech",20.5,57
"64","UCF",-20.5,57
"65","Arizona",3,50.5
"66","California",-3,50.5
"67","Navy",16.5,49.5
"68","East Carolina",-16.5,49.5
"69","Rice",17.5,51.5
"70","Houston",-17.5,51.5
"71","Akron",26.5,53.5
"72","Liberty",-26.5,53.5
"73","Arkansas State",4.5,56.5
"74","Old Dominion",-4.5,56.5
"75","Ball State",9.5,67.5
"76","Georgia Southern",-9.5,67.5
"77","Arkansas",2,48.5
"78","Texas A&M",-2,48.5
"79","Northern Illinois",26.5,53
"80","Kentucky",-26.5,53
"81","Southern Mississippi",13,48
"82","Tulane",-13,48
"83","Marshall",-3,51.5
"84","Troy",3,51.5
"85","UNLV",-3,64
"86","Utah State",3,64
"87","Louisiana Tech",13.5,60
"88","South Alabama",-13.5,60
"89","Wisconsin",19,57
"90","Ohio State",-19,57
"91","Vanderbilt",40.5,59
"92","Alabama",-40.5,59
"93","Charlotte",22.5,66.5
"94","South Carolina",-22.5,66.5
"95","Florida Atlantic",17.5,59
"96","Purdue",-17.5,59
"97","New Mexico",31,45
"98","LSU",-31,45
"99","Miami OH",7.5,50
"100","Northwestern",-7.5,50
"101","UConn",38,49.5
"102","North Carolina State",-38,49.5
"103","Kansas State",12.5,53
"104","Oklahoma",-12.5,53
"105","Boston College",17.5,48.5
"106","Florida State",-17.5,48.5
"107","Hawaii",5,53
"108","New Mexico State",-5,53
"109","Louisiana-Lafayette",-9.5,51
"110","ULM",9.5,51
"111","USC",-5.5,70.5
"112","Oregon State",5.5,70.5
"113","Wyoming",21.5,50
"114","BYU",-21.5,50
"115","Utah",-15.5,54
"116","Arizona State",15.5,54
"117","Stanford",13.5,63.5
"118","Washington",-13.5,63.5
"119","Western Michigan",7,49
"120","San Jose State",-7,49
"121","Washington",-2.5,40
"122","UCLA",2.5,40
"123","Oregon State",11.5,74.5
"124","Utah",-11.5,74.5
"125","Alabama",-15.5,46.5
"126","Arkansas",15.5,46.5
"127","Texas A&M",1.5,54
"128","Mississippi State",-1.5,54
"129","North Carolina State",8,46.5
"130","Clemson",-8,46.5
"131","Oklahoma State",1.5,45.5
"132","Baylor",-1.5,45.5
"133","Kentucky",4,64.5
"134","Ole Miss",-4,64.5
"135","Wake Forest",2.5,55.5
"136","Florida State",-2.5,55.5
"137","Oklahoma",-7,65
"138","TCU",7,65
