player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
JaMycal Hasty,25582,HB,JAX,14,25,0,15,0.3,2,100.0,,0,0,0.0,0,2,0,70.5,65.4,0,24,36.4,12,33,3,60.6,20,111.1,3,12.0,0,32,31,10.3,10.7,1.6,0,-2.5,2,75.0,50.0,1,2,11.8,2,4,0,51.2,62.4,0,15,13.2,12,91,15,86.8,79,79.2,20,80.0,0,70,95,6.3,4.7,0.89
Denzel Mims,47800,WR,NYJ,9,24,0,22,12.5,2,27.3,33.3,2,6,0.0,0,2,0,70.5,59.6,1,13,0.0,0,61,3,96.7,59,2.1,11,45.8,0,34,13,4.3,11.3,0.58,0,14.4,2,60.0,0.0,0,1,14.3,1,4,0,49.2,62.8,0,63,0.0,0,86,6,100.0,86,104.2,10,41.7,0,139,58,9.7,23.2,1.62
Chase Edmonds,45851,HB,DEN,12,23,0,10,7.5,3,75.0,0.0,0,1,25.0,1,3,0,36.2,54.5,0,27,15.8,6,38,3,73.7,28,115.6,4,17.4,0,49,33,11.0,16.3,1.75,0,1.3,0,60.0,0.0,0,1,30.8,4,3,0,27.8,36.0,0,19,15.3,19,124,9,81.5,101,73.5,15,65.2,0,77,59,6.6,8.6,0.76
O.J. Howard,11774,TE,HST,13,23,0,13,13.5,0,0.0,,0,0,,0,0,0,,42.9,1,0,25.6,10,39,0,66.7,26,0.0,4,17.4,0,0,0,,,0.0,0,9.4,0,60.0,100.0,1,1,10.0,1,6,0,77.3,76.4,0,26,19.6,20,102,9,76.5,78,130.6,15,65.2,2,140,58,6.4,15.6,1.79
Eric Saubert,11929,TE,DEN,16,23,0,10,9.6,1,60.0,100.0,1,1,25.0,1,1,0,36.2,59.6,0,22,18.4,7,38,3,71.1,27,114.2,5,21.7,1,27,6,2.0,9.0,1.0,0,7.6,1,66.7,0.0,0,2,9.1,1,4,0,58.5,49.7,1,25,5.4,8,147,10,90.5,133,57.9,15,65.2,0,101,54,5.4,10.1,0.76
Josh Oliver,47083,TE,BLT,16,23,0,3,6.0,0,50.0,0.0,0,1,0.0,0,2,0,70.5,67.0,0,19,15.0,6,40,3,82.5,33,111.1,6,26.1,1,40,25,8.3,13.3,1.21,0,12.5,1,61.5,100.0,1,1,11.1,1,4,0,54.9,57.1,0,40,15.3,19,124,8,82.3,102,83.5,13,56.5,0,94,40,5.0,11.8,0.92
Sammy Watkins,8639,WR,BLT,11,23,0,3,14.0,0,71.4,50.0,1,2,28.6,2,4,0,29.2,60.7,0,55,0.0,0,57,5,89.5,51,113.7,7,30.4,0,116,21,4.2,23.2,2.27,0,12.3,1,64.3,50.0,1,2,0.0,0,6,0,77.3,66.9,0,40,0.0,0,98,9,94.9,93,94.3,14,60.9,0,130,58,6.4,14.4,1.4
Clyde Edwards-Helaire,57279,HB,KC,10,22,0,16,1.5,2,80.0,,0,0,11.1,1,7,0,54.5,69.7,0,16,14.6,7,48,8,79.2,38,134.2,10,45.5,2,67,60,7.5,8.4,1.76,0,0.2,3,50.0,,0,0,0.0,0,2,0,70.5,64.0,0,25,7.9,6,76,3,86.8,66,81.9,6,27.3,0,55,58,19.3,18.3,0.83
Brock Wright,60994,TE,DET,16,22,0,11,1.5,0,100.0,100.0,1,1,0.0,0,7,0,76.5,89.6,0,51,31.4,22,70,8,61.4,43,158.3,8,36.4,4,109,98,12.3,13.6,2.53,0,3.8,0,69.2,,0,0,25.0,3,6,0,29.1,53.1,0,25,30.3,44,145,9,66.9,97,92.5,13,59.1,0,102,68,7.6,11.3,1.05
Alec Ingold,34934,FB,MIA,16,22,0,17,-4.0,0,0.0,,0,0,,0,0,0,,50.0,0,0,19.0,4,21,0,71.4,15,39.6,1,4.5,0,0,0,,,0.0,0,2.0,2,70.6,,0,0,7.7,1,4,0,61.8,59.2,0,17,21.7,30,138,12,77.5,107,103.3,17,77.3,1,93,89,7.4,7.8,0.87
