"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Austin Hooper","301","17","0.3","71","1.35","67.1","5","Devin Lloyd","467","18","0.35","82","1.53","49.4"
"Logan Thomas","346","16","0.21","67","0.89","52.2","-14","Damone Clark","167","10","0.18","94","0.89","67.3"
"Trey McBride","292","12","0.19","72","0.77","49.4","-50","Dre Greenlaw","494","19","0.29","78","1.25","81.4"
"MyCole Pruitt","65","25","0.66","81","1.78","73.6","-10","Lavonte David","562","13","0.2","80","0.87","84.6"
"Mark Andrews","435","26","0.43","66","1.95","80.3","0","Logan Wilson","481","14","0.24","83","1.05","72.8"
"Dawson Knox","451","14","0.28","73","1.12","64.7","9","Ja'Whaun Bentley","366","11","0.14","75","0.58","79.5"
"Ian Thomas","170","17","0.24","72","1.16","51.3","-58","Demario Davis","534","8","0.13","74","0.52","79.4"
"Cole Kmet","402","16","0.33","72","1.21","65.9","-11","Eric Kendricks","603","13","0.22","78","0.99","59.9"
"Hayden Hurst","359","17","0.29","81","1.18","66.7","6","Roquan Smith","454","12","0.22","76","0.97","68.4"
"David Njoku","365","20","0.36","73","1.61","72.1","4","Robert Spillane","273","15","0.3","83","1.36","60.7"
"Dalton Schultz","380","21","0.36","68","1.43","68","16","Jamin Davis","396","14","0.22","77","1","62.1"
"Albert Okwuegbunam","119","13","0.21","62","0.8","57.3","-9","Drue Tranquill","450","12","0.19","81","0.8","65.9"
"Brock Wright","156","14","0.41","82","1.38","56.2","-24","Quay Walker","363","12","0.16","64","0.72","54.2"
"Robert Tonyan","348","17","0.3","83","1.27","57.1","24","Alex Anzalone","504","8","0.14","80","0.7","55.7"
"Jordan Akins","272","16","0.34","77","1.56","69.5","-5","Bobby Okereke","477","18","0.28","77","1.21","75.6"
"Mo Alie-Cox","260","10","0.19","69","0.71","46.4","7","Christian Kirksey","488","14","0.24","75","1.14","55.4"
"Evan Engram","495","19","0.34","74","1.49","65.7","7","Dylan Cole","229","14","0.25","91","1.24","59"
"Travis Kelce","573","25","0.53","73","2.27","91.2","98","Luke Masterson","129","16","0.31","90","1.19","32.6"
"Tyler Higbee","413","24","0.35","69","1.42","62.6","23","Cody Barton","386","16","0.28","76","1.09","60.2"
"Gerald Everett","427","18","0.3","71","1.28","66.9","8","Josey Jewell","361","19","0.32","77","1.52","72.7"
"Darren Waller","209","18","0.38","70","1.69","71.4","18","Willie Gay Jr.","266","18","0.32","94","1.32","69.3"
"Mike Gesicki","332","14","0.27","62","0.95","58.7","0","C.J. Mosley","563","13","0.19","66","0.88","70.4"
"T.J. Hockenson","558","22","0.38","70","1.61","70.4","0","Joe Thomas","124","13","0.24","81","0.85","63"
"Hunter Henry","383","13","0.24","70","1.22","57.5","-26","Tremaine Edmunds","392","14","0.19","74","0.76","77.1"
"Juwan Johnson","347","17","0.38","68","1.4","66.9","-28","Frankie Luvu","371","14","0.32","89","1.24","72.5"
"Daniel Bellinger","279","12","0.25","91","0.96","61.6","0","Kyzir White","452","14","0.2","73","0.96","57.9"
"Tyler Conklin","460","17","0.28","70","1.17","58.5","-9","Eric Rowe","336","14","0.26","83","1.46","56.1"
"Dallas Goedert","349","17","0.38","82","1.88","77","13","Julian Love","548","9","0.16","71","0.68","70.7"
"Pat Freiermuth","416","23","0.36","67","1.76","78.1","21","Tony Fields II","65","12","0.16","75","0.69","56.7"
"Noah Fant","325","18","0.36","78","1.43","67.4","2","Ernest Jones","345","17","0.28","86","1.21","63.3"
"George Kittle","419","18","0.44","76","1.76","79.7","22","Ezekiel Turner","36","25","0.83","100","2.47","69.8"
"Cade Otton","457","14","0.2","66","0.84","56.7","22","Troy Andersen","194","16","0.35","94","1.67","46.6"
