player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Bruce Irvin,7021,ED,SEA,10,0,0,29,53.2,3,12,166,88.2,11.4,19,3,5.7,2,195,172,17,0,60.6,1,9,77,96.4,20.8,16,9.1,2,83,80,12
Melvin Ingram III,7024,ED,MIA,16,1,1,17,79.6,5,22,273,83.3,17.9,49,6,7.5,7,353,294,34,0,87.1,3,15,131,88.1,27.5,36,12.2,7,159,140,25
Chandler Jones,7027,ED,LV,15,2,1,23,60.4,10,32,444,93.1,13.1,58,2,5.9,5,507,472,47,0,67.9,4,18,181,94.7,20.4,37,8.8,5,206,195,27
Bobby Wagner,7050,LB,LA,16,0,0,26,79.8,2,11,105,17.7,19.0,20,1,11.9,6,604,107,19,0,84.2,2,6,39,16.9,30.8,12,20.5,4,242,41,12
Lavonte David,7060,LB,TB,16,0,0,30,67.2,0,2,48,7.9,8.3,4,2,8.3,3,645,51,5,0,65.1,0,2,20,7.8,15.0,3,10.0,1,258,20,3
Vinny Curry,7061,ED,NYJ,10,0,0,22,58.0,1,6,86,100.0,10.5,9,1,4.1,0,90,90,7,0,68.0,0,4,27,100.0,18.5,5,7.4,0,29,29,4
Demario Davis,7079,LB,NO,16,0,0,20,83.1,2,6,56,10.4,19.6,11,1,21.4,8,632,66,16,0,64.1,0,4,27,11.5,14.8,4,14.8,2,288,33,6
Akiem Hicks,7090,DI,TB,10,2,0,30,57.2,3,4,205,99.1,7.8,16,2,1.7,0,221,219,7,2,63.8,2,4,71,98.7,15.5,11,4.2,0,76,75,6
Rodney McLeod,7271,S,IND,16,0,0,14,60.6,0,2,10,2.0,10.0,1,2,10.0,0,546,11,2,0,52.0,0,1,2,0.8,0.0,0,25.0,0,247,2,1
Michael Thomas,7279,S,CIN,3,0,0,7,57.6,0,0,2,11.8,0.0,0,0,0.0,0,17,2,0,0,59.7,0,0,1,10.0,0.0,0,0.0,0,10,1,0
Tashaun Gipson Sr.,7288,S,SF,16,0,0,28,58.2,0,1,9,1.4,22.2,2,0,16.7,1,653,9,2,0,62.7,0,0,5,1.6,20.0,1,20.0,1,314,5,1
Harrison Smith,7641,S,MIN,14,0,1,18,56.0,0,2,11,2.0,0.0,0,1,9.1,0,593,12,2,0,63.2,0,2,4,1.5,0.0,0,25.0,0,265,4,2
Johnathan Hankins,7830,DI,DAL,10,1,1,9,50.8,1,3,96,99.1,4.2,4,1,2.1,0,107,106,4,0,54.7,0,1,22,100.0,4.5,1,2.3,0,24,24,1
Jon Bostic,7831,LB,WAS,9,0,0,32,50.6,0,1,10,6.7,0.0,0,0,5.0,0,150,10,1,0,53.1,0,0,4,7.5,0.0,0,0.0,0,53,4,0
Jamie Collins Sr.,7833,LB,NE,3,0,0,19,56.1,0,0,3,23.1,0.0,0,0,0.0,0,13,3,0,0,,0,0,0,0.0,,0,,0,1,0,0
Tyrann Mathieu,7850,S,NO,16,0,0,20,71.0,1,2,14,2.9,14.3,2,2,17.9,1,630,18,4,0,74.1,1,1,8,3.1,0.0,0,12.5,0,288,9,2
John Jenkins,7863,DI,MIA,15,0,0,17,67.8,0,9,127,99.2,11.0,14,1,3.5,0,133,132,9,0,79.5,0,5,35,100.0,22.9,8,7.1,0,37,37,5
Logan Ryan,7864,S,TB,9,0,0,30,51.4,0,1,6,3.0,0.0,0,0,8.3,0,300,9,1,0,58.8,0,0,0,0.7,,0,,0,144,1,0
Duron Harmon,7872,S,LV,16,1,0,23,53.8,0,2,23,3.7,4.3,1,0,4.3,0,626,23,2,0,52.6,0,2,4,1.6,25.0,1,25.0,0,245,4,2
Brandon Williams,7875,DI,KC,4,0,0,16,58.8,1,1,39,97.6,5.1,2,0,2.6,0,42,41,2,0,53.9,1,0,9,100.0,11.1,1,5.6,0,9,9,1
Akeem Spence,7882,DI,SF,7,0,0,28,46.3,0,3,69,98.7,4.3,3,0,2.2,0,77,76,3,0,48.5,0,2,22,100.0,9.1,2,4.5,0,25,25,2
William Gholston,7908,DI,TB,16,0,0,30,59.6,4,5,195,99.0,7.7,15,1,2.3,0,205,203,9,0,57.5,0,1,48,100.0,8.3,4,1.0,0,50,50,1
Steven Means,7929,ED,BLT,1,0,0,3,65.1,0,1,17,94.7,11.8,2,0,2.9,0,19,18,1,0,66.6,0,0,8,100.0,12.5,1,0.0,0,9,9,0
A.J. Klein,7930,LB,BUF,4,0,0,4,60.7,0,1,7,11.9,14.3,1,0,7.1,0,59,7,1,0,55.3,0,0,2,9.5,0.0,0,0.0,0,21,2,0
Micah Hyde,7941,S,BUF,2,0,0,4,59.1,0,0,1,1.4,0.0,0,0,0.0,0,71,1,0,0,,0,0,0,0.0,,0,,0,38,0,0
Jordan Poyer,8000,S,BUF,11,0,0,4,56.1,0,0,14,3.4,7.1,1,0,0.0,0,443,15,0,0,52.5,0,0,5,2.6,0.0,0,0.0,0,196,5,0
Nick Williams,8006,DI,NYG,8,2,0,21,52.7,1,6,117,99.2,5.1,6,0,3.0,0,123,122,7,1,64.6,1,4,24,96.2,20.8,5,10.4,0,26,25,5
Tony Jefferson,8361,S,NYG,8,0,0,21,44.5,0,2,32,26.2,3.1,1,0,3.1,0,130,34,2,0,47.3,0,2,18,24.7,5.6,1,5.6,0,81,20,2
Brandon Copeland,8378,ED,BLT,3,0,0,3,53.4,0,2,33,94.3,12.1,4,0,6.1,1,35,33,3,0,57.7,0,2,18,100.0,22.2,4,11.1,1,18,18,3
Chris Banjo,8419,S,ARZ,10,0,0,1,58.7,0,0,1,3.0,0.0,0,0,0.0,0,33,1,0,0,58.7,0,0,1,7.1,0.0,0,0.0,0,14,1,0
Nickell Robey-Coleman,8483,CB,LV,1,0,0,23,52.4,0,0,3,27.3,0.0,0,0,0.0,0,11,3,0,0,54.4,0,0,2,33.3,0.0,0,0.0,0,6,2,0
Mike Purcell,8530,DI,DEN,16,0,0,10,59.0,2,6,211,100.0,8.1,17,1,2.4,1,232,232,9,0,65.6,2,4,67,100.0,16.4,11,4.5,0,77,77,6
Jadeveon Clowney,8636,ED,CLV,12,3,0,8,70.0,2,24,284,98.7,13.0,37,2,5.6,3,309,305,29,0,75.3,1,15,112,100.0,17.9,20,8.9,2,123,123,18
Khalil Mack,8640,ED,LAC,16,2,2,27,69.5,5,41,425,91.6,14.8,63,2,7.3,8,491,450,54,1,69.1,4,24,206,94.8,19.4,40,9.7,6,233,221,34
Anthony Barr,8644,LB,DAL,13,0,0,9,64.9,3,4,36,11.8,16.7,6,2,12.5,1,321,38,8,0,67.3,1,2,18,14.1,16.7,3,8.3,0,135,19,3
Aaron Donald,8648,DI,LA,11,2,0,26,90.7,7,28,383,100.0,19.1,73,2,5.9,5,396,396,40,1,90.1,4,16,140,100.0,22.1,31,10.0,4,148,148,24
Kyle Fuller,8649,CB,BLT,1,0,0,3,59.1,0,0,1,1.6,0.0,0,1,0.0,0,62,1,0,0,,0,0,0,0.0,,0,,0,31,0,0
C.J. Mosley,8652,LB,NYJ,16,0,0,22,61.5,1,2,30,5.6,13.3,4,4,11.7,2,622,35,5,0,50.2,0,2,15,7.4,6.7,1,13.3,1,256,19,3
Jimmie Ward,8665,S,SF,10,0,1,28,54.3,1,0,12,3.4,8.3,1,1,4.2,0,355,12,1,0,63.2,1,0,4,2.2,25.0,1,12.5,0,181,4,1
Bradley Roby,8666,CB,NO,12,0,0,20,68.7,0,3,7,2.2,0.0,0,3,21.4,0,371,8,3,0,55.7,0,1,2,1.2,0.0,0,25.0,0,173,2,1
Demarcus Lawrence,8669,ED,DAL,16,2,1,9,75.2,8,38,382,97.6,14.1,54,2,7.6,6,409,399,52,1,73.7,4,20,176,98.4,18.2,32,8.5,3,184,181,27
Kyle Van Noy,8675,ED,LAC,16,0,0,27,59.3,5,19,297,75.5,11.1,33,2,5.4,4,416,314,28,0,56.4,2,12,149,83.8,12.8,19,6.0,2,191,160,16
Lamarcus Joyner,8676,S,NYJ,14,0,0,22,82.5,2,1,9,1.7,33.3,3,3,16.7,0,523,9,3,0,56.5,0,0,2,0.9,0.0,0,0.0,0,212,2,0
Jeremiah Attaochu,8685,ED,LAC,3,0,0,27,62.7,0,1,5,100.0,20.0,1,0,10.0,0,5,5,1,0,54.6,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Christian Kirksey,8706,LB,HST,16,0,0,13,80.0,3,10,48,9.5,20.8,10,0,21.9,4,560,53,17,0,88.7,1,3,19,9.0,26.3,5,31.6,4,223,20,8
Justin Ellis,8742,DI,NYG,16,0,0,21,47.6,0,1,137,99.3,1.5,2,0,1.1,1,147,146,2,0,48.6,0,0,31,97.2,0.0,0,0.0,0,36,35,0
DaQuan Jones,8747,DI,BUF,15,0,1,4,73.6,8,16,352,100.0,12.5,44,2,4.8,5,383,383,29,0,79.3,5,13,163,100.0,20.2,33,8.0,4,178,178,22
Dontae Johnson,8764,CB,SF,1,0,0,28,53.8,0,0,2,20.0,0.0,0,0,0.0,0,10,2,0,0,59.5,0,0,1,25.0,0.0,0,0.0,0,4,1,0
Kevin Pierre-Louis,8767,LB,HST,2,0,0,13,68.0,0,1,2,9.5,0.0,0,1,25.0,0,21,2,1,0,,0,0,0,0.0,,0,,0,6,0,0
Brent Urban,8769,DI,BLT,15,3,0,3,54.8,0,6,127,98.6,4.7,6,0,3.1,1,139,137,7,2,56.0,0,2,41,100.0,4.9,2,2.4,0,44,44,2
Devon Kennard,8809,ED,BLT,7,0,0,3,54.1,2,2,62,88.2,8.1,5,0,3.2,0,76,67,4,0,61.1,1,1,19,100.0,15.8,3,5.3,0,21,21,2
T.J. Carrie,8853,CB,CAR,3,0,0,5,49.0,0,1,7,19.4,0.0,0,0,7.1,0,36,7,1,0,49.4,0,1,6,21.4,0.0,0,8.3,0,28,6,1
Shelby Harris,8869,DI,SEA,13,1,0,29,61.1,3,22,309,100.0,10.4,32,0,4.7,2,321,321,27,1,65.0,3,18,178,100.0,14.0,25,7.0,2,185,185,23
Denico Autry,8982,ED,TEN,11,3,1,31,75.7,11,32,336,97.0,17.6,59,2,8.8,8,371,360,51,1,85.8,10,24,185,97.6,25.9,48,13.0,7,205,200,41
Shaquil Barrett,9000,ED,TB,8,0,0,30,65.1,4,15,200,85.8,16.5,33,1,6.3,3,246,211,22,0,66.5,1,11,89,88.6,24.7,22,10.1,3,105,93,15
Christian Jones,9020,ED,SEA,2,0,0,29,40.5,0,1,4,50.0,0.0,0,0,12.5,0,8,4,1,0,,0,0,0,0.0,,0,,0,2,0,0
Kerry Hyder,9045,DI,SF,15,2,0,28,60.1,3,10,212,100.0,9.4,20,0,3.5,1,221,221,14,1,70.7,3,8,97,100.0,16.5,16,5.7,0,100,100,11
Adrian Phillips,9177,S,NE,16,0,0,19,56.3,1,2,9,2.0,33.3,3,0,16.7,0,458,9,3,0,50.6,0,1,5,2.1,20.0,1,10.0,0,242,5,1
Joe Thomas,9272,LB,CHI,12,2,0,6,68.5,0,0,19,13.0,5.3,1,0,5.3,1,154,20,1,0,61.7,0,0,7,14.6,14.3,1,14.3,1,48,7,1
Mike Pennel,9316,DI,CHI,16,2,0,6,58.5,2,2,135,99.3,4.4,6,1,1.5,0,151,150,4,1,65.8,1,2,34,100.0,11.8,4,4.4,0,38,38,3
K'Waun Williams,9332,CB,DEN,13,0,0,10,61.5,1,5,31,7.1,12.9,4,3,12.9,1,435,31,7,0,59.6,0,3,15,6.7,20.0,3,16.7,1,224,15,4
Dante Fowler Jr.,9436,ED,DAL,16,2,0,9,76.3,4,24,211,96.1,14.2,30,5,9.5,6,231,222,34,1,78.6,3,17,105,94.0,21.9,23,13.3,4,117,110,24
Leonard Williams,9439,DI,NYG,12,0,0,21,74.8,11,18,332,100.0,14.5,48,3,5.6,4,353,353,33,0,85.9,8,11,135,100.0,22.2,30,9.3,3,148,148,22
Danny Shelton,9445,DI,KC,1,0,0,16,57.2,0,0,4,66.7,0.0,0,0,0.0,0,6,4,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Arik Armstead,9450,DI,SF,8,0,0,28,62.3,4,15,203,99.5,11.3,23,0,4.7,0,216,215,19,0,66.0,4,13,108,100.0,16.7,18,7.9,0,113,113,17
Marcus Peters,9451,CB,BLT,13,0,1,3,78.3,0,1,2,0.4,100.0,2,6,75.0,1,503,2,2,0,58.5,0,0,1,0.5,0.0,0,0.0,0,219,1,0
Bud Dupree,9455,ED,TEN,11,0,0,31,60.0,4,21,278,92.5,10.8,30,2,5.9,4,318,294,29,0,61.4,3,11,135,90.4,12.6,17,7.4,3,157,142,17
Shaq Thompson,9458,LB,CAR,16,0,0,5,49.6,2,4,58,9.8,8.6,5,0,6.9,1,630,62,7,0,52.9,0,2,24,9.3,8.3,2,8.3,1,281,26,3
Landon Collins,9466,S,NYG,5,0,0,21,61.6,0,0,17,16.8,5.9,1,0,5.9,1,101,17,1,0,59.4,0,0,8,12.9,0.0,0,12.5,1,62,8,1
Mario Edwards Jr.,9468,ED,TEN,12,1,1,31,55.1,8,23,295,97.9,12.5,37,4,6.3,3,327,320,34,0,58.4,7,19,168,100.0,17.9,30,8.9,2,186,186,28
Preston Smith,9471,ED,GB,16,1,0,12,64.7,13,18,371,92.2,13.7,51,1,6.9,10,423,390,41,0,70.5,8,10,166,93.2,19.3,32,8.4,5,191,178,23
Eric Kendricks,9478,LB,MIN,16,1,1,18,61.6,1,7,40,6.3,7.5,3,3,12.5,1,679,43,9,1,62.4,0,5,25,8.9,12.0,3,14.0,1,302,27,6
Eric Rowe,9480,S,MIA,13,0,0,17,70.4,0,2,12,3.5,25.0,3,0,25.0,2,372,13,4,0,67.8,0,0,3,1.9,33.3,1,33.3,1,156,3,1
Denzel Perryman,9481,LB,LV,12,0,0,23,65.7,4,4,62,20.4,6.5,4,0,8.1,1,323,66,9,0,64.0,1,4,22,18.3,13.6,3,11.4,0,126,23,5
Ronald Darby,9483,CB,DEN,5,0,0,10,60.0,0,0,1,0.6,0.0,0,1,0.0,0,173,1,0,0,,0,0,0,0.0,,0,,0,85,0,0
Jordan Phillips,9485,DI,BUF,11,2,0,4,60.1,4,13,214,99.6,8.9,19,3,4.9,2,224,223,19,2,65.9,3,8,112,100.0,11.6,13,6.7,2,119,119,13
Markus Golden,9491,ED,ARZ,16,0,0,1,62.7,17,23,433,91.9,15.5,67,2,5.5,4,492,452,44,0,66.9,11,18,189,93.8,23.3,44,9.3,3,209,196,32
Randy Gregory,9493,ED,DEN,6,0,0,10,76.2,6,12,108,88.4,20.4,22,3,10.2,2,129,114,20,0,69.8,2,9,56,92.4,21.4,12,11.6,1,66,61,12
Frank Clark,9496,ED,KC,14,0,1,16,63.1,8,29,429,96.4,13.8,59,4,5.7,6,475,458,43,0,66.7,6,19,198,96.4,19.2,38,7.3,2,223,215,27
P.J. Williams,9511,S,NO,10,0,0,20,77.3,0,1,4,2.1,0.0,0,0,12.5,0,194,4,1,0,,0,0,0,0.0,,0,,0,94,0,0
Jordan Hicks,9517,LB,MIN,16,2,0,18,72.1,2,9,46,8.1,15.2,7,0,16.3,2,592,48,13,1,63.3,2,5,20,7.7,20.0,4,17.5,0,259,20,7
Danielle Hunter,9521,ED,MIN,16,2,1,18,77.9,11,44,526,94.7,18.3,96,2,7.5,12,587,556,67,0,76.0,7,28,261,98.2,22.2,58,10.2,9,277,272,44
Carl Davis,9523,DI,NE,15,0,0,19,67.1,0,4,95,100.0,7.4,7,3,3.2,1,99,99,5,0,59.2,0,2,23,100.0,8.7,2,4.3,0,26,26,2
Henry Anderson,9526,ED,CAR,10,0,0,5,51.7,1,4,83,97.8,6.0,5,0,3.0,0,91,89,5,0,53.8,0,2,32,100.0,9.4,3,3.1,0,35,35,2
Steven Nelson,9531,CB,HST,15,0,0,13,91.1,0,0,1,0.2,0.0,0,1,100.0,1,488,1,1,0,91.1,0,0,1,0.5,0.0,0,100.0,1,188,1,1
