player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,16,64,64,4.26,40.75,46.92,9.0,1,0,6,16,1,64.0,20,65,3,0,54.7,315,35,65,272.88,2608,4,3003
Brett Kern,4580,P,PHI,2,8,8,3.85,37.38,42.63,8.4,0,0,0,2,24,54.5,0,53,1,0,62.5,42,5,8,30.8,299,0,341
Kevin Huber,5066,P,CIN,9,31,31,4.27,37.42,43.23,14.5,0,0,3,13,7,54.4,10,63,3,0,35.5,160,11,31,132.43,1160,1,1340
Thomas Morstead,5088,P,MIA,15,56,56,4.32,41.52,47.29,10.1,0,0,11,14,17,71.1,28,66,1,0,50.0,283,28,57,242.06,2325,2,2648
Bryan Anger,7072,P,DAL,16,58,58,4.48,42.59,48.5,8.5,0,0,6,20,9,73.4,23,83,1,0,41.4,203,24,58,259.88,2470,7,2813
Johnny Hekker,7252,P,CAR,16,75,75,4.36,43.87,48.55,8.6,0,0,10,26,5,75.4,35,67,6,0,36.0,231,27,75,326.72,3290,6,3641
Sam Martin,7947,P,BUF,14,42,42,4.23,42.88,48.12,9.2,1,0,5,13,4,66.2,16,67,6,0,31.0,120,13,43,177.52,1801,5,2021
Tress Way,8358,P,WAS,16,76,76,4.33,43.09,46.84,6.8,0,0,13,24,32,58.6,38,68,5,0,39.5,205,30,76,329.2,3275,4,3560
Pat O'Donnell,8826,P,GB,16,51,51,4.12,40.51,44.63,9.5,2,0,8,18,12,59.1,26,72,4,0,39.2,190,20,53,210.11,2066,1,2276
Michael Palardy,9277,P,NE,7,38,38,4.07,37.13,42.63,6.8,1,0,3,9,19,46.5,11,58,5,0,42.1,109,16,39,154.75,1411,5,1620
Bradley Pinion,9598,P,ATL,16,59,59,4.48,40.88,45.59,9.9,0,0,7,21,2,75.1,25,73,5,0,40.7,238,24,59,264.17,2412,2,2690
Riley Dixon,10862,P,LA,15,65,65,4.23,42.46,48.43,10.2,2,0,5,13,26,80.1,16,65,11,0,52.3,348,34,67,274.64,2760,2,3148
Jake Elliott,11908,K,PHI,1,1,1,4.26,35.0,35.0,,0,0,1,0,24,60.0,0,35,0,0,0.0,0,0,1,4.26,35,0,35
Matt Haack,12212,P,IND,16,68,68,4.36,39.99,44.35,9.5,1,0,10,21,14,63.0,29,70,9,0,36.8,237,25,69,296.62,2719,3,3016
