player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,13,7,5,,0,1,17,0,0,61.3,82.1,88.2,69.1,82.3,29.0,5,22,0,0,,21.7,10,0,0,0.0,0,4,0,3,0,12,464,461,13,191,162,95,0,3,297,155,0,26,29,5,0,31,0,0,0,
Brandon Graham,5538,ED,PHI,11,4,0,100.0,0,1,24,0,0,50.9,78.6,63.9,71.8,80.1,34.0,3,13,0,0,5,23.8,5,0,1,87.5,1,4,0,1,0,15,311,309,0,6,269,34,0,2,169,127,1,12,12,3,1,20,0,5,8,5.0
Jerry Hughes,5556,ED,HST,6,2,0,,0,0,13,0,0,60.9,46.8,82.5,45.9,51.9,73.8,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,3,65,64,0,0,62,2,1,1,38,24,0,1,2,0,0,1,0,0,0,
Linval Joseph,5571,DI,DAL,13,5,0,,0,1,9,0,0,79.3,47.6,57.5,82.7,30.1,55.5,0,3,0,0,,8.3,1,0,1,0.0,0,1,0,0,0,0,210,210,141,69,0,0,0,0,89,121,0,3,6,0,0,4,0,0,0,
Von Miller,6154,ED,BUF,9,2,0,,0,0,4,0,0,66.7,75.6,27.3,75.7,66.8,66.0,2,15,0,0,,11.1,1,0,2,0.0,0,4,0,0,0,6,203,203,0,0,203,0,0,0,148,49,0,9,6,0,0,21,0,0,0,
Cameron Jordan,6176,ED,NO,13,8,3,,0,0,20,0,0,67.8,54.6,88.3,55.7,48.4,40.1,3,17,0,1,,20.0,5,0,0,0.0,0,1,0,1,0,6,413,412,3,18,272,119,0,1,263,144,0,9,12,0,0,21,0,0,0,
Cameron Heyward,6183,DI,PIT,13,7,7,,0,0,25,0,0,58.2,90.3,85.8,88.4,79.4,65.7,11,25,0,0,,6.4,3,0,0,0.0,0,10,0,1,0,0,573,572,14,325,20,213,0,1,357,216,0,36,37,3,0,46,0,0,0,
Lawrence Guy Sr.,6385,DI,CIN,4,2,0,,0,0,7,0,0,,51.1,80.2,52.5,52.7,25.2,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,90,90,1,73,3,13,0,0,41,49,0,0,0,0,0,0,0,0,0,
Nick Bellore,6515,LB,WAS,3,0,0,100.0,0,0,32,0,0,79.4,87.9,68.9,60.0,63.2,73.2,0,0,0,0,2,0.0,0,0,0,79.2,2,0,0,6,0,3,7,0,0,0,0,0,0,7,1,3,0,1,1,1,2,0,0,-4,3,-2.0
Stephon Gilmore,7016,CB,MIN,12,10,0,66.2,0,1,18,0,0,62.7,66.6,86.6,,82.4,69.5,0,0,0,1,27,10.9,6,6,3,92.0,45,0,0,86,551,467,676,6,0,0,6,0,5,670,0,209,28,17,39,1,68,0,3,428,176,9.5
Bobby Wagner,7050,LB,WAS,13,26,0,71.4,0,1,32,2,0,61.7,83.3,60.3,85.9,90.3,80.5,4,10,0,0,32,6.5,7,1,2,106.5,20,3,0,745,2,382,800,12,0,0,12,0,1,788,75,343,40,37,74,6,28,17,1,222,144,11.1
Lavonte David,7060,LB,TB,13,17,1,84.6,0,3,30,1,0,61.4,67.7,84.7,64.8,71.3,40.9,1,17,0,1,49,17.0,17,3,1,105.3,55,4,0,727,6,470,864,59,0,0,59,0,2,805,101,293,70,39,66,2,65,22,2,543,336,9.9
Demario Davis,7079,LB,NO,12,33,0,72.2,0,0,20,0,0,67.6,71.6,61.2,62.2,73.5,63.3,0,4,0,1,23,10.3,10,3,2,81.7,26,1,0,727,1,454,799,41,0,0,41,0,2,758,49,296,28,31,54,1,36,5,0,268,172,10.3
Rodney McLeod,7271,S,CLV,13,5,0,59.3,0,0,8,1,1,44.5,46.7,82.9,52.1,56.9,59.0,0,0,0,0,17,14.3,5,5,0,94.5,16,0,0,164,0,255,452,17,0,0,17,0,170,435,9,188,101,8,25,2,27,0,2,119,75,7.4
