team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
TB,30,10,450,11,56,450,91.0,74,7
DAL,9,11,459,15,72,459,88.8,95,8
LAC,27,10,432,17,59,432,88.7,87,11
ARZ,1,11,402,8,57,402,88.7,78,13
LA,26,10,390,13,48,390,88.6,75,14
PIT,25,10,418,19,46,418,88.6,80,15
SF,28,10,334,14,50,334,87.4,74,10
NE,19,11,390,21,49,390,87.2,85,15
KC,16,11,520,20,87,520,87.0,121,14
HST,13,10,360,10,67,360,86.8,86,9
PHI,24,11,386,11,79,386,86.5,97,7
CIN,7,10,356,18,51,356,86.4,83,14
WAS,32,10,389,14,68,389,86.1,95,13
GB,12,11,404,18,66,404,86.1,98,14
CLV,8,11,375,11,66,375,85.7,92,15
JAX,15,10,396,22,75,396,85.5,106,9
BUF,4,11,467,21,92,467,85.1,126,13
CHI,6,11,388,10,71,388,84.9,99,18
NO,20,11,385,18,72,385,84.9,103,13
BLT,3,10,430,16,84,430,84.7,116,16
MIN,18,10,398,23,87,398,84.4,117,7
ATL,2,10,390,32,66,390,83.8,112,14
NYJ,22,10,438,20,102,438,83.8,132,10
NYG,21,10,404,20,81,404,83.3,118,17
LV,23,11,450,33,94,450,83.2,139,12
DET,11,11,418,26,90,418,83.0,129,13
CAR,5,11,424,23,94,424,82.7,132,15
DEN,10,10,382,25,69,382,82.5,114,20
SEA,29,10,338,14,74,338,81.7,106,18
IND,14,11,395,36,84,395,81.5,133,13
TEN,31,11,412,28,80,412,81.1,132,24
MIA,17,11,479,26,143,479,78.6,187,18
