,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Sacred Heart,2021-12-07 18:00:00,750,150.00,15.5,18.18,137.5,18.18,11.3,,
Rhode Island,2021-12-07 18:00:00,-1250,1.60,,,137.5,18.18,88.7,,
Virginia,2021-12-07 18:30:00,-220,9.09,-5.0,17.39,124.5,18.18,65.8,64.8,59.8
James Madison,2021-12-07 18:30:00,180,36.00,5.0,19.05,124.5,18.18,34.2,59.8,64.8
Vermont,2021-12-07 18:30:00,235,47.00,7.0,19.05,127.5,18.18,28.5,60.3,67.3
Providence,2021-12-07 18:30:00,-300,6.67,-7.0,17.39,127.5,18.18,71.5,67.3,60.3
Texas Tech,2021-12-07 19:00:00,150,30.00,4.0,18.18,138.0,18.18,38.8,67.0,71.0
Tennessee,2021-12-07 19:00:00,-170,11.76,-4.0,18.18,138.0,18.18,61.2,71.0,67.0
Old Dominion,2021-12-07 19:00:00,-305,6.56,-7.0,17.39,126.5,20.00,71.9,66.8,59.8
William & Mary,2021-12-07 19:00:00,240,48.00,7.0,19.05,126.5,16.67,28.1,59.8,66.8
Oakland,2021-12-07 19:00:00,-145,13.79,-2.5,18.18,149.5,19.05,57.1,76.0,73.5
Bowling Green,2021-12-07 19:00:00,125,25.00,2.5,18.18,149.5,17.39,42.9,73.5,76.0
Bradley,2021-12-07 19:00:00,,,,,,,,,
Toledo,2021-12-07 19:00:00,,,,,,,,,
Jacksonville,2021-12-07 19:00:00,350,70.00,9.5,19.05,130.0,18.18,21.2,,
Georgia,2021-12-07 19:00:00,-475,4.21,,,130.0,18.18,78.8,,
Southern,2021-12-07 19:00:00,1600,320.00,28.0,19.05,147.0,18.18,5.7,59.5,87.5
Kentucky,2021-12-07 19:00:00,-3800,0.53,-28.0,17.39,147.0,18.18,94.3,87.5,59.5
North Carolina A&T,2021-12-07 19:00:00,400,80.00,10.5,18.18,138.0,18.18,19.1,,
East Carolina,2021-12-07 19:00:00,-550,3.64,,,138.0,18.18,80.9,,
Navy,2021-12-07 19:00:00,155,31.00,4.0,19.05,129.5,18.18,37.9,62.8,66.8
George Mason,2021-12-07 19:00:00,-180,11.11,-4.0,17.39,129.5,18.18,62.1,66.8,62.8
Fairleigh-Dickinson,2021-12-07 19:00:00,385,77.00,10.5,18.18,146.0,20.00,19.7,67.8,78.3
La Salle,2021-12-07 19:00:00,-525,3.81,-10.5,18.18,146.0,16.67,80.3,78.3,67.8
Michigan,2021-12-07 19:00:00,-290,6.90,-6.5,16.67,140.5,20.00,71.0,73.5,67.0
