player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Patrick Mahomes,11765,QB,KC,6,2.95,2.72,4.17,5.38,249,16,82.1,106,107,2.5,1.68,1,2,1.9,77.6,83,9,4.6,108,43.4,4,38,,85.5,84.9,81.0,82.8,,,0,1,109,11.1,109.4,0.9,1,0,0,0,7,0,0.0,638,6.0,72.4,105,117,11.6,3.93,0,7,5.5,59.8,70,74,7.9,141,56.6,6,49,,88.0,82.1,82.1,71.5,,92.2,4,4,153,6.8,83.1,3.5,5,19,0,8,4,9,5.9,955,8.2
Sam Howell,97599,QB,WAS,5,2.9,2.61,3.5,5.69,236,32,90.2,82,87,4.0,1.92,4,2,2.2,79.3,69,21,6.8,90,38.1,5,27,,84.5,74.6,80.3,73.2,,,1,1,94,14.3,101.7,3.3,3,0,0,0,3,1,1.1,592,6.8,70.3,91,104,11.7,3.53,2,7,6.2,59.6,62,68,3.1,145,61.4,2,39,,62.3,57.1,82.4,54.0,,70.2,0,5,162,38.2,71.7,17.9,26,15,0,11,3,7,4.3,757,7.3
Matthew Stafford,4924,QB,LA,5,2.58,2.47,2.98,4.86,224,26,77.0,100,104,5.7,1.87,1,2,1.9,72.1,75,23,2.6,106,47.3,2,41,,85.5,74.5,80.9,73.1,,,1,0,109,8.7,105.0,1.9,2,0,0,2,5,2,1.8,669,6.4,65.9,88,98,13.0,3.25,3,12,11.5,50.0,49,56,15.5,117,52.2,9,37,,86.4,80.7,81.3,79.5,,61.6,0,5,124,19.6,56.0,9.4,11,8,0,7,0,3,2.4,788,8.0
Kirk Cousins,7102,QB,MIN,5,2.73,2.67,3.36,4.5,218,18,80.0,85,87,5.0,1.92,0,0,0.0,73.6,64,23,5.9,91,41.7,4,30,,84.6,66.2,80.3,65.5,,,2,2,95,17.4,92.9,4.4,4,0,0,0,4,3,3.2,496,5.7,76.6,107,116,10.7,3.31,0,4,3.1,62.9,73,45,11.0,127,58.3,9,43,,39.5,81.5,81.8,80.4,,54.2,4,2,138,20.0,109.2,7.1,9,2,0,5,9,2,1.4,1002,8.6
Russell Wilson,7077,QB,DEN,6,3.14,2.9,4.28,4.6,216,10,81.8,77,79,4.3,1.88,2,1,1.2,77.2,61,10,3.2,81,37.5,2,23,,84.0,73.0,80.1,71.8,,,0,2,88,20.0,101.5,2.5,2,0,0,0,5,0,0.0,464,5.9,74.1,85,103,11.6,3.9,4,9,8.3,59.2,61,76,3.2,135,62.5,2,40,,27.6,66.2,81.9,65.0,,63.9,2,2,144,22.4,100.0,12.6,17,15,0,12,7,8,5.6,841,8.2
Joe Burrow,28022,QB,CIN,5,2.35,2.24,3.08,4.78,212,7,76.3,131,139,5.8,1.83,2,2,1.4,66.9,93,26,7.0,142,67.0,7,42,,87.6,72.8,82.0,71.6,,,5,1,146,11.5,81.4,2.1,3,0,0,1,2,1,0.7,726,5.2,68.1,47,57,9.2,3.4,1,3,4.8,52.6,30,31,6.3,70,33.0,2,15,,83.0,58.7,79.5,60.1,,52.7,1,2,76,25.8,72.2,11.4,8,5,0,8,3,2,2.6,319,5.6
Trevor Lawrence,77632,QB,JAX,5,2.51,2.28,3.37,4.76,211,15,80.3,117,121,5.3,1.8,4,4,3.3,71.1,86,17,8.5,122,57.8,8,37,,61.0,82.3,81.3,80.4,,,0,0,124,5.9,87.9,0.8,1,0,0,0,0,3,2.4,771,6.4,73.1,52,59,12.8,3.57,3,7,10.0,59.3,35,49,7.9,87,41.2,3,31,,28.6,84.0,80.5,81.9,,69.5,1,2,98,24.5,100.2,13.8,12,16,0,3,5,3,3.1,489,8.3
C.J. Stroud,129759,QB,HST,5,2.79,2.72,3.35,4.45,202,13,77.4,93,95,5.9,1.96,0,0,0.0,69.5,66,21,8.3,96,47.5,6,38,,84.9,80.1,80.5,78.3,,,2,0,100,4.8,108.0,1.0,1,0,0,0,4,1,1.0,776,8.2,71.1,76,86,11.7,3.61,2,4,4.3,55.8,48,47,11.1,104,51.5,6,34,,29.9,66.5,80.9,64.1,,70.4,0,0,110,21.3,93.4,9.6,10,8,0,8,3,4,3.6,685,8.0
Daniel Jones,39395,QB,NYG,5,2.84,2.53,3.31,4.71,197,21,82.6,92,93,4.5,1.88,0,0,0.0,80.6,75,22,1.3,99,50.3,1,27,,85.1,67.4,80.6,66.6,,,1,3,103,27.3,81.0,6.1,6,0,0,0,1,2,1.9,539,5.8,66.7,48,58,10.1,3.81,3,4,6.6,50.0,29,69,9.4,98,49.7,3,22,,24.8,59.9,80.7,47.5,,85.7,1,3,105,31.9,52.7,22.4,22,18,0,6,1,6,5.7,345,5.9
Josh Allen,46601,QB,BUF,5,2.94,2.76,3.82,4.89,195,4,92.2,77,80,2.6,1.8,2,0,0.0,83.8,67,3,5.6,81,41.5,4,21,,83.7,70.3,79.8,69.3,,,0,1,83,33.3,84.8,1.2,1,0,0,1,0,1,1.2,449,5.6,74.4,86,94,14.2,3.75,1,10,10.0,64.9,61,57,4.7,114,58.5,3,51,,86.6,91.9,81.4,90.3,,79.2,1,4,126,14.0,119.9,7.0,8,12,0,6,11,5,4.0,958,10.2
