DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,Pass Att,Completions,Pass Yds,Pass TD,Pass Int,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD
36554820,Alvin Kamara,RB/FLEX,NO,ATL,,8100,,24.63,,24.63,3.0407407407407407,25.91,26.169535458921988,0,100,21.5122,47.0554,24.6321,17.2,23.3,30.7125,35.1,43.2,53.5003,21.6064,14.5,20.2,27.3,31.5,39.3,49.1505,20.8504,14.375,19.8,26.1125,29.9,36.7,45.401,24.6321,17.2,23.3,30.7125,35.1,43.2,53.5003,10.0817,9.4859,8.64947,10.0817,0,0,0,0,0,6.05146,51.6399,0.223714,17.895,73.0621,0.685457
36554974,Saquon Barkley,RB/FLEX,PHI,DAL,,8300,,22.37,,22.37,2.6951807228915663,12.74,12.909076772232488,0,100,26.3304,44.4206,22.3727,14.8875,21.4,28.7,32.8,40.5013,49,21.2303,13.9,20.2,27.5,31.5,39.2,47.4,19.7866,13.2,18.7,25.1,29,36.4,44.4,22.3727,14.8875,21.4,28.7,32.8,40.5013,49,9.99487,9.81113,8.88628,9.99487,0,0,0,0,0,2.28473,19.7389,0.109022,24.6237,101.255,0.999356
36554857,Christian McCaffrey,RB/FLEX,SF,TB,Q,8000,,22.11,,22.11,2.76375,16.01,16.49876172375842,0,100,29.0572,50.8492,22.1074,14.5,20.9,28.3,33,41.2,50.9782,20.4499,13.1,19,26.4,31.1,39,48.303,19.6978,12.9,18.6,25.3,29.4,36.55,45.302,22.1074,14.5,20.9,28.3,33,41.2,50.9782,10.2708,9.94589,9.18061,10.2708,0,0,0,0,0,3.31506,32.9802,0.22338,15.8034,77.0011,0.96194
36555520,Kyren Williams,RB/FLEX,LAR,MIA,,7800,,21.68,,21.68,2.77948717948718,16.17,16.7166073419702,0,100,25.2414,49.3862,21.6836,14.1,20.6,28.1,32.5,40.1,49.0005,20.3642,12.9,19.1,26.7,31,38.4,47.101,19.1568,12.5,18.1,24.7,28.5,35.5575,44.1015,21.6836,14.1,20.6,28.1,32.5,40.1,49.0005,10.0806,9.86513,8.9397,10.0806,0,0,0,0,0,2.63877,19.6281,0.127057,20.4056,93.7186,0.973343
36555655,Bijan Robinson,RB/FLEX,ATL,NO,,7700,,21.5,,21.5,2.792207792207792,14.58,14.786904806683129,0,100,25.5432,47.0554,21.5011,14.6,20.2,27.2,31.3,38.905,47.603,19.3439,12.6,18,24.7,28.9,36.1525,44.8505,18.6603,12.5,17.6,23.5125,27.3075,33.7762,41.8505,21.5011,14.6,20.2,27.2,31.3,38.905,47.603,9.37767,8.97848,8.2671,9.37767,0,0,0,0,0,4.3144,33.731,0.213286,17.8358,75.7217,0.729914
36555252,Justin Jefferson,WR/FLEX,MIN,JAX,,8800,,21.44,,21.44,2.4363636363636365,9.55,9.745768015681909,0,100,25.841,43.3966,21.4351,13.5,20.4,28.2125,32.5,40.1,48.601,17.9121,10.6,17.1,24.1,27.9,34.8025,42.7,16.7223,10.6,15.675,21.7,25.3,31.9,39.7,21.4351,13.5,20.4,28.2125,32.5,40.1,48.601,10.2627,9.25612,8.21377,10.2627,0,0,0,0,0,7.0459,92.0432,0.64202,0.25108,1.01285,0.01036
36555492,Breece Hall,RB/FLEX,NYJ,ARI,,7600,,20.91,,20.91,2.751315789473684,16.04,16.42720742957347,0,100,23.968,46.7346,20.9087,13.9,19.7,26.5,30.7,38.1,47.8758,18.9606,12.2,17.675,24.3,28.3575,35.605,44.501,18.3666,12.1,17.4,23.5,27.1075,33.6,41.5015,20.9087,13.9,19.7,26.5,30.7,38.1,47.8758,9.42708,9.02696,8.36033,9.42708,0,0,0,0,0,3.89628,36.3589,0.200875,17.0211,71.598,0.75175
36555471,Jayden Daniels,QB,WAS,PIT,,7500,,20.6,,20.6,2.7466666666666666,3.4,3.4134309665643707,0,100,23.6714,46.024,20.6017,14.88,19.86,25.48,28.84,35.042,42.9208,20.6017,14.88,19.86,25.48,28.84,35.042,42.9208,20.1818,14.78,19.54,24.88,28,33.561,40.3602,20.6017,14.88,19.86,25.48,28.84,35.042,42.9208,7.98149,7.98149,7.5062,7.98149,30.8827,20.4838,228.859,1.33442,0.6839,0,0,0,8.29956,41.6878,0.39354
36554793,Aaron Jones,RB/FLEX,MIN,JAX,,6700,,20.54,,20.54,3.065671641791045,26.58,28.125988655728886,0,100,25.841,43.3966,20.5435,13.4375,19.2,26.4,30.4,37.8,46.104,18.9657,11.9,17.5,24.6,28.7,35.6,43.901,18.0515,11.8,16.9,23.0625,26.7,33.2,41.1017,20.5435,13.4375,19.2,26.4,30.4,37.8,46.104,9.26873,8.97297,8.16465,9.26873,0,0,0,0,0,3.15566,27.477,0.15382,19.5998,84.1719,0.74392
36554935,Josh Allen,QB,BUF,IND,,7700,,20.29,,20.29,2.635064935064935,8.41,8.361072729876458,0,100,26.1182,47.156000000000006,20.2872,14.52,19.58,25.165,28.5415,34.7205,41.3002,20.2872,14.52,19.58,25.165,28.5415,34.7205,41.3002,19.8912,14.46,19.3,24.6,27.68,33.241,39.1802,20.2872,14.52,19.58,25.165,28.5415,34.7205,41.3002,7.91237,7.91237,7.47999,7.91237,32.2649,21.9989,232.589,1.6074,0.594178,0,0,0,4.78507,24.8995,0.396422
