,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Boston College,2022-02-01 18:00:00,300,60.00,8.5,18.18,119.0,16.67,23.8,55.3,63.8
Virginia,2022-02-01 18:00:00,-400,5.00,-8.5,18.18,119.0,20.00,76.2,63.8,55.3
Creighton,2022-02-01 18:30:00,375,75.00,10.5,18.18,134.5,18.18,20.1,62.0,72.5
Connecticut,2022-02-01 18:30:00,-510,3.92,-10.5,18.18,134.5,18.18,79.9,72.5,62.0
South Carolina,2022-02-01 19:00:00,270,54.00,8.0,18.18,139.5,19.05,25.8,65.8,73.8
Mississippi State,2022-02-01 19:00:00,-350,5.71,-8.0,18.18,139.5,17.39,74.2,73.8,65.8
Texas A&M,2022-02-01 19:00:00,525,105.00,11.5,18.18,131.5,18.18,15.3,60.0,71.5
Tennessee,2022-02-01 19:00:00,-760,2.63,-11.5,18.18,131.5,18.18,84.7,71.5,60.0
Michigan State,2022-02-01 19:00:00,-180,11.11,-4.0,19.05,138.5,18.18,62.1,71.3,67.3
Maryland,2022-02-01 19:00:00,155,31.00,4.0,17.39,138.5,18.18,37.9,67.3,71.3
Bowling Green,2022-02-01 19:00:00,-350,5.71,-9.0,18.18,158.5,20.00,74.2,83.8,74.8
Central Michigan,2022-02-01 19:00:00,270,54.00,9.0,18.18,158.5,16.67,25.8,74.8,83.8
Toledo,2022-02-01 19:00:00,-590,3.39,-10.5,18.18,148.5,20.00,81.8,79.5,69.0
Eastern Michigan,2022-02-01 19:00:00,425,85.00,10.5,18.18,148.5,16.67,18.2,69.0,79.5
Kent State,2022-02-01 19:00:00,110,22.00,2.0,18.18,138.0,17.39,45.7,68.0,70.0
Miami (OH),2022-02-01 19:00:00,-130,15.38,-2.0,18.18,138.0,19.05,54.3,70.0,68.0
Ball State,2022-02-01 19:00:00,575,115.00,13.0,17.39,145.5,18.18,14.2,66.3,79.3
Ohio,2022-02-01 19:00:00,-850,2.35,-13.0,19.05,145.5,18.18,85.8,79.3,66.3
Kansas,2022-02-01 19:00:00,-180,11.11,-4.5,18.18,137.5,16.67,62.1,71.0,66.5
Iowa State,2022-02-01 19:00:00,155,31.00,4.5,18.18,137.5,20.00,37.9,66.5,71.0
Davidson,2022-02-01 19:00:00,145,29.00,3.0,19.05,137.0,18.18,39.6,67.0,70.0
St. Bonaventure,2022-02-01 19:00:00,-165,12.12,-3.0,17.39,137.0,18.18,60.4,70.0,67.0
Richmond,2022-02-01 19:00:00,-380,5.26,-8.0,18.18,139.5,18.18,75.5,73.8,65.8
Duquesne,2022-02-01 19:00:00,290,58.00,8.0,18.18,139.5,18.18,24.5,65.8,73.8
Northern Illinois,2022-02-01 19:00:00,,,,,,,,,
Western Michigan,2022-02-01 19:00:00,,,,,,,,,
Canisius,2022-02-01 19:00:00,155,31.00,4.0,18.18,134.5,16.67,37.9,65.3,69.3
Siena,2022-02-01 19:00:00,-180,11.11,-4.0,18.18,134.5,20.00,62.1,69.3,65.3
North Carolina,2022-02-01 20:00:00,-160,12.50,-3.0,16.67,144.5,16.67,59.6,73.8,70.8
Louisville,2022-02-01 20:00:00,140,28.00,3.0,20.00,144.5,20.00,40.4,70.8,73.8
Seton Hall,2022-02-01 20:30:00,-280,7.14,-7.0,18.18,151.5,20.00,70.5,79.3,72.3
Georgetown,2022-02-01 20:30:00,225,45.00,7.0,18.18,151.5,16.67,29.5,72.3,79.3
Air Force,2022-02-01 21:00:00,750,150.00,14.0,20.00,125.5,18.18,11.3,55.8,69.8
Utah State,2022-02-01 21:00:00,-1250,1.60,-14.0,16.67,125.5,18.18,88.7,69.8,55.8
Alabama,2022-02-01 21:00:00,220,44.00,7.0,17.39,155.5,19.05,29.9,74.3,81.3
Auburn,2022-02-01 21:00:00,-275,7.27,-7.0,19.05,155.5,17.39,70.1,81.3,74.3
Mississippi,2022-02-01 21:00:00,700,140.00,13.5,18.18,128.0,18.18,12.0,57.3,70.8
Louisiana State,2022-02-01 21:00:00,-1125,1.78,-13.5,18.18,128.0,18.18,88.0,70.8,57.3
Nebraska,2022-02-01 21:00:00,850,170.00,14.5,18.18,144.5,18.18,10.1,65.0,79.5
Michigan,2022-02-01 21:00:00,-1500,1.33,-14.5,18.18,144.5,18.18,89.9,79.5,65.0
Texas,2022-02-01 21:00:00,180,36.00,5.0,19.05,123.0,18.18,34.2,59.0,64.0
Texas Tech,2022-02-01 21:00:00,-220,9.09,-5.0,17.39,123.0,18.18,65.8,64.0,59.0
Providence,2022-02-01 21:00:00,135,27.00,3.5,17.39,144.5,18.18,41.2,70.5,74.0
St. John's,2022-02-01 21:00:00,-155,12.90,-3.5,19.05,144.5,18.18,58.8,74.0,70.5
Tulsa,2022-02-01 21:00:00,250,50.00,7.5,18.18,135.5,19.05,27.3,64.0,71.5
