tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2022,2022,BMW Championship,28,"Cantlay, Patrick",15466,1,1,Wilmington Country Club,901,71,68,1.353,-0.016,-0.474,1.388,0.897,2.25,316.5,0.786,0.611,0.857,26.684,29.901
pga,2022,2022,BMW Championship,28,"Cantlay, Patrick",15466,1,2,Wilmington Country Club,901,71,68,0.688,-0.44,1.08,0.658,1.297,1.985,314.9,0.571,0.722,0.8,42.307,25.867
pga,2022,2022,BMW Championship,28,"Cantlay, Patrick",15466,1,3,Wilmington Country Club,901,71,65,-1.493,0.928,4.502,0.929,6.359,4.866,317.2,0.643,0.889,1.0,48.659,19.105
pga,2022,2022,BMW Championship,28,"Cantlay, Patrick",15466,1,4,Wilmington Country Club,901,71,69,1.628,-0.835,0.066,1.036,0.268,1.896,323.3,0.571,0.722,0.5,42.754,31.898
pga,2022,2022,BMW Championship,28,"Stallings, Scott",12359,2,1,Wilmington Country Club,901,71,68,0.873,0.038,1.625,-0.285,1.377,2.25,308.7,0.5,0.889,1.0,34.025,22.623
pga,2022,2022,BMW Championship,28,"Stallings, Scott",12359,2,2,Wilmington Country Club,901,71,68,0.467,0.196,0.939,0.384,1.518,1.985,312.4,0.643,0.778,0.4,23.848,27.118
pga,2022,2022,BMW Championship,28,"Stallings, Scott",12359,2,3,Wilmington Country Club,901,71,66,2.397,-0.018,0.517,0.97,1.469,3.866,321.8,0.643,0.778,0.75,58.215,24.3
pga,2022,2022,BMW Championship,28,"Stallings, Scott",12359,2,4,Wilmington Country Club,901,71,69,-1.619,-0.412,2.972,0.954,3.515,1.896,313.6,0.643,0.944,0.0,31.722,22.432
pga,2022,2022,BMW Championship,28,"Scheffler, Scottie",18417,T3,1,Wilmington Country Club,901,71,68,3.323,-0.583,-0.787,0.298,-1.073,2.25,313.4,0.571,0.722,0.429,58.272,36.509
pga,2022,2022,BMW Championship,28,"Scheffler, Scottie",18417,T3,2,Wilmington Country Club,901,71,67,-0.215,-0.135,2.757,0.579,3.2,2.985,311.6,0.643,0.833,1.0,42.118,26.099
pga,2022,2022,BMW Championship,28,"Scheffler, Scottie",18417,T3,3,Wilmington Country Club,901,71,68,-1.229,0.092,1.85,1.153,3.095,1.866,310.3,0.714,0.889,0.5,22.565,28.044
pga,2022,2022,BMW Championship,28,"Scheffler, Scottie",18417,T3,4,Wilmington Country Club,901,71,70,-0.857,-0.038,1.619,0.171,1.753,0.896,311.3,0.571,0.833,0.5,57.071,33.106
pga,2022,2022,BMW Championship,28,"Schauffele, Xander",19895,T3,1,Wilmington Country Club,901,71,67,0.853,0.145,2.221,0.032,2.397,3.25,303.1,0.714,0.778,0.8,40.946,23.231
pga,2022,2022,BMW Championship,28,"Schauffele, Xander",19895,T3,2,Wilmington Country Club,901,71,69,-1.597,-1.017,2.898,0.702,2.582,0.985,319.5,0.571,0.778,0.5,49.355,23.7
pga,2022,2022,BMW Championship,28,"Schauffele, Xander",19895,T3,3,Wilmington Country Club,901,71,66,1.96,-0.262,0.997,1.171,1.906,3.866,310.0,0.786,0.778,0.8,41.122,32.134
pga,2022,2022,BMW Championship,28,"Schauffele, Xander",19895,T3,4,Wilmington Country Club,901,71,71,0.273,-0.984,-0.497,1.103,-0.377,-0.104,318.2,0.643,0.778,0.5,41.488,36.143
pga,2022,2022,BMW Championship,28,"Lee, K.H.",13497,T5,1,Wilmington Country Club,901,71,68,1.999,0.746,-0.191,-0.303,0.251,2.25,304.3,0.5,0.667,0.714,44.887,30.148
pga,2022,2022,BMW Championship,28,"Lee, K.H.",13497,T5,2,Wilmington Country Club,901,71,70,-0.255,0.013,-0.33,0.558,0.24,-0.015,309.5,0.643,0.722,0.714,23.826,28.976
pga,2022,2022,BMW Championship,28,"Lee, K.H.",13497,T5,3,Wilmington Country Club,901,71,71,-1.498,-0.857,0.451,0.77,0.364,-1.134,304.0,0.714,0.722,0.333,32.029,33.501
pga,2022,2022,BMW Championship,28,"Lee, K.H.",13497,T5,4,Wilmington Country Club,901,71,65,3.875,-1.136,2.142,1.014,2.021,5.896,303.4,0.857,0.889,0.5,93.823,32.555
