Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3000967362,snizby (15/20),0,212.40001,C Roope Hintz C Mikael Granlund UTIL Filip Forsberg W Matt Duchene W Jason Robertson W Joe Pavelski D Jakob Chychrun D Mattias Ekholm G Braden Holtby,,Kirill Kaprizov,W,27.05%,18
2,3000858946,triggerhappybunnies,0,211.9,C Roope Hintz C Ryan Hartman W Kirill Kaprizov W Filip Forsberg W Matt Duchene UTIL Joe Pavelski D Justin Faulk D Sean Durzi G Ilya Samsonov,,Ryan Hartman,C,25.20%,20.5
3,3001159243,LieutenantStan (2/6),0,207.3,C Roope Hintz C Mikael Granlund W Filip Forsberg W Matt Duchene W Jason Robertson UTIL Joe Pavelski D MacKenzie Weegar D John Klingberg G Juuse Saros,,Taylor Hall,W,24.86%,11
3,3001370886,HappyValleyCFO (2/20),0,207.3,C Roope Hintz C Mikael Granlund W Filip Forsberg W Matt Duchene UTIL Jason Robertson W Joe Pavelski D MacKenzie Weegar D John Klingberg G Juuse Saros,,David Pastrnak,UTIL,24.37%,25
5,3000929096,volpez7 (16/20),0,205.2,C Sam Bennett C Roope Hintz W Jonathan Huberdeau UTIL Jason Robertson W Joe Pavelski W Sam Reinhart D Aaron Ekblad D Justin Faulk G Alex Nedeljkovic,,Patrice Bergeron,C,22.42%,14.2
6,3000757054,ddro287 (5/20),0,204.40001,C Roope Hintz C Mikael Granlund W Filip Forsberg UTIL Matt Duchene W Jason Robertson W Joe Pavelski D Mario Ferraro D John Klingberg G Braden Holtby,,Alex Ovechkin,W,21.43%,4.5
7,3000782276,KelvinDubs (6/20),0,203.8,C Sam Bennett C Mikael Granlund UTIL Filip Forsberg W Matt Duchene W Sam Reinhart W Patric Hornqvist D Aaron Ekblad D Erik Cernak G Juuse Saros,,Kevin Fiala,UTIL,16.60%,10.5
8,3001237530,atrain00 (9/20),0,201.8,C Roope Hintz C Mikael Granlund W Filip Forsberg W Matt Duchene UTIL Jason Robertson W Joe Pavelski D John Carlson D Mattias Ekholm G Braden Holtby,,Pavel Buchnevich,W,16.18%,8
9,3000837512,Dylan42079 (1/20),0,201.6,C Roope Hintz C Mikael Granlund W Filip Forsberg W Matt Duchene W Jason Robertson UTIL Joe Pavelski D Jonas Brodin D John Klingberg G Jordan Binnington,,Jonas Brodin,D,13.20%,17.8
10,3001035267,jameslinx9 (2/20),0,198.8,C Roope Hintz C Mikael Granlund W Filip Forsberg UTIL Matt Duchene W Jason Robertson W Joe Pavelski D P.K. Subban D Jonas Brodin G Jordan Binnington,,Timo Meier,W,12.62%,30.3
