Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2961047275,bamaboi1505 (19/20),0,268.09998,S-FLEX Taulia Tagovailoa QB Aidan O'Connell FLEX Kenneth Walker III RB Braelon Allen RB Dillon Johnson WR Garrett Wilson WR Jayden Reed WR Rakim Jarrett,,Kenneth Walker III,RB,39.94%,34.2
2,2960779551,jlowery73 (13/20),0,265.34003,QB C.J. Stroud S-FLEX Aidan O'Connell RB Braelon Allen RB Dillon Johnson WR Garrett Wilson FLEX David Bell WR Jayden Reed WR Will Mallory,,David Bell,WR,31.62%,25
3,2960989139,coachrr (2/20),0,259.3,S-FLEX Taulia Tagovailoa QB Aidan O'Connell RB Kenneth Walker III RB Tre Siggers WR Garrett Wilson WR David Bell WR Jayden Reed FLEX Rakim Jarrett,,Rakim Jarrett,FLEX,27.25%,23.5
4,2961173263,Sillyhats (10/20),0,258.06,QB Jordan Travis S-FLEX Taulia Tagovailoa RB Braelon Allen RB Dillon Johnson WR Garrett Wilson WR Chris Olave FLEX Jayden Reed WR Charlie Kolar,,Braelon Allen,RB,24.65%,40.9
5,2960733102,kroegetr (6/20),0,257.86002,QB Jordan Travis S-FLEX Taulia Tagovailoa FLEX Kenneth Walker III RB Braelon Allen RB Dillon Johnson WR Garrett Wilson WR Rakim Jarrett WR Charlie Kolar,,Taulia Tagovailoa,QB,24.45%,25.6
6,2960921809,theflash09010 (2/2),0,257.80002,S-FLEX Will Rogers QB Taulia Tagovailoa RB Kenneth Walker III RB Braelon Allen WR Garrett Wilson FLEX Rakim Jarrett WR Charlie Kolar WR Austin Williams,,Jayden Reed,FLEX,23.42%,34.4
7,2960891836,kriemersma (3/6),0,257.59998,QB Taulia Tagovailoa S-FLEX Aidan O'Connell RB Kenneth Walker III RB Braelon Allen WR Garrett Wilson WR David Bell FLEX Chigoziem Okonkwo WR Austin Williams,,Aidan O'Connell,S-FLEX,22.36%,34.6
8,2961247505,bv13 (17/20),0,256.9,S-FLEX Taulia Tagovailoa QB Aidan O'Connell RB Kenneth Walker III RB Braelon Allen WR Garrett Wilson FLEX David Bell WR Rakim Jarrett WR Malik Heath,,Jaylan Knighton,RB,21.50%,17.6
9,2960974834,hhh711 (5/20),0,256.69998,S-FLEX Taulia Tagovailoa QB Aidan O'Connell RB Kenneth Walker III RB Braelon Allen WR Garrett Wilson WR David Bell FLEX Rakim Jarrett WR Will Mallory,,Leddie Brown,RB,20.48%,15.8
10,2959107457,nickfromcwe (10/20),0,254.7,S-FLEX Taulia Tagovailoa QB Aidan O'Connell RB Breece Hall RB Braelon Allen WR David Bell WR Cedric Tillman FLEX Chigoziem Okonkwo WR Jackson Anthrop,,Breece Hall,RB,18.09%,28.6
11,2960989142,coachrr (5/20),0,253.76003,QB Jordan Travis S-FLEX Taulia Tagovailoa RB Kenneth Walker III RB Braelon Allen WR Garrett Wilson FLEX Rakim Jarrett WR Charlie Kolar WR Mike Harley,,Tyler Van Dyke,QB,16.73%,29.74
12,2960779935,Dukmar (2/20),0,253.38,QB Will Rogers S-FLEX Payton Thorne RB Braelon Allen RB Dillon Johnson WR Garrett Wilson WR David Bell FLEX Jayden Reed WR Austin Williams,,Chris Olave,WR,15.93%,23.5
13,2961117815,trevor03599 (1/20),0,252.39998,QB Taulia Tagovailoa S-FLEX Aidan O'Connell RB Kenneth Walker III RB Braelon Allen WR David Bell FLEX Jayden Reed WR Rakim Jarrett WR Chigoziem Okonkwo,,Bo Melton,WR,15.05%,11.3
14,2961039779,Kylekohanski (9/20),0,252.16,S-FLEX Jordan Travis QB Aidan O'Connell RB Breece Hall RB Dillon Johnson WR Garrett Wilson WR David Bell FLEX Jayden Reed WR Rakim Jarrett,,Dillon Johnson,RB,14.13%,20.2
15,2959107448,nickfromcwe (1/20),0,250.66,S-FLEX Jordan Travis QB Aidan O'Connell RB Breece Hall RB Braelon Allen FLEX Jayden Reed WR Reggie Roberson Jr. WR Chigoziem Okonkwo WR Jackson Anthrop,,Tanner Mordecai,QB,13.25%,32.38
16,2961028688,pigskinpimpss (17/20),0,250.42001,QB C.J. Stroud S-FLEX Payton Thorne RB Braelon Allen RB Dillon Johnson WR Garrett Wilson FLEX Jayden Reed WR Charlie Kolar WR Austin Williams,,Tank Bigsby,RB,13.19%,16.1
17,2955681544,desertfires9321 (5/20),0,249.34001,QB Will Rogers S-FLEX Brock Purdy RB Kenneth Walker III RB Trestan Ebner WR Garrett Wilson WR David Bell FLEX Rakim Jarrett WR Charlie Kolar,,Will Rogers,S-FLEX,11.82%,42.9
18,2961306518,rpena917 (7/7),0,248.25998,S-FLEX Will Rogers QB Jordan Travis FLEX Braelon Allen RB Ky Thomas RB Dillon Johnson WR Garrett Wilson WR Jayden Reed WR Austin Williams,,Caleb Williams,QB,11.26%,11.54
19,2961039780,Kylekohanski (10/20),0,247.88,S-FLEX Payton Thorne QB Aidan O'Connell RB Breece Hall RB Dillon Johnson WR Garrett Wilson WR David Bell WR Jayden Reed FLEX Rakim Jarrett,,TreVeyon Henderson,FLEX,10.95%,23.2
19,2961255967,kylewest5 (6/20),0,247.88,S-FLEX Payton Thorne QB Aidan O'Connell RB Breece Hall RB Dillon Johnson WR Garrett Wilson WR David Bell WR Jayden Reed FLEX Rakim Jarrett,,Payton Thorne,S-FLEX,10.14%,26.88
21,2960977224,Droopy713,0,247.8,QB Taulia Tagovailoa FLEX Braelon Allen RB Hassan Haskins RB Leddie Brown WR Garrett Wilson WR David Bell S-FLEX Rakim Jarrett WR Chigoziem Okonkwo,,Gerry Bohanon,QB,9.96%,33.38
21,2959603364,gmorp123nice (5/7),0,247.79999,QB Aidan O'Connell RB Breece Hall RB Kenneth Walker III FLEX Braelon Allen S-FLEX Dillon Johnson WR Cedric Tillman WR Rakim Jarrett WR Jackson Anthrop,,Tyquan Thornton,WR,9.79%,14.1
21,2959774070,willhank79 (2/13),0,247.79999,S-FLEX Taulia Tagovailoa QB Aidan O'Connell RB TreVeyon Henderson RB Braelon Allen FLEX Hassan Haskins WR Jayden Reed WR Chigoziem Okonkwo WR Jackson Anthrop,,Abram Smith,RB,9.38%,17.8
24,2959655054,kong08 (3/20),0,247.76001,QB Jordan Travis S-FLEX Taulia Tagovailoa RB Kenneth Walker III RB Jaylan Knighton WR Garrett Wilson FLEX Rakim Jarrett WR Chigoziem Okonkwo WR Jackson Anthrop,,C.J. Stroud,QB,8.90%,37.34
25,2961321086,GQue8 (6/11),0,247.7,QB Taulia Tagovailoa S-FLEX Aidan O'Connell RB TreVeyon Henderson FLEX Braelon Allen RB Dillon Johnson WR Garrett Wilson WR David Bell WR Rakim Jarrett,,Hassan Haskins,RB,8.83%,28.1
