"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","course_fit","own_change","adj_own","one","date","tournament"
"1","Jon Rahm",27979131,11400,104.92,76.56,19.9,95.5,59.5,66.7,8.8,75.5,0.5,25.51,0.624,2,0.226,32,0.951,5,0.808,6,2.609,2,14.8,18,0.013,149,2.631,28,0.015,-0.044,0.002,0.005,-0.04,0.051,0.015,0.138,0.204,2.788,0.8891,0.6124,0.4367,0.2915,0.0923,8.1,-0.76,23.27,2.62,11.41,35,1,2023-05-18,"2023-05-18 PGA Championship"
"2","Scottie Scheffler",27979132,11200,100.73,76.24,22.8,94.5,58.5,69.7,10.4,80.2,0.93,27.5,0.129,87,0.275,15,1.247,1,1.114,1,2.764,1,13.16,30,0.049,58,2.499,26,0.021,0.053,-0.044,0.236,-0.04,0.046,0.058,0.131,0.234,3.115,0.9165,0.6894,0.5192,0.3636,0.1276,11.39,3.32,25.62,2.29,11.96,35,1,2023-05-18,"2023-05-18 PGA Championship"
"3","Rory McIlroy",27979133,10700,79.89,69.89,10.1,86.85,53.65,60.7,6.4,67.1,0.23,16.57,0.184,66,0.25,22,0.697,11,0.909,3,2.039,5,23.632,2,-0.044,333,1.98,34,-0.005,-0.102,-0.059,0.225,0.01,0.082,-0.052,0.084,0.114,2.306,0.843,0.4854,0.3145,0.1883,0.046,4.3,-2,13.98,1.39,5.26,20,1,2023-05-18,"2023-05-18 PGA Championship"
"4","Collin Morikawa",27979134,10300,75.46,61.46,7.4,80,26,57.1,5.1,62.2,0.06,13.23,-0.064,215,0.024,157,1.027,2,0.618,11,1.605,13,0.974,187,0.087,14,1.458,26,0.023,0.009,0.014,0.1,-0.04,0.003,0.103,0.084,0.191,1.915,0.7904,0.3861,0.2283,0.1276,0.0284,2.76,-2.34,10.9,0.9,2.88,15,1,2023-05-18,"2023-05-18 PGA Championship"
"5","Brooks Koepka",27979135,10100,80.5,63.45,14.6,81.5,27,53.2,4.1,57.3,-0.12,15.54,0.189,64,0.03,153,0.487,31,0.492,23,1.197,27,11.859,35,-0.022,275,0.963,33,-0.001,-0.012,0.232,0.015,-0.028,0.041,-0.027,0.055,0.069,1.598,0.7487,0.3115,0.1695,0.0883,0.0161,1.59,-2.98,15.16,0.35,0.09,15,1,2023-05-18,"2023-05-18 PGA Championship"
"6","Xander Schauffele",27979136,9900,89.38,71.21,24.1,87.5,55,63.3,7.5,70.8,0.87,22.04,0.47,12,0.275,14,1.026,3,0.462,29,2.233,4,6.378,97,0.018,131,2.28,29,0.011,0.047,-0.026,-0.079,-0.04,0.022,0.022,0.139,0.183,2.543,0.8638,0.5434,0.3623,0.2247,0.0626,6.32,2.24,22.86,2.18,10.93,35,1,2023-05-18,"2023-05-18 PGA Championship"
"7","Patrick Cantlay",27979137,9700,91.7,70.2,18.7,87,54,62,7.1,69.1,0.84,17.93,0.375,26,0.279,11,0.789,7,0.836,5,2.279,3,9.433,55,0.042,71,2.128,31,0.005,0.019,-0.01,0.136,-0.04,0.033,0.051,0.11,0.193,2.408,0.8538,0.5074,0.3311,0.2016,0.0502,5.18,1.55,18.24,2.12,10.32,30,1,2023-05-18,"2023-05-18 PGA Championship"
"8","Jordan Spieth",27979138,9600,73.5,59.64,3.5,78.5,25,55.3,4.5,59.8,0.21,5.67,0.291,40,0.31,5,0.652,15,0.225,78,1.479,15,7.837,74,-0.039,323,1.465,29,0.01,0.002,-0.018,0.019,-0.051,0.027,-0.047,0.097,0.077,1.726,0.7602,0.339,0.1927,0.1021,0.0211,2.2,-1.22,4.8,1.06,4.16,10,1,2023-05-18,"2023-05-18 PGA Championship"
"9","Tony Finau",27979139,9500,87,67.87,19.5,85,51,60.4,6.4,66.8,0.77,17.47,0.285,41,0.23,30,0.969,4,0.528,20,2.012,6,8.071,73,0.025,111,2.088,33,-0.004,-0.039,-0.03,-0.004,-0.04,0.028,0.029,0.117,0.174,2.284,0.8397,0.4762,0.2994,0.1751,0.04,4.21,0.98,18.28,1.78,8.5,25,1,2023-05-18,"2023-05-18 PGA Championship"
"10","Justin Thomas",27979140,9400,76.35,64.18,11.3,82,30.15,56.3,4.9,61.2,0.41,11.3,0.085,115,0.332,4,0.804,6,0.588,16,1.81,8,10.655,46,-0.007,217,1.567,30,0.01,0.045,-0.006,0.194,-0.04,0.037,-0.009,0.095,0.123,1.885,0.7904,0.3717,0.216,0.1167,0.0234,2.49,-0.55,11.3,1.27,5.44,15,1,2023-05-18,"2023-05-18 PGA Championship"
