player_name,sample_size,baseline,major_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Scheffler, Scottie",150,2.499,0.156,26,0.021,0.053,-0.044,0.236,-0.040,0.046,0.058,0.131,0.234,3.115,2.773,"PGA Championship","Oak Hill Country Club"
"Rahm, Jon",150,2.631,0.015,28,0.015,-0.044,0.002,0.005,-0.040,0.051,0.015,0.138,0.204,2.788,2.811,"PGA Championship","Oak Hill Country Club"
"Schauffele, Xander",150,2.280,0.168,29,0.011,0.047,-0.026,-0.079,-0.040,0.022,0.022,0.139,0.183,2.543,2.755,"PGA Championship","Oak Hill Country Club"
"Cantlay, Patrick",150,2.128,-0.024,31,0.005,0.019,-0.010,0.136,-0.040,0.033,0.051,0.110,0.193,2.408,2.765,"PGA Championship","Oak Hill Country Club"
"McIlroy, Rory",150,1.980,0.143,34,-0.005,-0.102,-0.059,0.225,0.010,0.082,-0.052,0.084,0.114,2.306,2.775,"PGA Championship","Oak Hill Country Club"
"Finau, Tony",150,2.088,0.137,33,-0.004,-0.039,-0.030,-0.004,-0.040,0.028,0.029,0.117,0.174,2.284,2.744,"PGA Championship","Oak Hill Country Club"
"Im, Sungjae",150,1.810,-0.006,25,0.027,0.010,-0.042,0.061,-0.040,0.001,0.084,0.094,0.180,2.000,2.776,"PGA Championship","Oak Hill Country Club"
"Day, Jason",150,1.599,0.101,35,-0.010,0.013,0.076,0.009,0.009,0.018,0.020,0.094,0.132,1.929,2.797,"PGA Championship","Oak Hill Country Club"
"Morikawa, Collin",150,1.458,0.159,26,0.023,0.009,0.014,0.100,-0.040,0.003,0.103,0.084,0.191,1.915,2.819,"PGA Championship","Oak Hill Country Club"
"Thomas, Justin",150,1.567,-0.008,30,0.010,0.045,-0.006,0.194,-0.040,0.037,-0.009,0.095,0.123,1.885,2.764,"PGA Championship","Oak Hill Country Club"
"Hovland, Viktor",150,1.437,0.083,25,0.025,0.040,0.007,0.170,-0.040,0.034,0.046,0.062,0.141,1.863,2.809,"PGA Championship","Oak Hill Country Club"
"Young, Cameron",150,1.459,0.049,26,0.024,0.081,0.015,0.157,-0.040,0.071,-0.028,0.067,0.110,1.856,2.803,"PGA Championship","Oak Hill Country Club"
"Spieth, Jordan",150,1.465,0.222,29,0.010,0.002,-0.018,0.019,-0.051,0.027,-0.047,0.097,0.077,1.726,2.840,"PGA Championship","Oak Hill Country Club"
"Fitzpatrick, Matthew",150,1.408,0.158,28,0.014,0.001,-0.007,0.064,-0.040,0.029,0.009,0.073,0.111,1.710,2.746,"PGA Championship","Oak Hill Country Club"
