player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_distance,average_hangtime,average_starting_field_position,average_yards_per_return,declined_penalties,fair_catches,franchise_id,grades_kickoff_kicker,kicked_yards,kicks_returned,onside_kicks,penalties,percent_returned,return_yards,total_hangtime,touchbacks
Graham Nicholson,145826,K,MIAMI OH,2,8,6,54.3,3.4,34.4,29.0,0,2,221,60.5,434,4,0,0,50.0,116,20.39,2
Luke Wieland,145971,P,AIR FORCE,3,7,7,66.4,3.73,28.0,31.5,0,1,101,67.2,465,2,0,0,28.6,63,26.13,4
Will Ferrin,145985,K,BOISE ST,3,17,16,63.8,3.91,29.5,31.4,0,1,120,69.2,1084,8,0,0,47.1,251,62.63,7
Abraham Montano,146030,K,FRESNO ST,3,18,16,66.0,3.71,22.3,15.8,0,1,169,77.1,1188,6,0,0,33.3,95,59.35,11
Kyler Halvorsen,146062,K,HAWAII,4,15,14,68.4,4.09,25.8,19.5,0,0,180,68.9,1026,4,0,0,26.7,78,57.19,9
Jack Browning,146137,P,S DIEGO ST,3,13,13,69.6,3.89,24.8,21.5,0,1,284,77.1,905,2,0,0,15.4,43,50.56,10
Taren Schive,146183,K,S JOSE ST,2,9,8,48.1,2.75,27.8,7.0,0,2,285,59.9,433,4,1,0,44.4,28,21.98,2
Eddie Czaplicki,146282,K,ARIZONA ST,3,15,15,65.1,3.75,24.0,22.8,0,0,110,68.9,976,6,0,0,40.0,137,56.27,6
Jace Feely,146284,K,ARIZONA ST,2,2,2,62.5,3.66,24.0,25.0,0,1,110,58.3,125,1,0,0,50.0,25,7.31,0
Cole Becker,146332,K,COLORADO,3,9,9,72.8,3.64,25.0,,0,0,143,78.2,655,0,0,0,0.0,0,32.8,9
Lucas Dunker Jr.,146533,K,TULANE,1,2,2,71.0,3.98,25.0,,0,0,319,65.8,142,0,0,0,0.0,0,7.96,2
Adam Mihalek,146691,K,FLORIDA,3,15,14,64.4,3.74,25.7,21.3,0,0,163,68.9,966,6,0,0,40.0,128,52.33,8
Will Faris,146980,K,VANDERBILT,1,1,1,53.0,3.79,12.0,0.0,0,0,333,60.0,53,1,0,0,100.0,0,3.79,0
Michael Hughes,147041,K,APP STATE,3,19,15,62.3,3.82,35.9,38.7,0,1,108,74.5,1184,6,2,0,31.6,232,57.29,12
